"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"384","5-Hydroxymethyluracil",165.0276,141.35,0.37,111.0201,126.805934640909,118.571779646155,135.040089635663,93.9001792684603,159.711690013357
"385","5-Hydroxymethyluracil",141.03,123.88,0.09,125.020366666667,126.819847674654,118.587861420021,135.051833929286,93.9146349287945,159.725060420513
"396","5-METHYLCYTOSINE",148.0475,135.5,0.1,139.020633333333,126.959908923141,118.749707517574,135.170110328709,94.0601393909124,159.85967845537
"397","5-METHYLCYTOSINE",126.0671,125.4,0.2,153.0209,128.330760046534,120.329066260012,136.332453833055,95.482403442176,161.179116650891
"398","5-METHYLCYTOSINE",126.0671,121,0.2,167.021166666667,138.817900963599,132.057583286504,145.578218640693,106.249675294259,171.386126632938
"1170","Cytosine",112.0511,168.96,0.16,181.021433333333,164.389133121437,156.84699625289,171.931269989985,131.649688155194,197.128578087681
"1171","CYTOSINE",112.0509,122.8,0.7,195.0217,174.426782520136,165.320253199422,183.533311840851,141.291962399562,207.561602640711
"1172","CYTOSINE",112.0509,117.5,0.1,209.021966666667,175.720413235435,166.383731476598,185.057094994273,142.521602196188,208.919224274682
"2597","OROTATE",155.0112,121.5,0.3,223.022233333333,175.852347846804,166.491902635974,185.212793057635,142.646845852425,209.057849841184
"2598","OROTATE",155.0112,121.5,0.3,237.0225,175.865451223849,166.502643036789,185.22825941091,142.659283042298,209.071619405401
"2599","Orotic Acid",179.0069,180.93,0.06,251.022766666667,175.866749148364,166.503706874177,185.229791422551,142.660514962868,209.07298333386
"2600","Orotic Acid",157.0249,138.14,0.23,265.023033333333,175.866877677255,166.50381222197,185.229943132541,142.660636955461,209.07311839905
"3446","THIAMINE",265.1124,162.8,0.1,279.0233,175.866890404685,166.503822653915,185.229958155456,142.66064903564,209.073131773731
"3447","THIAMINE MONOPHOSPHATE",365.0458,180.2,0.2,293.023566666667,175.866891665002,166.503823686924,185.229959643079,142.660650231863,209.07313309814
"3448","THIAMINE MONOPHOSPHATE",367.0581,176.9,0.1,307.023833333333,175.866891789803,166.503823789216,185.229959790389,142.660650350317,209.073133229288
"3449","THIAMINE MONOPHOSPHATE",365.0458,174.3,0.1,321.0241,175.866891802161,166.503823799345,185.229959804976,142.660650362047,209.073133242275
"3450","THIAMINE MONOPHOSPHATE",345.0786,171,0,335.024366666667,175.866891803385,166.503823800348,185.229959806421,142.660650363208,209.073133243561
"3451","Thiamine Monophosphate Chloride Dihydrate",346.0865,171.46,0.1,349.024633333333,175.866891803506,166.503823800448,185.229959806564,142.660650363323,209.073133243688
"3452","THIAMINE PYROPHOSPHATE",447.0265,186.8,0,363.0249,175.866891803518,166.503823800458,185.229959806578,142.660650363335,209.073133243701
"3453","THIAMINE PYROPHOSPHATE",425.0434,181.8,0.1,377.025166666667,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
"3454","THIAMINE PYROPHOSPHATE",423.0306,178.2,0.1,391.025433333333,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
"3651","Uracil",113.0351,126.35,0.32,405.0257,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
"3652","URACIL",111.0201,112.9,0.2,419.025966666667,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
"3653","URACIL 5-CARBOXYLATE",179.0064,139.8,0.2,433.026233333333,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
"3654","URACIL 5-CARBOXYLATE",155.0103,118.9,0.2,447.0265,175.866891803519,166.503823800459,185.229959806579,142.660650363336,209.073133243702
