"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"5","(R)-Malate",133.0137,120.08,0.76,125.0351,114.320544676083,111.477401948298,117.163687403868,87.0901442584474,141.550945093718
"106","10-HYDROXYDECANOATE",211.132,151,0,128.679717117117,116.486568962333,113.702119292393,119.271018632273,89.2622341440381,143.710903780628
"107","10-HYDROXYDECANOATE",187.1359,144.3,0.1,132.324334234234,118.589262132331,115.860930826427,121.317593438235,91.3706097401025,145.80791452456
"108","11(12)-EET",343.2211,186.93,0.11,135.968951351351,120.632145553575,117.957475213105,123.306815894045,93.4188196310715,147.845471476078
"109","11(12)-EET",319.2235,184.08,0.19,139.613568468468,122.618456858276,119.995097716889,125.241815999663,95.4101261575719,149.826787558981
"110","11(Z),14(Z)-Eicosadienoic Acid",307.2643,183.32,0,143.258185585586,124.551179526762,121.976880853216,127.125478200308,97.3475352856898,151.754823767834
"114","12R-HETE",343.2211,193.43,0,146.902802702703,126.433068720723,123.90567115688,128.960466284566,99.2338226874244,153.632314754022
"115","12R-HETE",319.2235,183.18,0.09,150.54741981982,128.266673921965,125.784102644502,130.749245199427,101.071556593998,155.461791249931
"116","12S-HETE",343.2211,192.37,0.43,154.192036936937,130.054358838644,127.614617449005,132.494100228284,102.863117888984,157.245599788305
"117","12S-HETE",319.2235,183.9,0.57,157.836654054054,131.798318964946,129.399484025298,134.197153904594,104.610717831307,158.985920098585
"118","13-HODE",319.2249,190.87,0.69,161.481271171171,133.500597118056,131.140813262099,135.860380974013,106.316413735416,160.684780500697
"119","13-HODE",295.2273,182.2,0.52,165.125888288288,135.163097225383,132.840572782079,137.485621668686,107.982122884423,162.344071566343
"120","13-OxoODE",317.2093,192.4,0.33,168.770505405405,136.787596592965,134.500599669032,139.074593516897,109.609634909566,163.965558276363
"121","13-OxoODE",293.2117,179.53,0.13,172.415122522523,138.37575685126,136.122611824802,140.628901877718,111.200622834213,165.550890868306
"122","13-OxoODE",295.2273,178.27,0.14,176.05973963964,139.929133745583,137.708218128738,142.150049362427,112.75665295138,167.101614539786
"123","14(15)-EET",319.2235,186.67,0.09,179.704356756757,141.449185914315,139.258927547465,143.639444281165,114.279193679356,168.619178149274
"124","14(15)-EET",343.2211,186.13,0.12,183.348973873874,142.937282777758,140.776157321795,145.098408233721,115.769623519541,170.104942035975
"125","14(15)-EET",321.2391,181.52,0.23,186.993590990991,144.394711643469,142.261240339991,146.528182946946,117.229238223391,171.560185063546
"126","14(S)-HDHA",343.2273,189.29,0.03,190.638208108108,145.822684119514,143.715431791706,147.929936447322,118.659257260827,172.986110978201
"127","14(S)-HDHA",367.2249,189.12,0.06,194.282825225225,147.222341914886,145.139915184316,149.304768645455,120.060829670123,174.383854159648
"128","15R-Prostaglandin F2a",377.2304,204.64,0.03,197.927442342342,148.594762095935,146.535807792657,150.653716399212,121.435039358816,175.754484833054
"129","15R-Prostaglandin F2a",353.2328,192.4,0.06,201.572059459459,149.940961858838,147.904165604062,151.977758113614,122.782909916225,177.099013801451
"134","17(S)-HDHA",343.2273,193.87,0.15,205.216676576577,151.26190287053,149.245987812782,153.277817928278,124.105408990534,178.418396750525
"135","17(S)-HDHA",367.2249,190.57,0.36,208.861293693694,152.558495224025,150.562220911203,154.554769536847,125.403452276789,179.713538171261
"158","2-DEOXY-D-GLUCOSE",187.0559,136.7,0.1,212.505910810811,153.831601048469,151.853762419527,155.80943967741,126.677907156544,180.985294940393
