"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"837","Betaine",140.0687,134.88,0.04,140.0687,134.591853608671,129.155371301627,140.028335915715,121.638039230824,147.545667986518
"846","Biochanin A",283.0606,169.56,0.12,158.539546666667,137.3726723362,132.215368324758,142.529976347641,124.533523153822,150.211821518577
"1243","Daidzein",277.0477,172.27,0.07,177.010393333333,140.636568237916,135.797775084542,145.475361391289,127.922014126896,153.351122348935
"1244","Daidzein",253.0501,161.52,0.26,195.48124,144.415624794722,139.930612734207,148.900636855238,131.831456159334,156.99979343011
"1245","Daidzein",255.0657,156.45,0.04,213.952086666667,148.722749408112,144.616256077057,152.829242739166,136.268462815179,161.177036001045
"1444","Formononetin",267.0657,168.2,0.5,232.422933333333,153.544455648565,149.821007967276,157.267903329854,141.211166156454,165.877745140676
"1451","Fructose-1-Phosphate",283.0195,158.37,0.1,250.89378,158.835017852039,155.465637871837,162.204397832242,146.603963583829,171.066072120249
"1478","Genistein",293.0426,176.78,0.31,269.364626666667,164.513767891803,161.421075037738,167.606460745869,152.356024838485,176.671510945121
"1479","Genistein",269.045,163.32,0.07,287.835473333333,170.467112235219,167.517648585596,173.416575884843,158.345012463259,182.58921200718
"1480","Genistein",271.0606,162.49,0.43,306.30632,176.555991522661,173.575623415185,179.536359630137,164.426335257252,188.68564778807
"1859","Hesperetin",301.0712,177.6,0.07,324.777166666667,182.628114705646,179.443575413626,185.812653997665,170.446683855236,194.809545556056
"2985","Prunetin",307.0582,180.53,0.82,343.248013333333,188.532850233241,185.012093426007,192.053607040476,176.259232365775,200.806468100708
"2987","Prunetin",285.0763,165.43,0.49,361.71886,194.135777679784,190.202026027822,198.069529331745,181.737375802113,206.534179557454
"3156","Rotenone",417.1314,212.11,0.23,380.189706666667,199.33001813413,194.954440530875,203.705595737386,186.784435388677,211.875600879584
"3157","Rotenone",393.1338,201.51,0.03,398.660553333333,204.042513781667,199.230373072598,208.854654490736,191.338078915653,216.746948647681
"3158","Rotenone",395.1495,198.64,0.33,417.1314,208.234917025246,203.012943445966,213.456890604526,195.369654683435,221.100179367057
