"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"2379","Monensin A",715.4009,254.24,0.21,661.3927,246.767040306666,242.67118015046,250.862900462873,231.813892224994,261.720188388339
"2380","Monensin A",675.4084,254.03,0.14,682.327707142857,247.041796575254,242.962758427856,251.120834722651,232.093247503817,261.990345646691
"2381","Monensin A",731.3748,252.87,0.29,703.262714285714,247.641414701438,243.597940121622,251.684889281254,232.702530746776,262.5802986561
"2382","Monensin A",693.419,251.55,0.17,724.197721428571,248.923445589667,244.950558906423,252.896332272911,234.003512757005,263.843378422328
"2383","Monensin A",693.419,244.29,0.14,745.132728571429,251.548288130025,247.695326159498,255.401250100552,236.659840155855,266.436736104195
"2384","Monensin A",675.4084,243.79,0.15,766.067735714286,256.475655890786,252.749804239248,260.201507542323,241.619595253372,271.331716528199
"2385","Monensin B",679.4033,241.22,0.13,787.002742857143,264.379982438597,260.570414715705,268.189550161489,249.502705356801,279.257259520393
"2386","Monensin B",661.3927,240.51,0.14,807.93775,274.340313520851,269.967033061736,278.713593979967,259.308808303232,289.371818738471
"2387","Monensin C",707.4346,247.95,0.14,828.872757142857,283.678553361064,278.451990298145,288.905116423983,268.3770002182,298.980106503929
"2551","Nonactin",737.4449,251.92,0.13,849.807764285714,290.298251827514,284.349283464731,296.247220190296,274.735129013804,305.861374641224
"2552","Nonactin",759.427,251.89,0.14,870.742771428571,294.117508401626,287.721919759092,300.513097044161,278.378254251008,309.856762552245
"2553","Nonactin",754.4714,251.81,0.14,891.677778571429,296.064216576869,289.43439130897,302.694041844768,280.228334845304,311.900098308433
"3579","Tylosin A",916.5269,307.46,0.11,912.612785714286,296.993950996779,290.250872015177,303.737029978381,281.110321648127,312.877580345431
"3580","Tylosin A",954.4828,294.29,0.11,933.547792857143,297.424169063016,290.628399061367,304.219939064666,281.518099245222,313.330238880811
"3581","Tylosin A",938.5089,290.7,0.11,954.4828,297.620329697476,290.800476736308,304.440182658643,281.703955690021,313.536703704931
