"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"3138","Rifampicin",1683.7739,314.23,0.12,821.3973,236.458758206506,203.948461816905,268.969054596107,135.053302918693,337.864213494319
"3139","Rifampicin",1667.8,312.38,0.14,887.733961538461,275.152759636131,249.127570395528,301.177948876734,175.6366430228,374.668876249462
"3140","Rifampicin",1645.818,311.83,0.23,954.070623076923,293.876854252157,263.627391720603,324.126316783711,193.173443315701,394.580265188614
"3141","Rifampicin",821.3973,287.39,0.19,1020.40728461538,303.411163112435,269.622343525038,337.199982699833,201.588614922466,405.233711302405
"3142","Rifampicin",823.4129,285.7,0.13,1086.74394615385,308.485670438653,272.549948059082,344.421392818223,205.930694285711,411.040646591595
"3143","Rifampicin",845.3949,283.65,0.24,1153.08060769231,311.293314220881,274.106317282752,348.48031115901,208.293218434201,414.293410007561
"3144","Rifampicin",861.3688,210.23,0.11,1219.41726923077,312.900906578007,274.979358734983,350.82245442103,209.633337701812,416.168475454201
"3145","Rifampicin (conf 1)",823.4129,212.85,0.11,1285.75393076923,313.849896131842,275.488936649483,352.210855614202,210.420160546779,417.279631716906
"3146","Rifampicin (conf 1)",845.3949,210.66,0.14,1352.09059230769,314.425627655968,275.796068884399,353.055186427537,210.895971027179,417.955284284758
"3147","Rifampicin (conf 2)",845.3949,215.73,0.18,1418.42725384615,314.783623585474,275.986295986079,353.580951184868,211.191251184588,418.375995986359
"3148","Rifampicin (conf 2)",823.4129,205.31,0.11,1484.76391538462,315.011252922108,276.10695533391,353.915550510305,211.378770747743,418.643735096472
"3149","Rifapentine",899.4393,306.6,0.13,1551.10057692308,315.158959265778,276.185128226327,354.13279030523,211.500353753835,418.817564777721
"3150","Rifapentine",877.4586,299.22,0.13,1617.43723846154,315.256600254484,276.236751966303,354.276448542665,211.580684289291,418.932516219676
"3151","Rifapentine (conf 1)",915.4116,300.7,0.12,1683.7739,315.322254470529,276.271440671849,354.373068269209,211.634680243295,419.009828697763
