"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"708","apo-Myoglobin",1541.0955,312.5,0.97,493.7235,161.996573159347,151.568859726525,172.424286592169,109.191070942867,214.802075375826
"709","apo-Myoglobin",1541.0955,302.51,0.67,514.066095652174,167.969111711524,158.256696540991,177.681526882058,115.300194261643,220.638029161406
"710","apo-Myoglobin",1695.1043,301.28,0.89,534.408691304348,173.446208779544,164.378083563868,182.514333995221,120.892286453758,226.000131105331
"711","apo-Myoglobin",1412.7549,300.04,0.58,554.751286956522,178.485564128269,169.99811574628,186.973012510258,126.028718655685,230.942409600853
"712","apo-Myoglobin",1412.7549,290.18,0.99,575.093882608696,183.136360709775,175.172245564302,191.100475855247,130.76164365137,235.511077768179
"713","apo-Myoglobin",1304.1589,286.93,0.7,595.43647826087,187.440768970901,179.947995481933,194.933542459868,135.135649609077,239.745888332724
"714","apo-Myoglobin",1541.0955,283.45,0.68,615.779073913043,191.435144676104,184.366324523915,198.503964828293,139.189072333376,243.681217018832
"715","apo-Myoglobin",1304.1589,278.37,1.1,636.121669565217,195.150990467057,188.462728359195,201.83925257492,142.955045155941,247.346935778174
"716","apo-Myoglobin",1211.0767,273.86,0.72,656.464265217391,198.615733619236,192.268131993583,204.96333524489,146.462345394735,250.769121843738
"717","apo-Myoglobin",1304.1589,269.94,1.45,676.806860869565,201.853359584527,195.809619383957,207.897099785097,149.736081715191,253.970637453863
"718","apo-Myoglobin",1695.1043,269.79,1.92,697.149456521739,204.884931478174,199.111033398876,210.658829557472,152.798256061829,256.97160689452
"719","apo-Myoglobin",1211.0767,265.12,0.68,717.492052173913,207.72901868734,202.193471476034,213.264565898647,155.668225955898,259.789811418783
"720","apo-Myoglobin",1130.4055,262.53,0.59,737.834647826087,210.402052560949,205.075696332157,215.728408789741,158.363087087243,262.441018034655
"721","apo-Myoglobin",1130.4055,255.7,0.55,758.177243478261,212.918623205655,207.774476662521,218.06276974879,160.897991716266,264.939254695045
"722","apo-Myoglobin",1541.0955,255.3,1.07,778.519839130435,215.291728420108,210.304869564654,220.278587275562,163.286415055589,267.297041784626
"723","apo-Myoglobin",1304.1589,254.17,1.11,798.862434782609,217.53298350537,212.680454154348,222.385512856393,165.540379242839,269.525587767901
"724","apo-Myoglobin",1059.8181,253.52,0.61,819.205030434783,219.652798917236,214.913524273136,224.392073561336,167.670642545556,271.634955288916
"725","apo-Myoglobin",997.5352,246.01,0.93,839.547626086957,221.660531347551,217.015247099018,226.305815596084,169.686859910493,273.634202784609
"726","apo-Myoglobin",1211.0767,244.96,1.15,859.89022173913,223.564612742027,218.995793673756,228.133431810298,171.597719775676,275.531505708378
"727","apo-Myoglobin",2118.6284,242.7,2.58,880.232817391304,225.372660911073,220.864446693144,229.880875129002,173.411061124958,277.334260697187
"728","apo-Myoglobin",942.1725,240.25,0.77,900.575413043478,227.091574715438,222.629690263214,231.553459167663,175.133974022541,279.049175408336
"729","apo-Myoglobin",1695.1043,240.25,2.5,920.918008695652,228.727616270361,224.299285653033,233.15594688769,176.772886274393,280.682346266329
"730","apo-Myoglobin",1130.4055,238.79,1.32,941.260604347826,230.286482180418,225.880336371136,234.6926279897,178.333638391168,282.239325969668
"731","apo-Myoglobin",1412.7549,238.67,0.9,961.6032,231.77336546949,227.379345189304,236.167385749676,179.821548647359,283.725182291621
"732","apo-Myoglobin",1059.8181,235.66,1.21,981.945795652174,233.193009588518,228.802265079063,237.583754097972,181.241469724478,285.144549452557
"733","apo-Myoglobin",892.6375,235.34,0.62,1002.28839130435,234.549755654408,230.154545453469,238.944965855346,182.597838176724,286.501673132091
"734","apo-Myoglobin",848.0561,231.55,1.12,1022.63098695652,235.847583885987,231.441174644343,240.25399312763,183.894717754247,287.800450017726
"735","apo-Myoglobin",997.5352,228.27,1.08,1042.9735826087,237.090150048936,232.666719199894,241.513580897979,185.135837452446,289.044462645427
"736","apo-Myoglobin",1883.3372,227.96,3.91,1063.31617826087,238.280817594713,233.835360350798,242.726274838628,186.32462501861,290.237010170815
"737","apo-Myoglobin",807.7204,227.51,0.41,1083.65877391304,239.422686073366,234.950927845779,243.894444300953,187.464236533916,291.381135612816
"738","apo-Myoglobin",1059.8181,225.68,1.02,1104.00136956522,240.518616312834,236.016931278303,245.020301347365,188.55758259479,292.479650030878
"739","apo-Myoglobin",771.0517,223.25,0.55,1124.34396521739,241.571252784468,237.036588992678,246.105916576258,189.607351539448,293.535154029488
"740","apo-Myoglobin",942.1725,222.73,0.52,1144.68656086957,242.583043513552,238.012854652571,247.153232374533,190.616030100016,294.550056927088
"741","apo-Myoglobin",997.5352,221.04,1.15,1165.02915652174,243.556257842405,238.948441564215,248.164074120596,191.585921805863,295.526593878948
"742","apo-Myoglobin",737.5715,218.26,0.62,1185.37175217391,244.493002310489,239.845844861049,249.14015975993,192.519163417663,296.466841203316
"743","apo-Myoglobin",892.6375,215.66,0.49,1205.71434782609,245.395234879483,240.707361670751,250.083108088216,193.417739632802,297.372730126164
"744","apo-Myoglobin",706.8813,212.81,0.72,1226.05694347826,246.264777700379,241.53510939649,250.994446004267,194.283496269825,298.246059130932
"745","apo-Myoglobin",848.0561,211.57,1.24,1246.39953913043,247.103328593346,242.331042250778,251.875614935913,195.11815211165,299.088505075041
"746","apo-Myoglobin",942.1725,211.55,1.14,1266.74213478261,247.912471388716,243.09696618242,252.727976595012,195.923309563491,299.901633213941
"747","apo-Myoglobin",678.6464,207.03,0.91,1287.08473043478,248.693685258254,243.834552335387,253.552818181121,196.700464261093,300.686906255416
"748","apo-Myoglobin",892.6375,205.56,1.39,1307.42732608696,249.448353149466,244.545349173745,254.351357125187,197.451013747497,301.445692551435
"749","apo-Myoglobin",652.5834,200.81,0.88,1327.76992173913,250.177769421563,245.230793399907,255.124745443219,198.176265321619,302.179273521506
"750","apo-Myoglobin",628.451,194.86,0.59,1348.1125173913,250.883146769541,245.892219785233,255.874073753849,198.87744314907,302.888850390012
"751","apo-Myoglobin",606.0423,189.68,0.66,1368.45511304348,251.565622512328,246.530870022984,256.600375001672,199.555694714584,303.575550310072
"752","apo-Myoglobin",585.179,185.06,0.38,1388.79770869565,252.226264311843,247.147900704331,257.304627919355,200.212096685823,304.240431937863
"753","apo-Myoglobin",565.7066,182.4,0.26,1409.14030434783,252.866075381947,247.744390508929,257.987760254965,200.847660250033,304.88449051386
"754","apo-Myoglobin",547.4906,180.65,NA,1429.4829,253.485999239367,248.321346692704,258.650651786031,201.463335977811,305.508662500924
"1121","Cytochrome C",1611.0397,316.04,0.67,1449.82549565217,254.086924042748,248.879710947157,259.294137138338,202.060018261984,306.113829823512
"1122","Cytochrome C",1615.0362,305.19,0.95,1470.16809130435,254.669686560704,249.420364696725,259.919008424683,202.638549374119,306.70082374729
