"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"239","2,4-DIHYDROXYPTERIDINE",187.0237,143.8,0,162.0433,129.927444719807,126.316965815194,133.53792362442,119.408569523432,140.446319916182
"240","2,4-DIHYDROXYPTERIDINE",165.041,132.4,0.4,173.900055555556,134.925395908217,131.672372429907,138.178419386527,124.523793184276,145.326998632158
"241","2,4-DIHYDROXYPTERIDINE",163.0259,125.3,0.1,185.756811111111,139.547173093651,136.60829630699,142.486049880312,129.239497592189,149.854848595112
"399","5-Methyltetrahydrofolate",482.1757,198.01,0.13,197.613566666667,143.842536610959,141.17645934515,146.508613876768,133.60929931949,154.075773902429
"400","5-Methyltetrahydrofolate",458.1781,197.51,0,209.470322222222,147.85215562276,145.418432727801,150.285878517718,137.676980705064,158.027330540455
"401","5-Methyltetrahydrofolate",460.1938,194.95,0.08,221.327077777778,151.609677295006,149.368036412908,153.851318177105,141.478728113387,161.740626476626
"402","5-Methyltetrahydrofolic acid",458.1798,200.57,0,233.183833333333,155.143241749476,153.05328251604,157.233200982912,145.04477121807,165.241712280882
"403","5-Methyltetrahydrofolic acid",460.1939,197.52,0,245.040588888889,158.476611344046,156.49804638699,160.455176301102,148.400605351315,168.552617336777
"1346","DIHYDROBIOPTERIN",260.0759,157.2,0.1,256.897344444444,161.630026032875,159.723498284968,163.536553780782,151.567917629076,171.692134436674
"1347","DIHYDROBIOPTERIN",238.0938,153.9,0.1,268.7541,164.620860598847,162.749191041813,166.492530155881,154.565298734536,174.676422463158
"1348","DIHYDROBIOPTERIN",236.0798,150.7,0.1,280.610855555556,167.464136214558,165.593663459944,169.334608969172,157.408797045638,177.519475383478
"2207","Leucovorin Calcium",472.1581,201.34,0.62,292.467611111111,170.172923305188,168.274540924374,172.071305686002,160.112355073719,180.233491536657
"2208","Leucovorin Calcium",474.1737,197.81,0.08,304.324366666667,172.75866220697,170.808303159786,174.709021254155,162.688156862689,182.829167551251
"2266","Lumazine",187.0232,146.73,0.31,316.181122222222,175.231420892505,173.209976110652,177.252865674358,165.146907196628,185.315934588382
"2267","Lumazine",165.0412,137.48,0.47,328.037877777778,177.600103973845,175.49293633434,179.707271613351,167.498057996062,187.702149951628
"2268","Lumazine",163.0256,127.91,0.2,339.894633333333,179.872623595112,177.668884787927,182.076362402297,169.749993393107,189.995253797117
"2269","LUMICHROME",265.0694,167.7,0,351.751388888889,182.056040230863,179.747954805324,184.364125656401,171.910182169178,192.201898292547
"2270","LUMICHROME",259.0855,160.2,0.2,363.608144444444,184.156679510665,181.738891581427,186.574467439903,173.985304188368,194.328054832962
"2271","LUMICHROME",241.0751,155.1,0.1,375.4649,186.180229789321,183.649251668075,188.711207910568,175.981355943328,196.379103635315
"2272","LUMICHROME",243.0874,153.1,0.1,387.321655555556,188.131824135409,185.485592092153,190.778056178665,177.90373919721,198.359909073608
"3058","PTERIN",186.0384,143.4,0.3,399.178411111111,190.016109620751,187.253635762687,192.778583478815,179.757335849352,200.27488339215
"3059","PTERIN",164.0565,128.6,0.1,411.035166666667,191.837306191464,188.958410046548,194.71620233638,181.546571500031,202.128040882897
"3060","PTERIN",162.0433,128.1,0.1,422.891922222222,193.599256938503,190.604360325943,196.594153551063,183.275469687878,203.923044189129
"3128","Riboflavin",399.128,198.41,0.16,434.748677777778,195.305471226954,192.195442162792,198.415500291116,184.947698384485,205.663244069423
"3129","Riboflavin",377.1461,191.47,0.14,446.605433333333,196.959161863177,193.735195951875,200.18312777448,186.566610026718,207.351713699637
"3130","RIBOFLAVIN",377.1433,188.5,0.1,458.462188888889,198.563277258459,195.226807551939,201.899746964979,188.135276127907,208.99127838901
"3131","Riboflavin",375.1305,188.41,0.08,470.318944444444,200.120529373156,196.673157796974,203.567900949339,189.65651731943,210.584541426883
"3132","RIBOFLAVIN",375.1309,186.1,0.3,482.1757,201.633418086053,198.07686320956,205.189972962547,191.132929522859,212.133906649247
