"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"15","1-METHYLADENOSINE",304.099,170.7,0.1,280.105,169.967100869508,168.586703219989,171.347498519026,155.90987602954,184.024325709475
"16","1-METHYLADENOSINE",282.1176,164.7,0.1,284.217903225806,170.135162952947,168.757480240643,171.512845665252,156.078204455947,184.192121449948
"17","1-METHYLADENOSINE",280.105,162.7,0.1,288.330806451613,170.309404114701,168.934509795027,171.684298434375,156.252718626262,184.36608960314
"18","1-METHYLADENOSINE",282.1176,160,0.1,292.443709677419,170.490025561897,169.117993234399,171.862057889395,156.433619718357,184.546431405437
"159","2-Deoxyadenosine-5-monophosphate",354.0579,175.8,0.12,296.556612903226,170.677233015081,169.308136221147,172.046329809014,156.62111340255,184.733352627611
"160","2-Deoxyadenosine-5-monophosphate",330.0603,173.7,0.13,300.669516129032,170.871236642265,169.505148640852,172.237324643679,156.815409773731,184.9270635108
"248","2'-Deoxyguanosine 5'-monophosphate",346.0553,170.22,0.64,304.782419354839,171.072250975636,169.709244495405,172.435257455867,157.016723266021,185.127778685251
"523","ADENOSINE 2',3'-CYCLIC PHOSPHATE",352.0406,181,0.1,308.895322580645,171.280494809614,169.920641775834,172.640347843394,157.225272548686,185.335717070542
"524","ADENOSINE 2',3'-CYCLIC PHOSPHATE",352.0406,175.1,0.1,313.008225806452,171.496191078942,170.139562313428,172.852819844456,157.441280401957,185.551101755927
"525","ADENOSINE 2',3'-CYCLIC PHOSPHATE",346.0556,173.5,0,317.121129032258,171.719566715419,170.366231607731,173.072901823107,157.664973571386,185.774159859452
"526","ADENOSINE 2',3'-CYCLIC PHOSPHATE",328.0456,169.4,0,321.234032258065,171.950852481871,170.60087862996,173.300826333782,157.896582599324,186.005122364417
"527","ADENOSINE 2',3'-CYCLIC PHOSPHATE",330.06,168.1,0.1,325.346935483871,172.190282781927,170.843735600351,173.536829963504,158.1363416321,186.244223931755
"528","ADENOSINE 3',5'-DIPHOSPHATE",448.0038,188.5,0.1,329.459838709677,172.438095444142,171.095037737969,173.781153150314,158.384488201418,186.491702686865
"529","ADENOSINE 3',5'-DIPHOSPHATE",450.0166,188,0.1,333.572741935484,172.694531478982,171.355022981489,174.034039976475,158.641262978542,186.747799979423
"530","ADENOSINE 3',5'-DIPHOSPHATE",426.0238,184.3,0.1,337.68564516129,172.959834807225,171.623931679474,174.295737934975,158.906909499754,187.012760114695
"531","ADENOSINE 3',5'-DIPHOSPHATE",428.0349,183.3,0.1,341.798548387097,173.234251958265,171.902006248721,174.566497667809,159.181673861659,187.28683005487
"533","Adenosine 5' Diphophoglucose Disodium Salt",588.0744,218.05,0.58,345.911451612903,173.518031736902,172.189490799257,174.846572674547,159.465804384855,187.570259088949
"537","Adenosine 5' Diphosphate Sodium Salt, From Bacterial Source",426.0216,185.94,0.67,350.02435483871,173.81142485717,172.486630724666,175.136218989675,159.759551244583,187.863298469757
"539","Adenosine 5' Monophosphate Disodium Salt",346.0553,175.19,0.03,354.137258064516,174.114683541823,172.793672256454,175.435694827191,160.063166066949,188.166201016696
"541","Adenosine 5' Triphosphate (ATP) Disodium Salt Hydrate, Not From Bacteria",529.9855,203.57,0.44,358.250161290323,174.428061086158,173.11086198133,175.745260190987,160.376901489443,188.479220682874
"542","Adenosine 5' Triphosphate (ATP) Disodium Salt Hydrate, Not From Bacteria",505.9879,197.87,0.32,362.363064516129,174.751811384932,173.438446320315,176.065176449548,160.701010684489,188.802612085374
"543","ADENOSINE 5'-DIPHOSPHATE",450.0142,193.1,0.1,366.475967741936,175.086188421195,173.776670968837,176.395705873552,161.035746844908,189.136629997481
"544","ADENOSINE 5'-DIPHOSPHATE",448.0035,187.7,0,370.588870967742,175.431445716029,174.125780297047,176.737111135011,161.381362630263,189.481528801795
"545","ADENOSINE 5'-DIPHOSPHATE",428.033,187,0.1,374.701774193548,175.787835738261,174.486016709876,177.089654766645,161.738109573197,189.837561903324
"546","ADENOSINE 5'-DIPHOSPHATE",426.0216,183.7,0,378.814677419355,176.155609273412,174.857619966533,177.45359858029,162.106237445056,190.204981101767
"547","ADENOSINE DIPHOSPHATE RIBOSE",582.0605,217.5,0.1,382.927580645161,176.535014751315,175.240826459421,177.829203043209,162.485993580234,190.584035922396
"548","ADENOSINE DIPHOSPHATE RIBOSE",560.0791,212.4,0.1,387.040483870968,176.926297532046,175.635868452772,178.21672661132,162.877622158928,190.974972905164
"549","ADENOSINE DIPHOSPHATE RIBOSE",580.0461,211.5,0.1,391.153387096774,177.329699150026,176.042973281576,178.616425018475,163.281363448202,191.37803485185
"550","ADENOSINE DIPHOSPHATE RIBOSE",558.0655,207.2,0.1,395.266290322581,177.74545651645,176.462362511801,179.028550521099,163.697453001524,191.793460031376
"551","ADENOSINE DIPHOSPHATE RIBOSE",576.0745,204.5,0,399.379193548387,178.173801080449,176.894251063251,179.453351097648,164.126120817249,192.22148134365
"552","ADENOSINE DIPHOSPHATE RIBOSE",558.0655,202.3,0.1,403.492096774194,178.614957949728,177.338846296853,179.891069602604,164.567590456806,192.662325442651
"553","ADENOSINE TRIPHOSPHATE",529.9821,204.2,0.1,407.605,179.069144971761,177.796347068607,180.341942874916,165.022078123736,193.116211819786
"554","ADENOSINE TRIPHOSPHATE",529.9854,204,0.1,411.717903225806,179.536571777,178.26694275292,180.806200801081,165.489791705062,193.583351848938
"555","ADENOSINE TRIPHOSPHATE",508.0007,196.9,0.1,415.830806451613,180.017438785946,178.750812238518,181.284065333374,165.970929776898,194.063947794994
"556","ADENOSINE TRIPHOSPHATE",508.0034,196.6,0,419.943709677419,180.511936182358,179.248122900661,181.775749464055,166.465680576624,194.558191788092
"557","ADENOSINE TRIPHOSPHATE",527.9701,193.5,0.1,424.056612903226,181.020242855327,179.759029553876,182.281456156779,166.974220944396,195.066264766259
"558","ADENOSINE TRIPHOSPHATE",505.9889,188.3,0.1,428.169516129032,181.542525313405,180.283673389942,182.801377236867,167.496715237236,195.588335389574
"559","ADENOSINE TRIPHOSPHATE",505.9893,188.2,0.1,432.282419354839,182.078936574465,180.822180906361,183.33569224257,168.033314219442,196.124558929488
"560","ADENOSINE-MONOPHOSPHATE",368.0372,179.5,0.1,436.395322580645,182.629615035488,181.374662830983,183.884567239994,168.584153933545,196.675076137432
"561","ADENOSINE-MONOPHOSPHATE",370.0489,177,0.1,440.508225806452,183.194683326954,181.941213048937,184.448153604971,169.149354556559,197.240012097349
"562","ADENOSINE-MONOPHOSPHATE",346.0558,173.1,0.1,444.621129032258,183.774247157062,182.521907538343,185.026586775782,169.7290192468,197.819475067325
"563","ADENOSINE-MONOPHOSPHATE",348.0686,171.4,0.1,448.734032258065,184.368394151513,183.116803321629,185.619984981396,170.323232987038,198.413555315987
"568","ADP-GLUCOSE",628.0336,225.6,0.1,452.846935483871,184.977192695087,183.725937439517,186.228447950657,170.932061430296,199.022323959878
"569","ADP-GLUCOSE",612.0687,224.9,0,456.959838709677,185.600690781778,184.349325954882,186.852055608674,171.555549755053,199.645831808503
"570","ADP-GLUCOSE",610.0563,218.4,0,461.072741935484,186.238914880686,184.986962993764,187.490866767607,172.193721537133,200.284108224238
"571","ADP-GLUCOSE",588.0765,217.5,0.1,465.18564516129,186.891868825352,185.638819830788,188.144917819917,172.846577645979,200.937160004726
"572","ADP-GLUCOSE",590.0869,216.1,0.1,469.298548387097,187.559532734621,186.304844026087,188.814221443155,173.514095173408,201.604970295834
"966","COENZYME A",790.105,255.5,0,473.411451612903,188.241861973467,186.984958620644,189.498765326289,174.196226403335,202.287497543598
"967","COENZYME A",788.091,246.2,0.1,477.52435483871,188.938786162559,187.679061396608,190.198510928509,174.892897831216,202.984674493902
"968","COENZYME A",766.1084,244.4,0,481.637258064516,189.650208245565,188.387024208803,190.913392282326,175.604009242228,203.696407248901
"969","COENZYME A",768.1217,241.4,0.1,485.750161290323,190.376003623373,189.108692393189,191.643314853557,176.329432857355,204.422574389391
"1041","CYCLIC AMP",352.0403,188.8,0.1,489.863064516129,191.116019364508,189.843884257571,192.388154471445,177.069012556618,205.163026172398
"1042","CYCLIC AMP",352.0403,188.8,0.1,493.975967741936,191.870073501002,190.592390659372,193.147756342632,177.822563188694,205.91758381331
"1043","CYCLIC AMP",352.0437,188.6,0,498.088870967742,192.637954418905,191.353974674835,193.921934162976,178.589869976043,206.686038861768
"1044","CYCLIC AMP",352.0437,188.6,0,502.201774193548,193.419420352395,192.128371363562,194.710469341228,179.370688024453,207.468152680338
"1045","CYCLIC AMP",352.0403,181,0.1,506.314677419355,194.21419899014,192.915287631931,195.513110348349,180.164741945574,208.263656034706
"1046","CYCLIC AMP",352.0403,181,0.1,510.427580645161,195.021987202145,193.714402198602,196.329572205688,180.971725600591,209.072248803699
"1047","CYCLIC AMP",352.0437,181,0,514.540483870968,195.842450894755,194.525365665063,197.159536124447,181.791301972589,209.893599816921
"1048","CYCLIC AMP",352.0437,181,0,518.653387096774,196.675225000822,195.347800693944,198.002649307701,182.623103174525,210.72734682712
