"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"113","12-Hydroxybenzo(a)pyrene",267.081,162.29,0.06,202.0782,136.907669254298,134.183411461586,139.63192704701,129.873457421812,143.941881086784
"438","7-hydroxybenzo(a)pyrene",267.081,162.39,0,206.88959047619,137.414056334267,134.754352565252,140.073760103283,130.404592751222,144.423519917313
"816","Benz(j)aceanthrylene",253.1017,153.48,0.03,211.700980952381,138.067975419098,135.490775396697,140.645175441499,131.089399952816,145.04655088538
"817","Benz(j)aceanthrylene",252.0939,151.11,0.08,216.512371428571,138.900287268088,136.426558411675,141.374016124501,131.959257802787,145.841316733389
"820","Benzo(a)Pyrene",253.1017,150.48,0.08,221.323761904762,139.940378464739,137.593203043824,142.287553885654,133.043437980751,146.837318948727
"821","Benzo(a)Pyrene",252.0939,149.68,0.11,226.135152380952,141.210693294347,139.013222806449,143.408163782246,134.363253471442,148.058133117253
"822","Benzo(b)fluoranthene",252.0939,150.38,0.08,230.946542857143,142.719504712871,140.691363904564,144.747645521179,135.924513121894,149.514496303849
"823","Benzo(g,h,i)perylene",277.1017,155.69,0.12,235.757933333333,144.45332714888,142.605289872777,146.301364424983,137.709900916096,151.196753381664
"824","Benzo(g,h,i)perylene",276.0939,154.23,0.11,240.569323809524,146.371641572993,144.699066560883,148.044216585103,139.674174682126,153.06910846386
"826","Benzo(k)fluoranthene",252.0939,151.41,0.17,245.380714285714,148.407116437985,146.884057406011,149.93017546996,141.745415123906,155.068817752065
"971","Coronene",300.0939,160.2,0.12,250.192104761905,150.473243581483,149.051344523697,151.895142639269,143.833939964863,157.112547198103
"972","Coronene",301.1017,162.59,0.29,255.003495238095,152.478224114698,151.095148933479,153.861299295918,145.847126728893,159.109321500504
"973","Coronene",300.0939,161.5,0.44,259.814885714286,154.340700942473,152.936866318781,155.744535566165,147.70524261363,160.976159271316
"1336","Dibenzo(a,h)pyrene",303.1174,164.78,0.1,264.626276190476,156.001896020707,154.535070894914,157.4687211465,149.352826045681,162.650965995733
"1338","Dibenzochrysene",302.1095,163.75,0.06,269.437666666667,157.430700486657,155.880032955989,158.981368017325,150.762632897482,164.098768075831
"1997","Indeno(1,2,3-cd)pyrene",277.1017,158.01,0.56,274.249057142857,158.62172409102,156.983327371445,160.260120810596,151.932710756167,165.310737425874
"1998","Indeno(1,2,3-cd)pyrene",276.0939,156.52,0.19,279.060447619048,159.588883495096,157.869112852888,161.308654137304,152.879474680235,166.298292309957
"3065","Pyrene",203.0861,136.55,0.09,283.871838095238,160.357695850282,158.56764010992,162.147751590644,153.62992837981,167.085463320753
"3066","Pyrene",202.0782,136.09,0.19,288.683228571429,160.958550406844,159.110507277502,162.806593536185,154.215122569976,167.701978243711
"3067","Pyrene",203.0861,138.72,0.71,293.494619047619,161.421938872629,159.52751310082,163.316364644438,154.665652571115,168.178225174143
"3068","Pyrene",202.0782,136.86,0.21,298.30600952381,161.775660803034,159.844926725274,163.706394880794,155.009104096544,168.542217509525
"3069","Pyrene-4,5 dione",233.0603,142.82,0.03,303.1174,162.043559641516,160.08483607772,164.002283205311,155.268963448199,168.818155834833
