"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"25","1-METHYLNICOTINAMIDE",137.0712,126.2,0.1,96.0438,118.350922523605,115.190408158784,121.511436888425,105.550464270895,131.151380776315
"174","2-HYDROXYPYRIDINE",96.0438,115.2,0.2,99.7311980392157,119.092907772909,116.013361858255,122.172453687563,106.312200301505,131.873615244313
"244","2,6-DIHYDROXYPYRIDINE",112.0392,119.5,0.06,103.418596078431,119.841870360102,116.843085596874,122.84065512333,107.080381791549,132.603358928655
"245","2,6-DIHYDROXYPYRIDINE",110.0244,113.76,0.03,107.105994117647,120.597623550327,117.679263780729,123.515983319924,107.854794030399,133.340453070255
"308","3,4 Dihydroxypyridine",112.0399,126.11,0.92,110.793392156863,121.359991895599,118.521581320713,124.198402470484,108.635234333242,134.084749457955
"356","4-Pyridoxate",206.0429,151.02,0.17,114.480790196078,122.128810197715,119.369720934626,124.887899460805,109.421510957089,134.836109438342
"357","4-PYRIDOXATE",206.0401,150.2,0.1,118.168188235294,122.903922596973,120.223360425068,125.584484768879,110.213442149544,135.594403044403
"358","4-PYRIDOXATE",222.015,147.4,0.1,121.85558627451,123.685181767953,121.082169912805,126.288193623101,111.010855310615,136.359508225291
"359","4-Pyridoxate",184.061,136.58,0.24,125.542984313725,124.472448206917,121.945809019704,126.99908739413,111.813586251295,137.131310162539
"360","4-PYRIDOXATE",184.0586,135.5,0.1,129.230382352941,125.26558959799,122.813924014353,127.717255181626,112.621478535399,137.90970066058
"361","4-PYRIDOXATE",182.0452,130.6,0.2,132.917780392157,126.064480247401,123.686144959156,128.442815535647,113.434382893364,138.694577601438
"1991","Imazapyr",284.1011,175.2,0.26,136.605178431373,126.869000576786,124.562082931997,129.175918221575,114.252156698503,139.485844455069
"1993","Imazapyr",262.1192,157.02,0.42,140.292576470588,127.679036667944,125.441327440715,129.916745895172,115.0746634977,140.283409838187
"2530","Nicotinamide",146.0218,136.62,0.36,143.979974509804,128.49447985261,126.323444205916,130.665515499303,115.901772589739,141.08718711548
"2531","Nicotinamide",124.0399,128.68,0.24,147.66737254902,129.315226341746,127.20797355716,131.422479126332,116.733358645443,141.897094038049
"2532","NICOTINAMIDE",123.0557,125.3,0.1,151.354770588235,130.141176889646,128.094429766312,132.187924012979,117.569301364649,142.713052414642
"2541","NICOTINATE",124.0407,124,0.1,155.042168627451,130.972236488812,128.982301721999,132.962171255626,118.409485165742,143.534987811882
"2542","NICOTINATE",122.0271,121,0.1,158.729566666667,131.808314092125,129.871055415771,133.74557276848,119.253798904025,144.362829280226
"2543","Nicotinic acid",124.0399,127.71,0.09,162.416964705882,132.649322359275,130.760138739772,134.538505978778,120.102135615732,145.196509102817
"2544","Nicotinic acid",122.0242,123.88,0.47,166.104362745098,133.495177424837,131.648989054812,135.341365794861,120.954392284872,146.035962564801
"2831","Picloram",262.9158,155.59,0.23,169.791760784314,134.345798685702,132.537043839415,136.15455353199,121.810469630464,146.881127740941
"2832","Picloram",238.9182,136.19,0.3,173.479158823529,135.201108605863,133.423754443442,136.978462768284,122.670271912018,147.731945299708
"2833","Picloram",238.9182,136.19,0.3,177.166556862745,136.061032536788,134.308602536874,137.813462536701,123.53370675138,148.588358322195
"3070","PYRIDOXAL",190.0465,142.82,0.05,180.853954901961,136.925498551853,135.191118302493,138.659878801214,124.400684969268,149.450312134438
"3071","PYRIDOXAL",168.0654,131.35,0.07,184.541352941176,137.794437293461,136.070898866997,139.517975719925,125.271120435031,150.317754151891
"3072","PYRIDOXAL",166.0504,128.98,0.06,188.228750980392,138.66778183163,136.947625047182,140.387938616078,126.144929928321,151.190633734939
"3073","Pyridoxal 5'-phosphate",248.0319,151.94,0.07,191.916149019608,139.545467533003,137.82107436875,141.269860697257,127.022033011513,152.068902054494
"3074","Pyridoxal 5'-phosphate",246.0173,150.8,0.07,195.603547058824,140.427431939308,138.691128605953,142.163735272664,127.902351911837,152.952511966779
"3075","Pyridoxal 5'-phosphate (+Na)",270.0138,161.4,0.12,199.290945098039,141.313614654426,139.557774785683,143.069454523169,128.785811412285,153.841417896567
"3076","Pyridoxal 5'-Phosphate Hydrate",270.0143,164.23,0.57,202.978343137255,142.203957239309,140.421099555439,143.986814923178,129.67233875046,154.735575728158
"3077","Pyridoxal 5'-Phosphate Hydrate",248.0324,153.99,0.48,206.665741176471,143.098403114075,141.281277788568,144.915528439581,130.561863524629,155.63494270352
"3078","Pyridoxal Hydrochloride",168.0661,134.75,0.59,210.353139215686,143.996897466656,142.138557044513,145.855237888799,131.454317606289,156.539477327024
"3079","Pyridoxal Hydrochloride",166.0504,131.85,0.72,214.040537254902,144.899387167472,142.993239858362,146.805534476582,132.349635058639,157.449139276305
"3080","PYRIDOXAL-PHOSPHATE",270.0148,160.8,0.5,217.727935294118,145.805820689612,143.845665780861,147.765975598364,133.247752060423,158.363889318802
"3081","PYRIDOXAL-PHOSPHATE",267.9997,153.2,0,221.415333333333,146.716148034109,144.696194724831,148.736101343387,134.148606834622,159.283689233595
"3082","PYRIDOXAL-PHOSPHATE",248.0313,151.3,0.1,225.102731372549,147.630320659874,145.545192651906,149.715448667841,135.052139581564,160.208501738183
"3083","PYRIDOXAL-PHOSPHATE",246.0174,149.4,0.1,228.790129411765,148.548291417951,146.393020103398,150.703562732504,135.958292416026,161.138290419876
"3084","PYRIDOXAMINE",191.0789,144.1,0,232.47752745098,149.470014489746,147.240023641592,151.700005337901,136.867009307966,162.073019671527
"3085","PYRIDOXAMINE",167.0826,133.9,0.1,236.164925490196,150.395445328938,148.086529966399,152.704360691477,137.77823602654,163.012654631335
