"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi"
"162","2-Deoxycytidine-5-monophosphate",330.0467,165.79,0.17,304.0344,163.990520448981,162.134479415007,165.846561482954,151.196442624058,176.784598273903
"163","2-Deoxycytidine-5-monophosphate",306.0491,164.79,0.09,306.814872357724,164.227693668833,162.383026114244,166.072361223422,151.435260848711,177.020126488955
"164","2-Deoxycytidine-5-monophosphate",308.0648,164.76,0.34,309.595344715447,164.46977350471,162.636670601811,166.30287640761,151.679003186899,177.260543822521
"897","CDP-ETHANOLAMINE",445.0534,188.2,0.1,312.375817073171,164.716827031777,162.895479552692,166.538174510862,151.927736145012,177.505917918543
"898","CDP-ETHANOLAMINE",467.0351,186.1,0,315.156289430894,164.968920581097,163.159518627143,166.778322535051,152.181525439734,177.75631572246
"951","CITICOLINE",509.0831,210.2,0.1,317.936761788618,165.226119642554,163.428852354546,167.023386930562,152.440435899597,178.011803385511
"952","CITICOLINE",511.0926,207.8,0,320.717234146341,165.488488764479,163.70354401294,167.273433516018,152.704531363251,178.272446165707
"953","CITICOLINE",487.1,205.9,0.1,323.497706504065,165.756091450005,163.9836555042,167.528527395811,152.973874574504,178.538308325507
"954","CITICOLINE",489.1105,198.3,0,326.278178861789,166.028990050211,164.269247224881,167.788732875542,153.248527074181,178.809453026241
"1088","CYTIDINE 2',3'-CYCLIC PHOSPHATE",344.0029,168,0.1,329.058651219512,166.307245654102,164.560377932719,168.054113375485,153.528549088866,179.085942219338
"1089","CYTIDINE 2',3'-CYCLIC PHOSPHATE",328.0301,167.4,0.1,331.839123577236,166.59091797551,164.857104608832,168.324731342188,153.813999416607,179.367836534413
"1090","CYTIDINE 2',3'-CYCLIC PHOSPHATE",322.0444,167.1,0.1,334.619595934959,166.880065236994,165.159482315635,168.600648158353,154.104935309684,179.655195164304
"1091","CYTIDINE 2',3'-CYCLIC PHOSPHATE",326.0157,165,0,337.400068292683,167.174744050846,165.467564050543,168.881924051148,154.401412354541,179.94807574715
"1092","CYTIDINE 2',3'-CYCLIC PHOSPHATE",304.0344,164.5,0.3,340.180540650406,167.475009297306,165.781400595511,169.168617999101,154.703484349001,180.246534245611
"1093","CYTIDINE 2',3'-CYCLIC PHOSPHATE",306.0479,163.3,0.1,342.96101300813,167.780914000139,166.1010403625,169.460787637779,155.011203176914,180.550624823365
"1097","Cytidine 5'-Diphosphocholine",511.0971,207.94,0.23,345.741485365854,168.092509199698,166.426529234986,169.75848916441,155.324618680384,180.860399719013
"1098","Cytidine 5'-Diphosphocholine",487.0995,207.38,0.22,348.521957723577,168.409843823648,166.757910405617,170.06177724168,155.643778529754,181.175909117543
"1099","Cytidine 5'-Diphosphocholine",489.1152,197.87,0.13,351.302430081301,168.732964555533,167.095224210175,170.37070490089,155.968728091522,181.497201019543
"1100","Cytidine 5'-Monophosphate",346.0416,170.68,0.03,354.082902439024,169.061915701371,167.438507958028,170.685323444715,156.299510294414,181.824321108328
"1101","Cytidine 5'-Monophosphate",324.0597,167.93,0.03,356.863374796748,169.396739054515,167.787795759245,171.005682349785,156.636165493826,182.157312615205
"1102","Cytidine 5'-Monophosphate",322.044,166.56,0.42,359.643847154472,169.73747375898,168.143118348642,171.331829169319,156.978731334868,182.496216183093
"1105","CYTIDINE DIPHOSPHATE",426.0052,179.9,0.1,362.424319512195,170.084156171521,168.504502906996,171.663809436045,157.327242614296,182.841069728745
"1106","CYTIDINE DIPHOSPHATE",423.9928,176.3,0.2,365.204791869919,170.436819722701,168.871972879756,172.001666565646,157.68173114158,183.191908303822
"1107","CYTIDINE DIPHOSPHATE",404.0233,175.6,0.1,367.985264227642,170.795494777266,169.245547793586,172.345441760945,158.04222559942,183.548763955111
