"","names.data.","PF","Sig4","Sig5","V5"
"1","(5'->5')-dinucleotides",NA,NA,NA,NA
"2","Benzene and substituted derivatives",1167.11043971803,NA,NA,"p"
"3","Carboxylic acids and derivatives",5306.458205153,NA,NA,"p"
"4","Cyclic Peptide",NA,NA,NA,NA
"5","Diazines",210.71334021723,207.259159900644,NA,"r"
"6","Fatty acyls",1730.43240615861,NA,NA,"p"
"7","Flavonoids",NA,NA,NA,NA
"8","Glycerophospholipids",1952.39602771221,NA,NA,"p"
"9","Homogeneous transition metal compounds",505.251647047759,NA,NA,"p"
"10","Imidazopyrimidines",NA,372.141090843892,NA,"r"
"11","Indoles and derivatives",NA,NA,NA,NA
"12","Naphthalenes",NA,NA,NA,NA
"13","Organofluorides",416.591396539115,NA,NA,"p"
"14","Organonitrogen compounds",703.59473297191,625.945440194104,NA,"r"
"15","Organooxygen compounds",2867.68214228166,NA,NA,"p"
"16","Peptidomimetics",263.117070919439,NA,NA,"p"
"17","Phenols",NA,NA,NA,NA
"18","Polypeptides",NA,NA,NA,NA
"19","Prenol lipids",171.619184880168,170.694779441968,NA,"r"
"20","Proteins",1259.83282179682,NA,NA,"p"
"21","Pteridines and derivatives",163.82177957173,NA,NA,"p"
"22","Purine nucleosides",NA,NA,NA,NA
"23","Purine nucleotides",NA,808.137295582555,NA,"r"
"24","Pyrenes",NA,113.122734365749,NA,"r"
"25","Pyridines and derivatives",324.714909773123,NA,NA,"p"
"26","Pyrimidine nucleosides",NA,NA,NA,NA
"27","Pyrimidine nucleotides",NA,776.926195952313,778.706979776994,"r"
"28","Sphingolipids",NA,NA,NA,NA
"29","Steroids and steroid derivatives",NA,NA,NA,NA
"30","Tryptic peptides",2302.0749714807,NA,NA,"p"
