"","class","y0","ymax","y50","H"
"1","Amines","94.3291025772756","246.142745130651","262.580370020184","0.00440989907736356"
"2","Amino acids, peptides, and analogues","-105.004957987273","531.585574267049","549.133898589875","0.000561179224220383"
"3","Benzenediols","140.280034618955","113.291276700175","135.297986064352","-0.0363221198148515"
"4","Biphenyls and derivatives","195.037265478734","126.228064612425","293.541414460318","-0.0042974337113133"
"5","Depsipeptides","364.818513070615","177.269841861702","929.997980717219","-0.0053238003654632"
"6","Diphenylethers","215.907056243579","138.754882310622","512.550368508965","-0.00209010402902365"
"7","Glycerophosphoethanolamines","45.5599662764974","318.343197450848","345.300641296296","0.00186163715641474"
"8","Glycerophosphoglycerols","203.869468359009","307.833408433843","682.749086430662","0.00428904208063681"
"9","Indoles","127.427671686375","159.467201385962","195.591592286065","0.0203912175466842"
"10","Indolyl carboxylic acids and derivatives","139.710351489284","149.083507648601","202.476138690619","1.25938690614509"
"11","Phosphate esters","106.286791193029","230.938844199596","289.269779273161","0.00431924401768397"
"12","Phosphosphingolipids","280.6795285329","309.125786612318","788.854877664882","0.0145778217571221"
"13","Quaternary ammonium salts","-29.1999714815238","384.697580653185","270.420960827604","0.00169467851340755"
