"","class","a","k"
"1","Organofluorides","6.37377687567861","0.532561165200538"
"2","Sphingolipids","11.4039977404866","0.488359526398133"
"3","Glycerolipids","7.62368214513104","0.549845117550424"
"4","Purine nucleotides","15.6065385253792","0.408236850294318"
"5","Benzene and substituted derivatives","22.9862116480997","0.349827842928657"
"6","Pteridines and derivatives","18.1362000949076","0.391451540815164"
"7","(5'-5')-dinucleotides","19.6920400169279","0.375150821911909"
"8","Fatty acyls","18.1108316669582","0.401580187288569"
"9","Phenols","15.4504774282883","0.427904192047154"
"10","Indoles and derivatives","18.1295393186475","0.392507503604666"
"11","Azoles","17.7076789478981","0.397783005680244"
"12","Imidazopyrimidines","18.5284037251267","0.386868193039278"
"13","Keto acids and derivatives","196.714753355731","-0.0739007237404984"
"14","Pyridines and derivatives","30.2920082936166","0.291514678975583"
"15","Purine nucleosides","23.3619363226302","0.345198087203814"
"16","5'-deoxyribonucleosides","19.1622106428296","0.380685892767751"
"17","Pyrenes","23.5462709777829","0.337053259587129"
"18","Naphthalenes","16.9264151201481","0.401310718603599"
"19","Steroids and steroid derivatives","16.0229241982741","0.424463122860031"
"20","Quinolines and derivatives","7.47988171390354","0.554230483862881"
"21","Flavonoids","14.6894001899556","0.433252293532711"
"22","Pyrimidine nucleosides","9.72209618123104","0.502925577460141"
"23","Phenanthrenes and derivatives","25.1022489127199","0.324001029270931"
"24","Isoflavonoids","8.71475526405408","0.526543607117923"
"25","Peptidomimetics","1.90269645307036","0.7287580194074"
"26","Fatty Acyls","54.2830579353539","0.204341416365024"
"27","Macrolactams","6.48789057336431","0.561412202729064"
