"","names.data.","PF2","PF3","Sig4","Sig5","V6","stderr"
"1","(5'->5')-dinucleotides",143.28012281421,NA,NA,NA,"p2",6.46280932579099
"2","5'-deoxyribonucleosides",70.8693612679549,NA,NA,NA,"p2",3.49073493808712
"3","Alkali metal salts",427.710043267341,422.512558972768,NA,NA,"p3",14.2949523675054
"4","Alkyl halides",315.229777709392,301.420411722367,NA,NA,"p3",5.22326182759643
"5","Azoles",100.262224098927,101.952134812361,101.273485120709,NA,"p2",5.5954778935849
"6","Benzene and substituted derivatives",2196.87821157343,2198.49070912603,NA,NA,"p2",23.3212120461978
"7","Carboxylic acids and derivatives",4664.38353556146,4428.18666957158,4396.31693217975,NA,"r",14.1797973721629
"8","Diazines",185.049122815479,184.827999977868,NA,NA,"p3",9.81080001769945
"9","Fatty acyls",1501.91322099633,NA,NA,NA,"p2",8.41795329951584
"10","Fatty Acyls",265.51118829445,NA,NA,NA,"p2",14.2221440107202
"11","Flavonoids",295.867580307068,297.57389648488,NA,NA,"p2",7.15830424485811
"12","Glycerolipids",95.0694178387582,NA,NA,NA,"p2",5.77462406946908
"13","Glycerophospholipids",2835.46208496586,2833.81096513725,NA,NA,"p3",5.26674681726332
"14","Imidazopyrimidines",247.997635915289,NA,251.737190988119,NA,"p2",5.07002236885784
"15","Indoles and derivatives",283.975627056698,NA,NA,NA,"p2",4.19100946981154
"16","Isoflavonoids",87.6471972265842,NA,NA,NA,"p2",3.67464987778263
"17","Keto acids and derivatives",91.281568779901,NA,NA,NA,"p2",15.7479733601702
"18","Macrolactams",102.113418445702,NA,NA,NA,"p2",5.95163058995595
"19","Naphthalenes",136.187666844036,138.180623940512,NA,NA,"p2",3.71288875775792
"20","Organic phosphoric acids and derivatives",389.292161422402,385.943557176748,381.729108441956,NA,"r",11.8087132353887
"21","Organic sulfonic acids and derivatives",153.842418537985,146.124253236003,NA,NA,"p3",9.29445318554291
"22","Organofluorides",382.844530897334,383.256971408907,NA,NA,"p2",5.12017252416213
"23","Organonitrogen compounds",293.407810552014,294.712899490022,245.011700276523,NA,"r",4.03778424986039
"24","Organooxygen compounds",2266.01202521245,2182.61266603244,NA,NA,"p3",11.6335864413915
"25","Peptidomimetics",652.943959339681,NA,NA,NA,"p2",28.5076215099789
"26","Phenanthrenes and derivatives",86.4105168868248,NA,NA,NA,"p2",2.9986308939619
"27","Phenols",201.713912478741,NA,NA,NA,"p2",6.43705944851889
"28","Polypeptides",2234.81762111084,2231.76184321487,NA,NA,"p3",23.5854206527608
"29","Prenol lipids",159.648406827211,146.631316816165,148.613836908959,NA,"p3",6.67410684389744
"30","Proteins",1238.56807947476,1216.71005239452,NA,NA,"p3",22.1536812241311
"31","Pteridines and derivatives",112.377058725727,NA,NA,NA,"p2",4.69854193946971
"32","Purine nucleosides",180.600248245905,NA,NA,NA,"p2",4.12144270303768
"33","Purine nucleotides",635.301875012073,NA,NA,NA,"p2",8.05964116430122
"34","Pyrenes",96.2858649868017,NA,NA,NA,"p2",4.08270779671063
"35","Pyridines and derivatives",212.400103896324,213.685801707935,NA,NA,"p2",4.70203184045049
"36","Pyrimidine nucleosides",81.9700361299011,NA,NA,NA,"p2",2.6101058920206
"37","Pyrimidine nucleotides",493.182936204626,NA,483.406975731465,NA,"r",5.51086823444626
"38","Quinolines and derivatives",103.368483531592,NA,NA,NA,"p2",6.20590174479124
"39","Sphingolipids",1558.75839360028,NA,NA,NA,"p2",9.46588921440729
"40","Steroids and steroid derivatives",756.877018567657,NA,NA,NA,"p2",12.1952591356993
