"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1","Nicotinamide Hypoxanthine Dinucleotide",685.0673,217.2,8e-04,662.1013,225.197118385765,219.232884216835,231.161352554695,207.734808825486,242.659427946044,6.46280932579096,8.17122418991823
"2","Nicotinamide Hypoxanthine Dinucleotide",663.0855,217.7,0.001,668.097535,225.960072656024,220.461641746534,231.458503565514,208.651320291292,243.268825020756,6.46280932579096,8.17122418991823
"3","Nicotinamide Hypoxanthine Dinucleotide",665.0966,221.4,0.0046,674.09377,226.718760120834,221.656104890338,231.781415351329,209.543468451111,243.894051790556,6.46280932579096,8.17122418991823
"4","Nicotinamide Hypoxanthine Dinucleotide",687.0784,230.5,0.0016,680.090005,227.473242280784,222.809219393707,232.137265167862,210.411200332402,244.535284229167,6.46280932579096,8.17122418991823
"5","NADPH",744.0837,246.7,0.0014,686.08624,228.223579217032,223.912112054933,232.535046379131,211.254521640165,245.192636793899,6.46280932579096,8.17122418991823
"6","NADPH",746.0989,232.4,0.0013,692.082475,228.969829636145,224.954135736761,232.98552353553,212.073499755052,245.866159517239,6.46280932579096,8.17122418991823
"7","beta-Nicotinamide Adenine Dinucleotide",684.0861,230.6,0.0012,698.07871,229.712050913162,225.923524198128,233.500577628197,212.868265690485,246.55583613584,6.46280932579096,8.17122418991823
"8","beta-Nicotinamide Adenine Dinucleotide",662.107,225.2,0.0092,704.074945,230.450299132938,226.808992930505,234.091605335372,213.639014922116,247.261583343761,6.46280932579096,8.17122418991823
"9","beta-Nicotinamide Adenine Dinucleotide",664.1143,227.7,0.0021,710.07118,231.184629129871,227.602236361026,234.767021898717,214.386007046276,247.983251213466,6.46280932579096,8.17122418991823
"10","beta-Nicotinamide Adenine Dinucleotide",686.0963,223.5,0.006,716.067415,231.915094526079,228.300446382392,235.529742669766,215.109564270838,248.720624781321,6.46280932579096,8.17122418991823
"11","Nicotinic Acid Adenine Dinucleotide Phosphate",743.0539,230.5,0.0022,722.06365,232.641747768104,228.907413650681,236.376081885527,215.810068788937,249.473426747271,6.46280932579096,8.17122418991823
"12","Nicotinic Acid Adenine Dinucleotide Phosphate",745.0614,230.8,0.0037,728.059885,233.364640162207,229.432440178442,237.296840145971,216.487959129803,250.24132119461,6.46280932579096,8.17122418991823
"13","NADP",760.0788,243.9,0.0023,734.05612,234.083821908324,229.887788501537,238.279855315112,217.143725618514,251.023918198135,6.46280932579096,8.17122418991823
"14","NADP",764.0518,231.6,0.0014,740.052355,234.799342132745,230.286122382194,239.312561883297,217.777905105457,251.820779160034,6.46280932579096,8.17122418991823
"15","NADP",742.0697,230.7,0.0014,746.04859,235.511248919565,230.638858940135,240.383638898994,218.391075145072,252.631422694057,6.46280932579096,8.17122418991823
"16","NADP",744.0791,232.7,0.0015,752.044825,236.219589340972,230.95550156533,241.483677116614,218.983847811614,253.45533087033,6.46280932579096,8.17122418991823
"17","NADP",782.026,242.9,0.0032,758.04106,236.924409486426,231.243609078468,242.605209894384,219.556863337582,254.29195563527,6.46280932579096,8.17122418991823
"18","NADP",766.0609,241.1,0.0014,764.037295,237.625754490763,231.509053246238,243.742455735288,220.110783749367,255.140725232159,6.46280932579096,8.17122418991823
"19","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",662.1013,226.4,0.002,770.03353,238.323668561291,231.756350611349,244.890986511232,220.646286656359,256.001050466222,6.46280932579096,8.17122418991823
"20","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",664.1169,240.4,0.0053,776.029765,239.018195003904,231.988970662919,246.047419344889,221.164059326334,256.872330681474,6.46280932579096,8.17122418991823
"21","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",686.0989,233.2,0.0076,782.026,239.709376248274,232.209588711143,247.209163785406,221.664793153637,257.753959342912,6.46280932579096,8.17122418991823
