"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"589","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",662.1013,226.4,0.002,662.1013,226.56592989468,222.012611636078,231.119248153282,210.325591077565,242.806268711795,6.16657792488604,8.22276956955133
"590","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",664.1169,240.4,0.0053,667.812,226.599658554738,222.060242442448,231.139074667028,210.363212010895,242.836105098581,6.16657792488604,8.22276956955133
"591","alpha-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae",686.0989,233.2,0.0076,673.5227,226.647666220121,222.12795306422,231.167379376022,210.416717241636,242.878615198606,6.16657792488604,8.22276956955133
"763","beta-Nicotinamide Adenine Dinucleotide",662.107,225.2,0.0092,679.2334,226.715863409378,222.223965939907,231.207760878848,210.492638064003,242.939088754752,6.16657792488604,8.22276956955133
"764","beta-Nicotinamide Adenine Dinucleotide",664.1143,227.7,0.0021,684.9441,226.812470150709,222.359620856788,231.26531944463,210.600013070891,243.024927230527,6.16657792488604,8.22276956955133
"765","beta-Nicotinamide Adenine Dinucleotide",684.0861,230.6,0.0012,690.6548,226.948780347444,222.550299875508,231.347260819379,210.7511716291,243.146389065787,6.16657792488604,8.22276956955133
"766","beta-Nicotinamide Adenine Dinucleotide",686.0963,223.5,0.006,696.3655,227.140040402284,222.816354735486,231.463726069082,210.962582150883,243.317498653686,6.16657792488604,8.22276956955133
"2075","NADP",742.0697,230.7,0.0014,702.0762,227.406309935523,223.183693672398,231.628926198647,211.255570452881,243.557049418165,6.16657792488604,8.22276956955133
"2076","NADP",744.0791,232.7,0.0015,707.7869,227.772995861563,223.683293819448,231.862697903678,211.656496225357,243.88949549777,6.16657792488604,8.22276956955133
"2077","NADP",760.0788,243.9,0.0023,713.4976,228.270474155643,224.348276875293,232.192671435992,212.195663760601,244.345284550685,6.16657792488604,8.22276956955133
"2078","NADP",764.0518,231.6,0.0014,719.2083,228.931880754101,225.206418380842,232.657343127359,212.903937416756,244.959824091445,6.16657792488604,8.22276956955133
"2079","NADP",766.0609,241.1,0.0014,724.919,229.787973692322,226.265802924172,233.310144460471,213.806059393635,245.769887991008,6.16657792488604,8.22276956955133
"2080","NADP",782.026,242.9,0.0032,730.6297,230.858415554042,227.494502558035,234.222328550049,214.9106317464,246.806199361683,6.16657792488604,8.22276956955133
"2081","NADPH",744.0825,232.4,0.0013,736.3404,232.140499892941,228.807144519604,235.473855266277,216.199133710097,248.081866075784,6.16657792488604,8.22276956955133
"2082","NADPH",744.0837,246.7,0.0014,742.0511,233.599246191563,230.086791062135,237.111701320992,217.619470261757,249.57902212137,6.16657792488604,8.22276956955133
"2083","NADPH",766.0666,240.7,0.0018,747.7618,235.165163829413,231.243199288623,239.087128370202,219.090410220422,251.239917438404,6.16657792488604,8.22276956955133
"2104","Nicotinamide Hypoxanthine Dinucleotide",664.0931,217.7,0.001,753.4725,236.744534028744,232.242857263849,241.246210793638,220.518598264475,252.970469793012,6.16657792488604,8.22276956955133
"2105","Nicotinamide Hypoxanthine Dinucleotide",666.1088,221.4,0.0046,759.1832,238.240423162412,233.085920710795,243.394925614029,221.821385637201,254.659460687623,6.16657792488604,8.22276956955133
"2106","Nicotinamide Hypoxanthine Dinucleotide",686.0751,217.2,8e-04,764.8939,239.575222978242,233.781036808034,245.369409148451,222.944273182587,256.206172773898,6.16657792488604,8.22276956955133
"2107","Nicotinamide Hypoxanthine Dinucleotide",688.0907,230.5,0.0016,770.6046,240.704368869557,234.339431079103,247.06930666001,223.866069347131,257.542668391982,6.16657792488604,8.22276956955133
"2111","Nicotinic Acid Adenine Dinucleotide Phosphate",743.0539,230.5,0.0022,776.3153,241.617206030966,234.775934833592,248.45847722834,224.593138088004,258.641273973928,6.16657792488604,8.22276956955133
"2112","Nicotinic Acid Adenine Dinucleotide Phosphate",745.0614,230.8,0.0037,782.026,242.328500646036,235.108651433225,249.548349858847,225.148799822497,259.508201469575,6.16657792488604,8.22276956955133
