"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"286","(S)-Adenosyl-L-homocysteine",383.1152,186.4,0.0013,250.0947,156.808701292726,152.027213411405,161.590189174047,146.041224628115,167.576177957338,3.49073493808712,12.6896850260598
"427","5'-Deoxyadenosine",250.0947,154.9,0.0015,264.368718181818,160.157326699446,156.078740652401,164.23591274649,149.683034766008,170.631618632883,3.49073493808712,12.6896850260598
"429","5'-Methylthioadenosine",296.0817,168.3,0.0085,278.642736363636,163.395761410178,159.906206352489,166.885316467867,153.136476743869,173.655046076487,3.49073493808712,12.6896850260598
"1220","(S)-Adenosyl-L-homocysteine",385.1274,183,0.0012,292.916754545455,166.533010497645,163.479189143833,169.586831851456,156.413635407022,176.652385588268,3.49073493808712,12.6896850260598
"1221","(S)-Adenosyl-L-methionine",399.1451,185.6,0.0021,307.190772727273,169.57694554203,166.759181833505,172.394709250555,159.526287867986,179.627603216073,3.49073493808712,12.6896850260598
"1319","5'-Deoxyadenosine",252.108,152.3,6e-04,321.464790909091,172.534492783213,169.724641711154,175.344343855273,162.486050594949,182.582934971477,3.49073493808712,12.6896850260598
"1320","5'-Deoxyadenosine",252.108,159.6,0.0094,335.738809090909,175.411783151301,172.397882527981,178.425683774621,165.304383667212,185.519182635391,3.49073493808712,12.6896850260598
"1321","5'-Methylthioadenosine",298.0992,171,0.0065,350.012827272727,178.214273178431,174.836582521378,181.591963835483,167.992496349598,188.436050007264,3.49073493808712,12.6896850260598
"1322","5'-Methylthioadenosine",298.0974,162,0.0058,364.286845454545,180.946843390835,177.101639976972,184.792046804699,170.561203465548,191.332483316122,3.49073493808712,12.6896850260598
"2235","(S)-Adenosyl-L-homocysteine",407.1089,189.3,0.0035,378.560863636364,183.613879086545,179.239191142538,187.988567030551,173.020776520669,194.20698165242,3.49073493808712,12.6896850260598
"2319","5'-Deoxyadenosine",274.0895,168,0.006,392.834881818182,186.219337192197,181.279952853738,191.158721530656,175.380820457573,197.057853926822,3.49073493808712,12.6896850260598
"2320","5'-Methylthioadenosine",320.0793,173.5,0.0112,407.1089,188.766802012846,183.243841139113,194.289762886579,177.650191730188,199.883412295505,3.49073493808712,12.6896850260598
