"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"900","Cs(CsI)(NaI)2 or Na(CsI)2(NaI)",692.5038,167.5,0.0074,172.884,123.513642744342,113.979019060691,133.048266427994,87.8381177184232,159.189167770262,14.2949523675054,43.8440197813594
"901","Cs(CsI)(NaI)5",1142.1866,204.3,0.0028,224.04641,129.299835413192,120.212379748953,138.387291077431,93.7412093495259,164.858461476858,14.2949523675054,43.8440197813594
"902","Cs(CsI)(NaI)7 or Na(CsI)2(NaI)6",1441.9751,234.2,0.0024,275.20882,134.74669224966,126.072484181771,143.420900317549,99.2914257481776,170.201958751143,14.2949523675054,43.8440197813594
"903","Cs(CsI)(NaI)8 or Na(CsI)2(NaI)7",1591.8693,242.3,9e-04,326.37123,139.932917221276,131.64420355381,148.221630888742,104.569987317952,175.295847124599,14.2949523675054,43.8440197813594
"904","Cs(CsI)1",392.7153,129.4,0.0038,377.53364,144.909478922633,136.982285526572,152.836672318694,109.629535155321,180.189422689945,14.2949523675054,43.8440197813594
"905","Cs(CsI)10",2731.0045,282.1,0.0046,428.69605,149.711837341417,142.124602209551,157.299072473283,114.506721604747,184.916953078087,14.2949523675054,43.8440197813594
"906","Cs(CsI)2",652.5253,152.8,0.0051,479.85846,154.365954204056,147.098661654054,161.633246754059,119.228401954455,189.503506453658,14.2949523675054,43.8440197813594
"907","Cs(CsI)2(NaI)2 or Na(CsI)3(NaI)",952.3137,186.4,0.0045,531.02087,158.891578747897,151.925167104405,165.857990391388,123.815020646043,193.96813684975,14.2949523675054,43.8440197813594
"908","Cs(CsI)2(NaI)3 or Na(CsI)3(NaI)2",1102.208,200.7,0.0041,582.18328,163.304189005408,156.620120260313,169.988257750504,128.282612626335,198.325765384482,14.2949523675054,43.8440197813594
"909","Cs(CsI)2(NaI)4 or Na(CsI)3(NaI)3",1252.1022,207.3,0.0041,633.34569,167.616209004154,161.196141751598,174.03627625671,132.644058646856,202.588359361453,14.2949523675054,43.8440197813594
"910","Cs(CsI)2(NaI)5 or Na(CsI)3(NaI)4",1401.9965,222.7,0.0067,684.5081,171.837808779416,165.66334243808,178.012275120753,136.90991059349,206.765706965343,14.2949523675054,43.8440197813594
"911","Cs(CsI)2(NaI)6 or Na(CsI)3(NaI)5",1551.8907,237.7,0.0021,735.67051,175.97745072674,170.029923902359,181.924977551121,141.088955310444,210.865946143035,14.2949523675054,43.8440197813594
"912","Cs(CsI)3",912.3352,173.8,0.0048,786.83292,180.042274781157,174.302609564546,185.781939997769,145.188612220604,214.895937341711,14.2949523675054,43.8440197813594
"913","Cs(CsI)3(NaI)2 or Na(CsI)4(NaI)",1212.1237,203.8,0.0015,837.99533,184.038377357773,178.486967051754,189.589787663792,149.215221362489,218.861533353058,14.2949523675054,43.8440197813594
"914","Cs(CsI)3(NaI)3 or Na(CsI)4(NaI)2",1362.0179,211.3,0.0063,889.15774,187.971018050404,182.58765942833,193.354376672478,153.174256891641,222.767779209167,14.2949523675054,43.8440197813594
"915","Cs(CsI)4",1172.1451,199.3,0.0066,940.32015,191.844775874887,186.608649011155,197.080902738619,157.070488511675,226.619063238099,14.2949523675054,43.8440197813594
"916","Cs(CsI)4(NaI)2 or Na(CsI)5(NaI)",1471.9336,214,0.0073,991.48256,195.663669445373,190.553368482608,200.773970408137,160.908105674716,230.419233216029,14.2949523675054,43.8440197813594
"917","Cs(CsI)4(NaI)3 or Na(CsI)5(NaI)2",1621.8278,230.5,0.0063,1042.64497,199.4312508383,194.424867716622,204.437633959978,164.690814614108,234.171687062492,14.2949523675054,43.8440197813594
"918","Cs(CsI)5",1431.955,213.3,0.0041,1093.80738,203.150679911579,198.225940136837,208.075419686322,168.421915192185,237.879444630974,14.2949523675054,43.8440197813594
"919","Cs(CsI)6",1691.7649,223.5,0.0025,1144.96979,206.824783871023,201.959229175155,211.690338566891,172.104362508594,241.545205233452,14.2949523675054,43.8440197813594
"920","Cs(CsI)7",1951.5748,242.4,0.0038,1196.1322,210.45610553972,205.627313487854,215.284897591586,175.740816836235,245.171394243205,14.2949523675054,43.8440197813594
"921","Cs(CsI)8",2211.3847,256.1,0.0039,1247.29461,214.04694286357,209.23276909062,218.86111663652,179.333684500197,248.760201226943,14.2949523675054,43.8440197813594
"922","Cs(CsI)9",2471.1946,267.4,0.0037,1298.45702,217.599381537674,212.778207417889,222.420555657458,182.885151645893,252.313611429455,14.2949523675054,43.8440197813594
"923","Cs(NaI)3 or Na(CsI)(NaI)2",582.5882,164.6,0.0095,1349.61943,221.115322174776,216.26629013436,225.964354215192,186.397212364259,255.833431985293,14.2949523675054,43.8440197813594
"924","Cs(NaI)4 or Na(CsI)(NaI)3",732.4824,165.6,0.0071,1400.78184,224.596503100672,219.699723707995,229.493282493349,189.871692294756,259.321313906589,14.2949523675054,43.8440197813594
"925","Cs(NaI)5 or Na(CsI)(NaI)4",882.3767,194.7,0.0067,1451.94425,228.044519614155,223.081238602316,233.007800625994,193.31026857158,262.77877065673,14.2949523675054,43.8440197813594
"926","Cs(NaI)6 or Na(CsI)(NaI)5",1032.2709,204,0.0052,1503.10666,231.460840364835,226.413558939854,236.508121789816,196.714486788249,266.20719394142,14.2949523675054,43.8440197813594
"927","Cs(NaI)7 or Na(CsI)(NaI)6",1182.1652,216.7,0.0079,1554.26907,234.846821363342,229.699368442905,239.994274283778,200.085775512357,269.607867214326,14.2949523675054,43.8440197813594
"928","Cs(NaI)9 or Na(CsI)(NaI)8",1481.9537,241.5,0.0068,1605.43148,238.203718032687,232.941277530243,243.466158535131,203.425458773088,272.981977292286,14.2949523675054,43.8440197813594
"2035","Na(CsI)1 or Cs(NaI)1",282.7997,132.8,0.0041,1656.59389,241.532695628226,236.141795010657,246.923596245796,206.734766860056,276.330624396396,14.2949523675054,43.8440197813594
"2036","Na(CsI)2 or Cs(NaI)(CsI)",542.6096,155.8,0.0062,1707.7563,244.834838290525,239.303306274498,250.366370306551,210.014845706803,279.654830874247,14.2949523675054,43.8440197813594
"2037","Na(CsI)3 or Cs(NaI)(CsI)2",802.4195,169.9,0.0062,1758.91871,248.111156945992,242.428058553211,253.794255338773,213.266765081186,282.955548810798,14.2949523675054,43.8440197813594
"2038","Na(CsI)4 or Cs(CsI)3(NaI)",1062.2294,187.6,0.002,1810.08112,251.362596231113,245.518152853283,257.207039608942,216.491525764567,286.233666697658,14.2949523675054,43.8440197813594
"2039","Na(CsI)5 or Cs(CsI)4(NaI)",1322.0393,209.2,0.009,1861.24353,254.590040585079,248.575541598984,260.604539571175,219.690065869618,289.490015300541,14.2949523675054,43.8440197813594
"2040","Na(CsI)5 or Cs(CsI)4(NaI)",1322.0594,230.9,0.0127,1912.40594,257.794319630767,251.602030775531,263.986608486003,222.863266420868,292.725372840666,14.2949523675054,43.8440197813594
"2041","Na(CsI)6 or Cs(CsI)5(NaI)",1581.8492,218.6,0.0039,1963.56835,260.97621294395,254.599285354591,267.35314053331,226.011956301401,295.9404695865,14.2949523675054,43.8440197813594
"2042","Na(NaI)1",172.884,136.8,0.0052,2014.73076,264.136454294416,257.568836912375,270.704071676457,229.136916652284,299.135991936548,14.2949523675054,43.8440197813594
"2043","Na(NaI)10",1521.9322,254,0.0046,2065.89317,267.275735429337,260.512092542201,274.039378316473,232.238884797597,302.312586061077,14.2949523675054,43.8440197813594
"2044","Na(NaI)11",1671.8265,265,0.01,2117.05558,270.394709458412,263.430344367668,277.359074549155,235.318557756674,305.470861160149,14.2949523675054,43.8440197813594
"2045","Na(NaI)12",1821.7207,272.7,0.0185,2168.21799,273.493993891273,266.324779150496,280.663208632049,238.376595395861,308.611392386684,14.2949523675054,43.8440197813594
"2046","Na(NaI)13",1971.615,276.9,0.0053,2219.3804,276.574173370233,269.196487645166,283.951859095299,241.413623264411,311.734723476054,14.2949523675054,43.8440197813594
"2047","Na(NaI)14",2121.5092,292.3,0.0032,2270.54281,279.635802135232,272.046473477449,287.225130793016,244.430235152694,314.841369117771,14.2949523675054,43.8440197813594
"2048","Na(NaI)16",2421.2977,311.2,0.0122,2321.70522,282.679406252665,274.875661417836,290.483151087493,247.426995405557,317.931817099772,14.2949523675054,43.8440197813594
"2049","Na(NaI)17",2571.192,317.2,0.0129,2372.86763,285.705485635386,277.684904988512,293.726066282261,250.404441019127,321.006530251646,14.2949523675054,43.8440197813594
"2050","Na(NaI)3",472.6725,164,0.0022,2424.03004,288.714515877559,280.474993389087,296.954038366031,253.363083545556,324.065948209562,14.2949523675054,43.8440197813594
"2051","Na(NaI)4",622.5668,183.4,0.0037,2475.19245,291.70694992483,283.246657756931,300.16724209273,256.303410826989,327.110489022671,14.2949523675054,43.8440197813594
"2052","Na(NaI)5",772.461,192,0.0029,2526.35486,294.683219597724,286.00057679676,303.365862398688,259.225888577253,330.140550618195,14.2949523675054,43.8440197813594
"2053","Na(NaI)6",922.3553,202,0.0073,2577.51727,297.643736983854,288.737381824686,306.550092143021,262.130961827477,333.15651214023,14.2949523675054,43.8440197813594
"2054","Na(NaI)7",1072.2495,215.5,0.0053,2628.67968,300.58889571262,291.457661276663,309.720130148576,265.019056249803,336.158735175436,14.2949523675054,43.8440197813594
"2055","Na(NaI)8",1222.1437,229.2,0.0045,2679.84209,303.519072124407,294.161964732297,312.876179516517,267.890579371645,339.147564877169,14.2949523675054,43.8440197813594
"2056","Na(NaI)9",1372.038,240.7,0.0051,2731.0045,306.434626344859,296.850806503548,316.018446186169,270.74592169147,342.123330998248,14.2949523675054,43.8440197813594
