"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"88","PFUdA",562.9572,182.9,4e-04,168.9894,109.084486418491,106.698883539924,111.470089297059,96.6690226794363,121.499950157546,5.09533592404571,41.9851164104615
"89","PFUdA",518.9687,163.4,0.0021,186.621486666667,111.927828055935,109.598702481111,114.256953630759,99.5230924801613,124.332563631708,5.09533592404571,41.9851164104615
"90","N_MeFOSAA",569.9697,192.7,0.0021,204.253573333333,114.825954061322,112.55326786494,117.098640257704,102.431691626276,127.220216496367,5.09533592404571,41.9851164104615
"91","PFPeA",218.9861,117.4,0.0018,221.88566,117.777212669591,115.560743055908,119.993682283275,105.39313513794,130.161290201242,5.09533592404571,41.9851164104615
"92","PFDS-L",598.9263,186.2,0.001,239.517746666667,120.77977309651,118.619093450175,122.940452742845,108.405558968104,133.153987224916,5.09533592404571,41.9851164104615
"93","PFBS-L",298.9444,133.6,0.0034,257.149833333333,123.831626630046,121.726086579264,125.937166680828,111.466921309376,136.196331950716,5.09533592404571,41.9851164104615
"94","N_EtFOSAA",583.9843,196.3,0.0027,274.78192,126.930588898383,124.879293563636,128.98188423313,114.575005087332,139.286172709434,5.09533592404571,41.9851164104615
"95","FBSA",297.9592,135,0.0029,292.414006666667,130.074303350994,128.076092057456,132.072514644533,117.727421674426,142.421185027563,5.09533592404571,41.9851164104615
"96","PFHxA",268.9837,125.1,0.0029,310.046093333333,133.260245976522,131.313670844953,135.20682110809,120.921615845733,145.59887610731,5.09533592404571,41.9851164104615
"97","PFDoA",612.9539,191.4,0.0013,327.67818,136.485731267505,134.589036270178,138.382426264831,124.154871983804,148.816590551206,5.09533592404571,41.9851164104615
"98","PFDoA",568.965,171.5,3e-04,345.310266666667,139.747919427345,137.89902070218,141.59681815251,127.424321525049,152.071517329641,5.09533592404571,41.9851164104615
"99","PFDA",512.9604,174.2,6e-04,362.942353333333,143.04382479956,141.240293251154,144.847356347966,130.726951624616,155.360697974504,5.09533592404571,41.9851164104615
"100","PFDA",468.9698,155.3,0.0013,380.57444,146.370325483647,144.609372948916,148.131278018378,134.059615000855,158.681035966439,5.09533592404571,41.9851164104615
"101","PFBA",168.9894,110.8,6e-04,398.206526666667,149.724174086017,148.002644576988,151.445703595045,137.419040904616,162.029307267418,5.09533592404571,41.9851164104615
"102","PFHpA",318.9803,132.4,0.0031,415.838613333333,153.102009538757,151.416377253291,154.787641824223,140.801847142944,165.402171934569,5.09533592404571,41.9851164104615
"103","PFHpS-L",448.9336,159.2,0.0011,433.4707,156.500369903821,154.84674576026,158.153994047382,144.204553071673,168.796186735969,5.09533592404571,41.9851164104615
"104","PFNA",462.9633,165.2,0.0017,451.102786666667,159.915706065859,158.289854405445,161.541557726273,147.62359345723,172.207818674489,5.09533592404571,41.9851164104615
"105","PFNA",418.9751,147,0.0019,468.734873333333,163.344396203686,161.741762955484,164.947029451888,151.055333094978,175.633459312394,5.09533592404571,41.9851164104615
"106","PFOS-L",498.9298,168.3,0.0021,486.36696,166.78276091858,165.198513900726,168.367007936434,154.496082059949,179.069439777211,5.09533592404571,41.9851164104615
"107","FHxSA",397.9529,152,0.0016,503.999046666667,170.227078887497,168.656160038392,171.797997736603,157.942111456037,182.512046318957,5.09533592404571,41.9851164104615
"108","N-ethylperfluorooctane sulfonamide",525.9766,178.4,0.000128,521.631133333333,173.673602901127,172.110791172175,175.236414630079,161.389669522046,185.957536280209,5.09533592404571,41.9851164104615
"109","N-ethylperfluorooctane sulfonamido acetic acid",1168.9729,283.6,2e-04,539.26322,177.118576140664,175.558558682289,178.67859359904,164.83499794732,189.402154334008,5.09533592404571,41.9851164104615
"110","N-ethylperfluorooctane sulfonamido acetic acid",583.9839,196.8,0.000261,556.895306666667,180.558248543411,178.995696866381,182.120800220442,168.27434824648,192.842148840343,5.09533592404571,41.9851164104615
"111","N-methylperfluorooctane sulfonamide",511.9613,174,0.000135,574.527393333333,183.988893105919,182.418540287495,185.559245924342,171.703998041821,196.273788170016,5.09533592404571,41.9851164104615
"112","N-methylperfluorooctane sulfonamido acetic acid",1140.9423,275.8,0.000406,592.15948,187.406821974349,185.823536834639,188.99010711406,175.120267103468,199.693376845231,5.09533592404571,41.9851164104615
"113","N-methylperfluorooctane sulfonamido acetic acid",569.9687,193.2,0.000192,609.791566666667,190.80840217513,189.207256706342,192.409547643918,178.519533001208,203.097271349052,5.09533592404571,41.9851164104615
"114","PFDoS-L",698.921,203.7,0.0034,627.423653333333,194.190070844593,192.566397958268,195.813743730917,181.89824622807,206.481895461115,5.09533592404571,41.9851164104615
"115","Perfluorobutanesulfonic acid",598.8926,196.9,0.000717,645.05574,197.548349824132,195.897789527935,199.198910120329,185.252944663954,209.84375498431,5.09533592404571,41.9851164104615
"116","Perfluorobutanesulfonic acid",298.943,133.3,0.000333,662.687826666667,200.87985949717,199.198392728568,202.561326265772,188.580267257772,213.179451736569,5.09533592404571,41.9851164104615
"117","Perfluorodecane sulfonic acid",598.923,186.9,0.000388,680.319913333333,204.181331755756,202.465302108983,205.89736140253,191.87696681846,216.485696693053,5.09533592404571,41.9851164104615
"118","Perfluorodecylphosponic acid",598.9329,188.3,2.4e-05,697.952,207.449621997625,205.69574636361,209.203497631641,195.139921818452,219.759322176799,5.09533592404571,41.9851164104615
"119","Perfluorohexanesulfonic acid",798.8799,228.7,0.000418,715.584086666667,210.681720068725,208.887089715113,212.476350422337,198.366147127621,222.99729300983,5.09533592404571,41.9851164104615
"120","Perfluorohexanesulfonic acid",398.9357,150.8,0.000317,733.216173333333,213.874760081292,212.036833941205,215.712686221378,201.55280361091,226.196716551673,5.09533592404571,41.9851164104615
"121","PFHxS-L",398.9378,150.5,0.0013,750.84826,217.026029053163,215.14262101564,218.909437090687,204.697206538528,229.354851567798,5.09533592404571,41.9851164104615
