"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"356","4-IMIDAZOLEACETATE",127.0501,123.9,0.1,127.0501,123.4867507181,117.966514292965,129.006987143236,107.645199531144,139.328301905057,5.37259983617856
"594","ALLANTOIN",157.0373,125.5,0.3,157.048354545455,133.216450915558,128.461145003784,137.971756827333,117.624957461302,148.807944369815,5.37259983617856
"595","ALLANTOIN",181.0325,142.2,0.1,187.046609090909,141.955649953199,137.598103031247,146.313196875151,126.480833346964,157.430466559433,5.37259983617856
"596","Allantoin",157.0362,127.75,0.16,217.044863636364,149.943203095893,145.639853534999,154.246552656786,134.483560433049,165.402845758737,5.37259983617856
"597","Allantoin",181.0338,144.89,0.46,247.043118181818,157.335891882211,152.807723339545,161.864060424878,141.812166679465,172.859617084957,5.37259983617856
"1853","Halosulfuron-methyl",433.0333,194.37,0.19,277.041372727273,164.243063557952,159.297198142323,169.188928973581,148.59239844336,179.893728672544,5.37259983617856
"1854","Halosulfuron-methyl",457.0309,199.52,0.48,307.039627272727,170.744505583933,165.263467305371,176.225543862496,154.916570960912,186.572440206955,5.37259983617856
"1855","Halosulfuron-methyl",435.049,194.64,0.3,337.037881818182,176.900509256167,170.819073489326,182.981945023009,160.854774782302,192.946243730033,5.37259983617856
"3722","UROCANATE",137.0351,120.9,0.2,367.036136363636,182.75792384651,176.043247798959,189.472599894062,166.46164794546,199.05419974756,5.37259983617856
"3723","UROCANATE",139.0493,134.6,0.1,397.034390909091,188.353993962311,180.992439202688,195.715548721935,171.780695488606,204.927292436016,5.37259983617856
"3724","Urocanate",137.0351,123.45,0.56,427.032645454545,193.718896909758,185.708059777081,201.729734042436,176.84716773383,210.590626085686,5.37259983617856
"3725","Urocanate",139.0508,136.24,0.07,457.0309,198.877480222874,190.221495045635,207.533465400113,181.690048384226,216.064912061522,5.37259983617856
