"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"126","Bis(2-ethylhexyl)phthalate",407.2794,202.9,0.0011,108.0461,118.271602383275,112.687022593449,123.856182173101,63.3658301986817,173.177374567868,23.3212120461978,34.3989439748226
"132","2,2',3,3',4,4'-Hexabromodiphenyl Ether",574.6128,183.9,8e-04,111.30220376569,119.506463528797,113.999769657119,125.013157400476,64.6085586038015,174.404368453793,23.3212120461978,34.3989439748226
"133","2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",808.3443,202.1,6e-04,114.558307531381,120.718054556385,115.287042239599,126.149066873172,65.8276894406152,175.608419672156,23.3212120461978,34.3989439748226
"134","2,2',3,4,4'-Pentabromodiphenyl ether",496.7023,176.4,7e-04,117.814411297071,121.907457174545,116.550000604984,127.264913744106,67.0243210701622,176.790593278928,23.3212120461978,34.3989439748226
"135","2,2',3,4,4',5,5'6-Octabromodiphenyl Ether",730.4338,195,5e-04,121.070515062762,123.075674543156,117.789720259108,128.361628827204,68.1994720465313,177.95187703978,23.3212120461978,34.3989439748226
"136","2,2',3,4,4',5'-Hexabromodiphenyl ether",574.6128,184.2,8e-04,124.326618828452,124.22363892065,119.007200206183,129.440077635118,69.3540888895147,179.093188951786,23.3212120461978,34.3989439748226
"137","2,2',3,4,4',5',6-Heptabromodiphenyl Ether",652.5233,189.2,0.002,127.582722594142,125.352218387302,120.20337020941,130.501066565194,70.4890529179594,180.215383856645,23.3212120461978,34.3989439748226
"138","2,2',4-Tribromodiphenyl ether",340.8813,160.1,7e-04,130.838826359833,126.46222277682,121.37909719817,131.545348355469,71.6051862782464,181.319259275393,23.3212120461978,34.3989439748226
"139","2,2',4,4'-Tetrabromodiphenyl ether",418.7918,169.2,3e-04,134.094930125523,127.554408926731,122.535190940972,132.573626912489,72.7032572802425,182.405560573219,23.3212120461978,34.3989439748226
"140","2,2',4,4',5,5'-Hexabromodiphenyl Ether",574.6128,182.9,0.0051,137.351033891213,128.629485340326,123.672409084244,133.586561596407,73.7839851350574,183.474985545594,23.3212120461978,34.3989439748226
"141","2,2',4,4',5,6-Hexabromodiphenyl Ether",574.6128,182.9,0.0011,140.607137656904,129.688116338416,124.791461641365,134.584771035468,74.8480441741707,184.528188502661,23.3212120461978,34.3989439748226
"142","2,2',4,4',6-Pentabromodiphenyl Ether",496.7023,174.8,3e-04,143.863241422594,130.730925767187,125.893015003436,135.568836530937,75.8960676173245,185.565783917049,23.3212120461978,34.3989439748226
"143","2,3,3',4,4',5,6-Heptabromodiphenyl ether",652.5233,190.4,3e-04,147.119345188285,131.75850031852,126.977695532605,136.539305104435,76.9286509464993,186.588349690541,23.3212120461978,34.3989439748226
"144","2,3,4,5,6-Pentabromodiphenyl ether",496.7023,171.4,0,150.375448953975,132.771392510928,128.046092789842,137.496692232015,77.9463549349121,187.596430086944,23.3212120461978,34.3989439748226
"145","2,3',4,4'-Tetrabromodiphenyl ether",418.7918,169.7,0.001,153.631552719665,133.770123372333,129.098762441645,138.44148430302,78.9497083729711,188.590538371694,23.3212120461978,34.3989439748226
"146","3,3',4,4'-Tetrabromodiphenyl ether",418.7918,171.5,3e-04,156.887656485356,134.755184860175,130.136228883938,139.374140836413,79.9392105272502,189.5711591931,23.3212120461978,34.3989439748226
"147","Decabromodiphenyl Ether",886.2549,204.5,0.002,160.143760251046,135.727042049455,131.158987616122,140.295096482789,80.9153333635971,190.538750735313,23.3212120461978,34.3989439748226
"148","2,2,3,4,4,5-Hexachlorobiphenyl",338.8661,167.4,0.0012,163.399864016736,136.686135115195,132.167507393857,141.204762836534,81.8785235613104,191.49374666908,23.3212120461978,34.3989439748226
"149","2,2,4,5,5-Pentachlorobiphenyl",304.9061,162,7e-04,166.655967782427,137.632881132335,133.162232185332,142.103530079338,82.8292043417689,192.436557922901,23.3212120461978,34.3989439748226
"150","2,2',3,3',4,4',5,5'-Octachlorobiphenyl ",406.7925,179.7,3e-04,169.912071548117,138.567675713088,134.143582952613,142.991768473563,83.7677771318792,193.367574294297,23.3212120461978,34.3989439748226
"151","2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl ",440.7536,182.8,3e-04,173.168175313808,139.490894499258,135.111959276871,143.869829721644,84.6946230801241,194.287165918391,23.3212120461978,34.3989439748226
"152","2,2',3,3',4,4',5,6-Octachlorobiphenyl ",406.7925,177.4,3e-04,176.424279079498,140.402894524829,136.067740843991,144.738048205667,85.6101044407861,195.195684608871,23.3212120461978,34.3989439748226
"153","2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",440.7536,181.1,0.0011,179.680382845188,141.30401546229,137.011288804989,145.596742119591,86.5145658400151,196.093465084565,23.3212120461978,34.3989439748226
"154","2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",440.7536,181.4,8e-04,182.936486610879,142.19458076452,137.942947023964,146.446214505075,87.4083354357758,196.980826093264,23.3212120461978,34.3989439748226
