"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1018","Thiamine Pyrophosphate",423.0306,178.1,0.0022,111.0201,115.968584546869,108.212766035622,123.724403058115,90.166658496613,141.770510597124,9.81080001770098,26.5056994144519
"1019","Thiamine Pyrophosphate",425.0434,182,0.0024,125.629073913043,123.878483646317,117.264545286914,130.49242200572,98.3965126129478,149.360454679686,9.81080001770098,26.5056994144519
"1020","Thiamine Pyrophosphate",447.0265,187,0.0018,140.238047826087,130.556414382318,124.733075557038,136.379753207598,105.268117836337,155.844710928299,9.81080001770098,26.5056994144519
"1021","Uracil-5-carboxylate",155.0103,119.3,0.0064,154.84702173913,136.295248594868,130.965926777884,141.624570411853,111.116123547471,161.474373642265,9.81080001770098,26.5056994144519
"1022","Uracil-5-carboxylate",179.0064,140.1,0.0033,169.455995652174,141.298458800939,136.217499965253,146.379417636625,116.170728903206,166.426188698671,9.81080001770098,26.5056994144519
"1023","Thiamine Monophosphate",365.0458,174,0.0036,184.064969565217,145.712465392666,140.687484287903,150.737446497429,120.595994656778,170.828936128554,9.81080001770098,26.5056994144519
"1024","Thiamine Monophosphate",365.0458,179.9,0.004,198.673943478261,149.645724155602,144.536791948256,154.754656362949,124.512322964702,174.779125346502,9.81080001770098,26.5056994144519
"1025","Thiamine Monophosphate",367.0581,177.4,0.0052,213.282917391304,153.180538097414,147.893278686325,158.467797508503,128.010282254383,178.350793940445,9.81080001770098,26.5056994144519
"1026","Thiamine Monophosphate",345.0786,171.1,0.0021,227.891891304348,156.380661788841,150.855909085578,161.905414492104,131.159449297058,181.601874280624,9.81080001770098,26.5056994144519
"1027","5-Hydroxymethyluracil",141.03,124.1,9e-04,242.500865217391,159.296363420113,153.499958796193,165.092768044034,134.014255642326,184.578471197901,9.81080001770098,26.5056994144519
"1028","5-Hydroxymethyluracil",165.0276,141.2,0.0065,257.109839130435,161.96789246206,155.88248945972,168.053295464399,136.617965503105,187.317819421015,9.81080001770098,26.5056994144519
"1029","5-Methylcytosine",126.0671,121.1,0.0017,271.718813043478,164.427914864529,158.047082062273,170.808747666785,139.005450499841,189.850379229216,9.81080001770098,26.5056994144519
"1030","5-Methylcytosine",126.0671,125.7,0.0041,286.327786956522,166.703260797043,160.027478316056,173.379043278031,141.205167949599,192.201353644488,9.81080001770098,26.5056994144519
"1031","5-Methylcytosine",148.0475,135.7,0.003,300.936760869565,168.816203322337,161.850223517529,175.782183127145,143.240598896157,194.391807748518,9.81080001770098,26.5056994144519
"1032","Thymine",125.0365,119.5,0.0083,315.545734782609,170.78541001328,163.536541403616,178.034278622944,145.131311641994,196.439508384567,9.81080001770098,26.5056994144519
"1033","Thymine",127.0502,122.1,5e-04,330.154708695652,172.626662086468,165.103660599948,180.149663572987,146.893760608211,198.359563564724,9.81080001770098,26.5056994144519
"1034","Orotic Acid",157.0249,138,0.0042,344.763682608696,174.353405391514,166.565760743556,182.141050039472,148.541894852874,200.164915930154,9.81080001770098,26.5056994144519
"1035","Orotic Acid",179.0069,180.7,0.0025,359.372656521739,175.977177873587,167.934656506093,184.019699241081,150.087627528514,201.86672821866,9.81080001770098,26.5056994144519
"1036","Orotic Acid",155.0112,121.7,0.0037,373.981630434783,177.50794499124,169.220299967493,185.795590014987,151.54120227747,203.47468770501,9.81080001770098,26.5056994144519
"1037","Uracil",113.0351,126.2,0.0042,388.590604347826,178.954365655849,170.431155606027,187.477575705671,152.911482238745,204.997249072953,9.81080001770098,26.5056994144519
"1038","Uracil",111.0201,113.5,0.0098,403.19957826087,180.324005102326,171.574484644233,189.073525560419,154.206180243237,206.441829961415,9.81080001770098,26.5056994144519
"1039","Thiamine",265.1124,163,0.0023,417.808552173913,181.623506782132,172.656563878724,190.590449685541,155.43204381886,207.814969745405,9.81080001770098,26.5056994144519
"1040","Cytosine",112.0509,117.4,0.0029,432.417526086957,182.858732296114,173.682856411905,192.034608180323,156.595005116487,209.122459475741,9.81080001770098,26.5056994144519
"1041","Cytosine",112.0509,122.6,0.0071,447.0265,184.034876168174,174.658146539084,193.411605797264,157.70030334725,210.369448989098,9.81080001770098,26.5056994144519
