"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1045","5-iPF2alpha-VI",353.2328,194.3,0.0021,129.0188,132.822607719979,130.209948788531,135.435266651428,99.0663661792401,166.578849260718,14.3752401429803,36.0434312794635
"1046","5-iPF2alpha-VI",377.2304,204.2,0.0029,134.915926377953,134.903353552773,132.323457242055,137.48324986349,101.149631961832,168.657075143713,14.3752401429803,36.0434312794635
"1047","8-iso-15(R)-Prostaglandin F2alpha",353.2328,197.7,0.001,140.813052755906,136.925595217499,134.376760259097,139.474430175901,103.174233527786,170.676956907212,14.3752401429803,36.0434312794635
"1048","8-iso-15(R)-Prostaglandin F2alpha",377.2304,199.5,0.0026,146.710179133858,138.89332835728,136.373952028191,141.412704686369,105.144178540548,172.642478174012,14.3752401429803,36.0434312794635
"1049","8-iso-Prostaglandin F2alpha",353.2328,196.6,9e-04,152.607305511811,140.810127873865,138.318695918824,143.301559828906,107.063052601314,174.557203146417,14.3752401429803,36.0434312794635
"1050","8-iso-Prostaglandin F2alpha",377.2304,197.8,0.0022,158.504431889764,142.679206616211,140.214284606661,145.14412862576,108.934078126637,176.424335105784,14.3752401429803,36.0434312794635
"1051","15(R)-Prostaglandin F2alpha",353.2328,192.7,6e-04,164.401558267717,144.503464023275,142.063689906646,146.943238139904,110.760163147326,178.246764899224,14.3752401429803,36.0434312794635
"1052","15(R)-Prostaglandin F2alpha",377.2304,204.4,0.0026,170.298684645669,146.285526736356,143.869604378591,148.70144909412,112.543942050639,180.027111422072,14.3752401429803,36.0434312794635
"1053","11-beta-Prostaglandin F2alpha",353.2328,193.5,6e-04,176.195811023622,148.027782736689,145.634476299007,150.421089174372,114.287809826663,181.767755646716,14.3752401429803,36.0434312794635
"1054","11-beta-Prostaglandin F2alpha",377.2304,198.9,0.0025,182.092937401575,149.732410221049,147.360539241555,152.104281200543,115.993951035603,183.470869406495,14.3752401429803,36.0434312794635
"1055","Prostaglandin D2",351.2171,189.4,0.0011,187.990063779528,151.401402169279,149.049837243392,153.752967095166,117.664364453064,185.138439885494,14.3752401429803,36.0434312794635
