"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"409","4,6-Dioxoheptanoic Acid",157.0501,131,0.0016,157.0501,131.353804767072,126.041411423669,136.666198110476,113.228949763351,149.478659770794,7.15830424485811,27.0944212587095
"414","5-7-dihydroxy-3-4-5-trimethoxyflavone",343.0818,191,0.0055,168.385647619048,135.38041499033,130.353683830228,140.407146150433,117.337220372225,153.423609608436,7.15830424485811,27.0944212587095
"452","Acacetin",283.0606,172.3,0.0041,179.721195238095,139.256148559347,134.498633365574,144.01366375312,121.286095785638,157.226201333055,7.15830424485811,27.0944212587095
"476","Amentoflavone",537.0822,216.5,0.001,191.056742857143,142.995671406741,138.491612223897,147.499730589584,125.091052030908,160.900290782573,7.15830424485811,27.0944212587095
"483","Astilbin",449.1084,197.7,0.0034,202.39229047619,146.611449496756,142.34552682579,150.877372167721,128.765247040615,164.457651952896,7.15830424485811,27.0944212587095
"497","Catechin",289.0712,159.4,6e-04,213.727838095238,150.114182239535,146.071301095059,154.15706338401,132.319977176671,167.908387302398,7.15830424485811,27.0944212587095
"642","Hesperetin",301.0712,177.9,7e-04,225.063385714286,153.513132267866,149.678229398092,157.34803513764,135.765024597145,171.261239938587,7.15830424485811,27.0944212587095
"673","Isorhamnetin",315.0505,174,0.0017,236.398933333333,156.816380290064,153.174251532892,160.458509047237,139.108925708598,174.523834871531,7.15830424485811,27.0944212587095
"676","Kaempferol",285.0399,165.4,0.004,247.734480952381,160.031024790719,156.566172930389,163.49587665105,142.359181528487,177.702868052952,7.15830424485811,27.0944212587095
"794","Naringenin",271.0606,166.8,0.0043,259.070028571429,163.163340473333,159.85984728016,166.466833666506,145.522424591548,180.804256355118,7.15830424485811,27.0944212587095
"795","Naringin",579.1714,216.6,3e-04,270.405576190476,166.218905387773,163.060334720471,169.377476055076,148.604552872531,183.833257903016,7.15830424485811,27.0944212587095
"864","Pinostrobin",269.0814,168.2,0.0098,281.741123809524,169.202703975585,166.172045541246,172.233362409924,151.610838343523,186.794569607647,7.15830424485811,27.0944212587095
"927","Rutin",609.1456,234.7,9e-04,293.076671428571,172.119211373587,169.198876268918,175.039546478255,154.546015790698,189.692406956475,7.15830424485811,27.0944212587095
"1318","5,7-Dihydroxy-3,4,5-trimethoxyflavone",345.0974,184.4,0.0019,304.412219047619,174.972462972434,172.144341498405,177.800584446464,157.414356100031,192.530569844838,7.15830424485811,27.0944212587095
"1332","Acacetin",285.0763,166,0.0079,315.747766666667,177.766112258382,175.011700761629,180.520523755135,160.219727201501,195.312497315263,7.15830424485811,27.0944212587095
"1358","Amentoflavone",539.0978,228.7,0.002,327.083314285714,180.50347925881,177.804075519007,183.202882998614,162.965645115982,198.041313401638,7.15830424485811,27.0944212587095
"1386","Astilbin",451.124,204.6,0.0017,338.418861904762,183.187591388506,180.524548119933,185.85063465708,165.65531699751,200.719865779503,7.15830424485811,27.0944212587095
"1415","Catechin",291.0869,164.1,0.0034,349.754409523809,185.821218101674,183.176233688026,188.466202515321,168.291677650786,203.350758552562,7.15830424485811,27.0944212587095
"1518","Eriodictyol",289.0712,169.4,0.0032,361.089957142857,188.406900458055,185.762318256486,191.051482659625,170.877420691338,205.936380224772,7.15830424485811,27.0944212587095
"1591","Hesperetin",303.0869,175.4,0.0047,372.425504761905,190.946976484849,188.286061739368,193.607891230329,173.415025277022,208.478927692675,7.15830424485811,27.0944212587095
"1649","Isorhamnetin",317.0661,171.9,0.0043,383.761052380952,193.443603041222,190.750770678391,196.136435404054,175.906779155319,210.980426927126,7.15830424485811,27.0944212587095
"1652","Kaempferol",287.0556,164.9,0.0023,395.0966,195.898774756151,193.159750745854,198.637798766448,178.35479862758,213.442750884722,7.15830424485811,27.0944212587095
"1745","Myricetin",319.0454,192.7,0.0027,406.432147619048,198.314340503557,195.516250994002,201.112430013111,180.761045918939,215.867635088174,7.15830424485811,27.0944212587095
"1769","Naringenin",273.0763,166.9,0.0026,417.767695238095,200.692017794362,197.823410605254,203.56062498347,183.127344353723,218.256691235001,7.15830424485811,27.0944212587095
"1770","Naringin",581.187,239.1,0.002,429.103242857143,203.03340539788,200.08421552496,205.9825952708,185.455391665452,220.611419130308,7.15830424485811,27.0944212587095
"1839","Pinostrobin",271.097,163.2,0.0027,440.43879047619,205.339994451154,202.301468424573,208.378520477736,187.74677171383,222.933217188478,7.15830424485811,27.0944212587095
"1927","Rutin",611.1612,234.7,0.0033,451.774338095238,207.613178271426,204.477772174516,210.748584368337,190.002964835371,225.223391707482,7.15830424485811,27.0944212587095
"1978","Tangeritin",373.1287,186.7,0.0028,463.109885714286,209.854261051686,206.615524942411,213.092997160961,192.22535701722,227.483165086152,7.15830424485811,27.0944212587095
"2309","4,6-Dioxoheptanoic Acid",181.0477,138.6,0.006,474.445433333333,212.064465590528,208.716924134477,215.41200704658,194.415248053457,229.7136831276,7.15830424485811,27.0944212587095
"2318","5,7-Dihydroxy-3,4,5-trimethoxyflavone",367.0794,208.7,0.0019,485.780980952381,214.244940183944,210.783976335539,217.70590403235,196.57385881831,231.916021549578,7.15830424485811,27.0944212587095
"2379","Astilbin",473.106,211.3,0.002,497.116528571429,216.396764787248,212.818510801242,219.975018773253,198.702337770267,234.091191804228,7.15830424485811,27.0944212587095
"2401","Catechin",313.0688,183.3,0.0016,508.452076190476,218.520956539225,214.822194623621,222.219718454828,200.801766784069,236.24014629438,7.15830424485811,27.0944212587095
"2496","Eriodictyol",311.0532,181,0.0028,519.787623809524,220.618474727201,216.796548251266,224.440401203136,202.873166393494,238.363783060908,7.15830424485811,27.0944212587095
