"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"50","d7-DG (15:0/18:1)",646.5639,261.8,4e-04,253.0923,159.807062320102,152.665962314475,166.948162325728,142.75772028206,176.856404358143,5.77462406946908,44.6490841371434
"324","2-(beta-Glucosyl)glycerol ",253.0923,156.7,4e-04,296.137815384615,174.222249717402,168.091820435138,180.352678999665,157.57091590222,190.873583532583,5.77462406946908,44.6490841371434
"1476","d7-DG (15:0/18:1)",588.5545,260.5,5e-04,339.183330769231,187.720557953645,182.422331896874,193.018784010417,171.357307848961,204.083808058329,5.77462406946908,44.6490841371434
"1483","d7-TG (15:0-18:1)",812.684,302,6e-04,382.228846153846,200.466924224914,195.798186649552,205.135661800277,184.296523327368,216.637325122461,5.77462406946908,44.6490841371434
"1794","Oleoyl-glycerol",357.2985,202.9,0.0015,425.274361538462,212.581617344225,208.307134397405,216.856100291045,196.520609931786,228.642624756664,5.77462406946908,44.6490841371434
"2087","d7-DG (15:0/18:1)",570.5451,258,2e-04,468.319876923077,224.155596187285,220.017802125434,228.293390249137,208.13042553802,240.180766836551,5.77462406946908,44.6490841371434
"2090","d7-MG (18:1)",346.3321,196.4,6e-04,511.365392307692,235.259667613864,231.010439503415,239.508895724314,219.205363076625,251.313972151103,5.77462406946908,44.6490841371434
"2150","Dipalmitoylglycerol",607.4658,255.1,0.001,554.410907692308,245.950257131351,241.385039298186,250.515474964516,229.809440283867,262.091073978835,5.77462406946908,44.6490841371434
"2279","2-(beta-Glucosyl)glycerol ",277.0899,159.3,0.0025,597.456423076923,256.273210001207,251.244682249696,261.301737752718,239.995284888113,272.551135114301,5.77462406946908,44.6490841371434
"2468","d7-DG (15:0/18:1)",610.5408,259,0,640.501938461538,266.266387915514,260.677838539547,271.854937291481,249.806842394225,282.725933436803,5.77462406946908,44.6490841371434
"2471","d7-MG (18:1)",386.3246,198.5,4e-04,683.547453846154,275.961497820246,269.753037431681,282.169958208811,259.281277946511,292.641717693981,5.77462406946908,44.6490841371434
"2489","Dipalmitoylglycerol",591.4938,252.2,3e-04,726.592969230769,285.385413769838,278.521628888763,292.249198650912,268.450352579117,302.320474960558,5.77462406946908,44.6490841371434
"2557","Glyceryl Monomyristate",325.2341,183.5,0.0022,769.638484615385,294.561153908846,287.022349199896,302.099958617797,277.341446272551,311.780861545141,5.77462406946908,44.6490841371434
"2727","Oleoyl-glycerol",379.2805,197.2,0.002,812.684,303.508616715544,295.285116600434,311.732116830654,285.978336946442,321.038896484646,5.77462406946908,44.6490841371434
