"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1367","beta-Glycerophosphate",192.9889,147.3,0.0019,171.0069,130.341123927522,128.90758784537,131.774660009675,117.962431169306,142.719816685738,5.26674681726446,27.3104211593246
"1368","beta-Glycerophosphate",171.0071,126.5,0.0019,172.853666157205,131.114384976768,129.687233180043,132.541536773493,118.736429937491,143.492340016045,5.26674681726446,27.3104211593246
"1369","beta-Glycerophosphate",195.0032,140.6,9e-04,174.70043231441,131.882845064336,130.462032461484,133.303657667187,119.505619318802,144.260070809869,5.26674681726446,27.3104211593246
"1370","d7-PA (15:0-18:1)",690.5034,266.8,0,176.547198471616,132.646584281328,131.23206647011,134.061102092546,120.270079550923,145.023089011732,5.26674681726446,27.3104211593246
"1371","Glycerol-3-phosphate",171.0069,127.4,0.0024,178.393964628821,133.405680561377,131.997413809657,134.813947313097,121.029888710046,145.781472412708,5.26674681726446,27.3104211593246
"1372","Glycerol-3-phosphate",195.0043,137.2,0.0016,180.240730786026,134.160209760432,132.758150987677,135.562268533186,121.785122790809,146.535296730055,5.26674681726446,27.3104211593246
"1373","PA 35:01",733.476,272.9,0.0056,182.087496943231,134.910245732811,133.514352492255,136.306138973366,122.535855782494,147.284635683127,5.26674681726446,27.3104211593246
"1374","PA 35:02",731.4603,271.1,0.0055,183.934263100437,135.655860403726,134.266090865177,137.045629942274,123.282159741686,148.029561065765,5.26674681726446,27.3104211593246
"1375","PA 36:01",747.4916,275.7,0.0056,185.781029257642,136.397123838482,135.013436771734,137.78081090523,124.024104861605,148.770142815359,5.26674681726446,27.3104211593246
"1376","PA 36:02",745.476,274.2,0.0056,187.627795414847,137.134104308534,135.756459067365,138.511749549702,124.761759538281,149.506449078786,5.26674681726446,27.3104211593246
"1377","PA 36:03",743.4604,272.8,0.0056,189.474561572052,137.866868354566,136.495224861292,139.23851184784,125.495190433762,150.238546275371,5.26674681726446,27.3104211593246
"1378","PA 36:04",741.4447,271.1,0.0056,191.321327729258,138.595480846771,137.229799577327,139.961162116215,126.224462536495,150.966499157047,5.26674681726446,27.3104211593246
"1379","PA 36:05",739.4291,270.4,0.0056,193.168093886463,139.32000504246,137.960247011993,140.679763072927,126.949639219054,151.690370865866,5.26674681726446,27.3104211593246
"1380","PA 38:03",771.4916,280.9,0.0056,195.014860043668,140.040502641162,138.686629390104,141.39437589222,127.670782293337,152.410222988987,5.26674681726446,27.3104211593246
"1381","PA 38:04",769.476,277.2,0.0056,196.861626200873,140.757033837335,139.409007417948,142.105060256723,128.387952063378,153.126115611293,5.26674681726446,27.3104211593246
"1382","PA 40:05",795.4916,284.2,0.0056,198.708392358079,141.469657370822,140.127440334176,142.811874407468,129.101207375898,153.838107365746,5.26674681726446,27.3104211593246
"1383","PA 40:06",793.476,281.7,0.0056,200.555158515284,142.178430575153,140.841985958542,143.514875191764,129.810605668697,154.546255481609,5.26674681726446,27.3104211593246
"1384","PA 36:01",725.5097,274.5,0.0056,202.401924672489,142.883409423827,141.552700738582,144.214118109072,130.516203017025,155.25061583063,5.26674681726446,27.3104211593246
"1385","PA 36:02",723.494,273.3,0.0056,204.248690829694,143.584648574655,142.259639794351,144.909657354959,131.218054178001,155.951242971309,5.26674681726446,27.3104211593246
"1386","PA 36:03",721.4784,272,0.0056,206.0954569869,144.282201412272,142.962856961311,145.601545863233,131.916212633215,156.648190191329,5.26674681726446,27.3104211593246
"1387","PA 36:04",719.4628,269.5,0.0056,207.942223144105,144.97612008891,143.66240483146,146.28983534636,132.610730629571,157.341509548249,5.26674681726446,27.3104211593246
"1388","PA 38:02",751.5253,280.8,0.0056,209.78898930131,145.666455563513,144.358334792791,146.974576334234,133.301659218474,158.031251908551,5.26674681726446,27.3104211593246
"1389","PA 38:03",749.5097,278.5,0.0056,211.635755458515,146.353257639279,145.050697067166,147.655818211391,133.989048293449,158.717466985108,5.26674681726446,27.3104211593246
"1390","PA 38:04",747.4941,277.6,0.0056,213.482521615721,147.036574999706,145.739540746678,148.333609252733,134.672946626247,159.400203373165,5.26674681726446,27.3104211593246
"1391","PA 40:05",773.5097,282.9,0.0056,215.329287772926,147.716455243208,146.424913828571,149.007996657845,135.353401901529,160.079508584887,5.26674681726446,27.3104211593246
"1392","LysoPC (19:0)",538.3872,240.5,0.0019,217.176053930131,148.39294491638,147.106863248796,149.679026583964,136.030460750195,160.755429082565,5.26674681726446,27.3104211593246
"1393","LysoPC (19:0)",560.3692,242.6,0.0021,219.022820087336,149.066089545962,147.78543491426,150.346744177664,136.704168781405,161.428010310519,5.26674681726446,27.3104211593246
"1394","LysoPC (20:0)",552.4029,247,0.0024,220.869586244541,149.73593366958,148.460673733833,151.011193605327,137.37457061338,162.09729672578,5.26674681726446,27.3104211593246
"1395","LysoPC (20:0)",574.3848,249.5,0.0048,222.716352401747,150.402520865303,149.132623648166,151.67241808244,138.041709903009,162.763331827597,5.26674681726446,27.3104211593246
"1396","LysoPC (16:0)",496.3403,231.4,0.0039,224.563118558952,151.065893780086,149.801327658385,152.330459901788,138.705629374353,163.426158185819,5.26674681726446,27.3104211593246
"1397","LysoPC (16:0)",518.3222,234.3,0.0042,226.409884716157,151.72609415714,150.466827853698,152.985360460582,139.36637084606,164.08581746822,5.26674681726446,27.3104211593246
"1398","1,2-Dimyristoyl-sn-glycero-3-phosphocholine",736.5128,278.5,0.007,228.256650873362,152.383162862281,151.129165437981,153.637160286582,140.023975257765,164.742350466797,5.26674681726446,27.3104211593246
"1399","1,2-Dimyristoyl-sn-glycero-3-phosphocholine",678.5074,272.5,0,230.103417030568,153.037139909308,151.788380755372,154.285899063245,140.678482695516,165.3957971231,5.26674681726446,27.3104211593246
"1400","1,2-Dimyristoyl-sn-glycero-3-phosphocholine",700.4893,274.5,0,231.950183187773,153.688064484445,152.44451331493,154.93161565396,141.329932416261,166.046196552629,5.26674681726446,27.3104211593246
"1401","1,2-Dilauroyl-sn-glycero-3-phosphocholine",680.4502,267.1,0.0033,233.796949344978,154.335974969896,153.097601814401,155.574348125391,141.978362871448,166.693587068345,5.26674681726446,27.3104211593246
"1402","1,2-Dilauroyl-sn-glycero-3-phosphocholine",622.4448,260.6,0,235.643715502183,154.980908966549,153.747684163115,156.214133769984,142.623811729767,167.338006203331,5.26674681726446,27.3104211593246
"1403","1,2-Dilauroyl-sn-glycero-3-phosphocholine",644.4267,263.7,0,237.490481659389,155.622903315865,154.394797504067,156.851009127664,143.266315899088,167.979490732642,5.26674681726446,27.3104211593246
