"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"1000","Cs",132.9054,101,0.16,132.9054,110.774164654452,102.310979466732,119.237349842172,77.3685191681741,144.17981014073,13.520583998733
"1001","Cs(CsI)(NaI)2 or Na(CsI)2(NaI)",692.5038,167.48,0.74,179.756367213115,117.929152754706,109.904965012075,125.953340497337,84.6320172057998,151.226288303612,13.520583998733
"1002","Cs(CsI)(NaI)3 or Na(CsI)2(NaI)2",842.3981,175.81,5.83,226.607334426229,124.390497523204,116.755588697297,132.025406349111,91.1850238838603,157.595971162548,13.520583998733
"1003","Cs(CsI)(NaI)4 or Na(CsI)2(NaI)3",992.2923,188.62,7.04,273.458301639344,130.352275120568,123.069543300575,137.63500694056,97.2260041321939,163.478546108941,13.520583998733
"1004","Cs(CsI)(NaI)5",1142.1866,204.27,0.28,320.309268852459,135.930488116292,128.970256590411,142.890719642172,102.87362090648,168.987355326103,13.520583998733
"1005","Cs(CsI)(NaI)6 or Na(CsI)2(NaI)5",1292.0808,219.96,1.06,367.160236065574,141.201311213605,134.538663563174,147.863958864037,108.205818785896,174.196803641315,13.520583998733
"1006","Cs(CsI)(NaI)7 or Na(CsI)2(NaI)6",1441.9751,234.24,0.24,414.011203278689,146.218091423039,139.831331047592,152.604851798485,113.27719958741,179.158983258668,13.520583998733
"1007","Cs(CsI)(NaI)8 or Na(CsI)2(NaI)7",1591.8693,242.26,0.09,460.862170491803,151.019987232341,144.889669201067,157.150305263614,118.127853735138,183.912120729543,13.520583998733
"1008","Cs(CsI)1",392.7153,129.38,0.38,507.713137704918,155.636793320964,149.745076828601,161.528509813326,122.788293049877,188.485293592051,13.520583998733
"1009","Cs(CsI)10",2731.0045,282.11,0.46,554.564104918033,160.091831926816,154.422026169798,165.761637683834,127.282407302852,192.90125655078,13.520583998733
"1010","Cs(CsI)11",2990.8144,297.47,1.92,601.415072131148,164.403783395919,158.940017637129,169.86754915471,131.629336289978,197.178230501861,13.520583998733
"1011","Cs(CsI)2",652.5253,152.79,0.51,648.266039344262,168.587897313763,163.314875371527,173.860919255999,135.844708598604,201.331086028923,13.520583998733
"1012","Cs(CsI)2(NaI)2 or Na(CsI)3(NaI)",952.3137,186.42,0.45,695.117006557377,172.656823332963,167.559638806646,177.75400785928,139.941491500188,205.372155165737,13.520583998733
"1013","Cs(CsI)2(NaI)3 or Na(CsI)3(NaI)2",1102.208,200.67,0.41,741.967973770492,176.621198626912,171.685196443297,181.557200810526,143.930591957872,209.311805295952,13.520583998733
"1014","Cs(CsI)2(NaI)4 or Na(CsI)3(NaI)3",1252.1022,207.27,0.41,788.818940983607,180.49007407755,175.700749500661,185.279398654439,147.821292699359,213.158855455741,13.520583998733
"1015","Cs(CsI)2(NaI)5 or Na(CsI)3(NaI)4",1401.9965,222.71,0.67,835.669908196721,184.27123038271,179.614160007875,188.928300757545,151.621575693734,216.920885071687,13.520583998733
"1016","Cs(CsI)2(NaI)6 or Na(CsI)3(NaI)5",1551.8907,237.72,0.21,882.520875409836,187.971417070408,183.432218313404,192.510615827411,155.338366765712,220.604467375104,13.520583998733
"1017","Cs(CsI)2(NaI)7 or Na(CsI)3(NaI)6",1701.785,248.55,1.18,929.371842622951,191.596536300469,187.160852922474,196.032219678463,158.977723724548,224.21534887639,13.520583998733
"1018","Cs(CsI)3",912.3352,173.8,0.48,976.222809836066,195.151786337083,190.805297868788,199.498274805378,162.544983230396,227.75858944377,13.520583998733
"1019","Cs(CsI)3(NaI)2 or Na(CsI)4(NaI)",1212.1237,203.82,0.15,1023.07377704918,198.641775044134,194.370227768428,202.91332231984,166.044876986775,231.238673101492,13.520583998733
"1020","Cs(CsI)3(NaI)3 or Na(CsI)4(NaI)2",1362.0179,211.3,0.63,1069.9247442623,202.070610747146,197.859867334998,206.281354159293,169.481624771571,234.65959672272,13.520583998733
"1021","Cs(CsI)3(NaI)4 or Na(CsI)4(NaI)3",1511.9122,225.91,1.05,1116.77571147541,205.441975764824,201.278079910958,209.60587161869,172.859009731709,238.024941797938,13.520583998733
"1022","Cs(CsI)3(NaI)5 or Na(CsI)4(NaI)4",1661.8064,239.82,1.28,1163.62667868852,208.759186501083,204.628438165869,212.889934836297,176.180439922337,241.337933079828,13.520583998733
"1023","Cs(CsI)3(NaI)6 or Na(CsI)4(NaI)5",1811.7006,247.58,1.89,1210.47764590164,212.025242993943,207.914279311702,216.136206676184,179.448999054073,244.601486933814,13.520583998733
"1024","Cs(CsI)4",1172.1451,199.31,0.66,1257.32861311475,215.242870105906,211.138746817656,219.346993394157,182.667488683759,247.818251528054,13.520583998733
"1025","Cs(CsI)4(NaI)2 or Na(CsI)5(NaI)",1471.9336,214.04,0.73,1304.17958032787,218.41455202349,214.304820517498,222.524283529481,185.838463555342,250.990640491637,13.520583998733
"1026","Cs(CsI)4(NaI)3 or Na(CsI)5(NaI)2",1621.8278,230.47,0.63,1351.03054754098,221.54256135313,217.415337047742,225.669785658518,188.964261408224,254.120861298035,13.520583998733
"1027","Cs(CsI)4(NaI)6 or Na(CsI)5(NaI)5",2071.5106,260.12,2.13,1397.8815147541,224.628983817112,220.473002613098,228.784965021127,192.047028280322,257.210939353902,13.520583998733
"1028","Cs(CsI)5",1431.955,213.32,0.41,1444.73248196721,227.675739339501,223.480400060987,231.871078618015,195.088740114425,260.262738564577,13.520583998733
"1029","Cs(CsI)6",1691.7649,223.53,0.25,1491.58344918033,230.684600149275,226.439992118498,234.929208180053,198.091221309883,263.277978988668,13.520583998733
"1030","Cs(CsI)7",1951.5748,242.38,0.38,1538.43441639344,233.657206402699,229.354122405228,237.96029040017,201.056160733541,266.258252071857,13.520583998733
"1031","Cs(CsI)8",2211.3847,256.09,0.39,1585.28538360656,236.595079729783,232.225015516911,240.965143942655,203.985125604426,269.20503385514,13.520583998733
"1032","Cs(CsI)9",2471.1946,267.38,0.37,1632.13635081967,239.499635033667,235.0547771246,243.944492942734,206.879573588829,272.119696478505,13.520583998733
"1033","Cs(NaI)3 or Na(CsI)(NaI)2",582.5882,164.57,0.95,1678.98731803279,242.372190811733,237.845394697885,246.89898692558,209.740863381032,275.003518242433,13.520583998733
"1034","Cs(NaI)4 or Na(CsI)(NaI)3",732.4824,165.57,0.71,1725.8382852459,245.21397821959,240.598739171705,249.829217267474,212.570263996138,277.857692443041,13.520583998733
"1035","Cs(NaI)5 or Na(CsI)(NaI)4 (peak 1, high CCS, primary)",882.3767,200.71,2.09,1772.68925245902,248.026149060903,243.31656765246,252.735730469347,215.368962962343,280.683335159464,13.520583998733
