"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"244","Hypoxanthine",157.0137,135,0.0093,119.0401,117.722022535037,114.81046033894,120.633584731135,105.069571821271,130.374473248804,5.07002236885784,10.110933089914
"293","1-Methyladenine",148.0623,130.5,0.0027,123.220751282051,119.304572644786,116.535406870475,122.073738419098,106.684129160971,131.925016128601,5.07002236885784,10.110933089914
"441","7-Methylguanine",164.0572,136.1,0,127.401402564103,120.854533844755,118.21820302424,123.490864665269,108.262569945595,133.446497743915,5.07002236885784,10.110933089914
"454","Adenine",134.0486,120.6,0.0107,131.582053846154,122.373614593995,119.860096485701,124.887132702288,109.806789699724,134.940439488265,5.07002236885784,10.110933089914
"635","Guanosine",282.0855,163,0.0061,135.762705128205,123.863382814449,121.462126711029,126.264638917869,111.318529466691,136.408236162207,5.07002236885784,10.110933089914
"657","Hypoxanthine",135.0317,121,0.0386,139.943356410256,125.325281389328,123.025157322984,127.625405455673,112.7993927836,137.851169995057,5.07002236885784,10.110933089914
"788","N6-(delta2-Isopentenyl)-adenine",202.111,150.8,0.0044,144.124007692308,126.760641543706,124.549915147886,128.971367939526,114.250860336997,139.270422750415,5.07002236885784,10.110933089914
"907","Purine",119.0401,114.6,0.0044,148.304658974359,128.170694449358,126.037037316217,130.304351582499,115.674302673956,140.667086224761,5.07002236885784,10.110933089914
"955","Theophylline",179.0576,133.6,0.0125,152.48531025641,129.556581332598,127.487126218414,131.626036446781,117.070991273967,142.042171391228,5.07002236885784,10.110933089914
"958","Thiopurine-(S)-methylether",165.0255,128,0.0044,156.665961538462,130.919362313704,128.900809670331,132.937914957078,118.442108232112,143.396616395297,5.07002236885784,10.110933089914
"977","Uric Acid",167.0205,126.2,0.0055,160.846612820513,132.260024166511,130.278800815713,134.24124751731,119.78875476006,144.731293572963,5.07002236885784,10.110933089914
"978","Uric Acid",167.0211,126.2,0.006,165.027264102564,133.579487154525,131.621949999131,135.537024309919,121.111958676222,146.047015632828,5.07002236885784,10.110933089914
"993","Xanthine",151.0277,122.2,0.0138,169.207915384615,134.878611073957,132.931280266973,136.82594188094,122.412681027852,147.344541120061,5.07002236885784,10.110933089914
"1225","1-Methyladenine",150.078,127.5,0.0039,173.388566666667,136.15820061288,134.208000121446,138.108401104314,123.691821964718,148.624579261041,5.07002236885784,10.110933089914
"1291","3-Methyladenine",150.0769,126.5,0.0025,177.569217948718,137.419010118429,135.453491453566,139.384528783291,124.950225965013,149.887794271844,5.07002236885784,10.110933089914
"1326","7-Methylguanine",166.0729,133.4,0.0028,181.749869230769,138.661747849749,136.669275810479,140.654219889019,126.188686498588,151.13480920091,5.07002236885784,10.110933089914
"1340","Adenine",136.0614,125.6,0.0114,185.930520512821,139.887079782658,137.85696636102,141.917193204296,127.40795019974,152.366209365576,5.07002236885784,10.110933089914
"1407","Caffeine",195.0861,140.2,0.005,190.111171794872,141.095633022226,139.018214691413,143.173051353038,128.608720611075,153.582545433376,5.07002236885784,10.110933089914
"1628","Hypoxanthine",137.0461,130.5,0.0317,194.291823076923,142.287998871378,140.154660693966,144.42133704879,129.791661551117,154.784336191639,5.07002236885784,10.110933089914
"1764","N6-(delta2-Isopentenyl)-adenine",204.124,145.4,0.002,198.472474358974,143.464735596796,141.267891197264,145.661579996328,130.957400150815,155.972071042777,5.07002236885784,10.110933089914
"1801","Paraxanthine",181.07,134.5,0.004,202.653125641026,144.626370927699,142.359409904517,146.893331950881,132.106529597907,157.146212257491,5.07002236885784,10.110933089914
"1802","Paraxanthine",181.07,139,0.0035,206.833776923077,145.773404318249,143.430618649243,148.116189987255,133.239611622762,158.307197013736,5.07002236885784,10.110933089914
"1901","Purine",121.0519,121.7,0.0029,211.014428205128,146.906309000247,144.482808376596,149.329809623898,134.357178754872,159.455439245622,5.07002236885784,10.110933089914
"1989","Theobromine",181.0721,131.1,0.0013,215.195079487179,148.025533849297,145.517157578933,150.533910119662,135.459736375349,160.591331323245,5.07002236885784,10.110933089914
"1990","Theobromine",181.0721,137.1,0.0031,219.375730769231,149.131505084679,146.53473588884,151.728274280518,136.547764587553,161.715245581805,5.07002236885784,10.110933089914
"1991","Theophylline",181.0709,140.9,0.0185,223.556382051282,150.224627820607,147.536510862947,152.912744778266,137.62171992518,162.827535716033,5.07002236885784,10.110933089914
"1994","Thiopurine-(S)-methylether",167.0387,130,0.004,227.737033333333,151.305287484398,148.52335644629,154.087218522505,138.682036914781,163.928538054015,5.07002236885784,10.110933089914
"2030","Uric Acid",169.0362,130.5,0.0037,231.917684615385,152.373851115188,149.496062052266,155.251640178111,139.729129507608,165.018572722769,5.07002236885784,10.110933089914
"2060","Xanthine",153.0402,132.9,0.0307,236.098335897436,153.430668555219,150.455341564155,156.405995546284,140.763392393933,166.097944716506,5.07002236885784,10.110933089914
"2153","Guanine",190.0121,136.2,0.0046,240.278987179487,154.476073544316,151.401841844354,157.550305244278,141.785202211441,167.166944877192,5.07002236885784,10.110933089914
"2327","7-Methylguanine",188.0548,148.8,0.0016,244.459638461538,155.510384726971,152.336150534398,158.684618919544,142.794918657973,168.225850795969,5.07002236885784,10.110933089914
"2342","Adenine",158.0434,137,0.0033,248.64028974359,156.533906580369,153.258803058941,159.809010101797,143.79288551773,169.274927643008,5.07002236885784,10.110933089914
"2394","Caffeine",217.0701,142,0.0024,252.820941025641,157.546930270793,154.170288827749,160.923571713838,144.779431609057,170.314428932529,5.07002236885784,10.110933089914
"2563","Guanine",174.038,137.7,0.0026,257.001592307692,158.549734445013,155.071056676275,162.028412213751,145.754871661018,171.344597229008,5.07002236885784,10.110933089914
"2586","Hypoxanthine",159.0272,135.9,0.0148,261.182243589744,159.542585962571,155.961519609298,163.123652315844,146.719507125213,172.365664799929,5.07002236885784,10.110933089914
"2746","Paraxanthine",203.053,149.4,0.0015,265.362894871795,160.525740574254,156.842058921641,164.209422226867,147.673626928618,173.37785421989,5.07002236885784,10.110933089914
"2905","Theophylline",203.053,147.7,0.0066,269.543546153846,161.499443551482,157.713027770937,165.285859332027,148.6175081726,174.381378930365,5.07002236885784,10.110933089914
"2909","Thiopurine-(S)-methylether",189.0201,145.7,0.0071,273.724197435897,162.463930270868,158.574754273564,166.353106268173,149.551416782761,175.376443758976,5.07002236885784,10.110933089914
"2936","Uric Acid",191.0181,142.6,0.0091,277.904848717949,163.419426757782,159.427544188616,167.411309326949,150.47560811379,176.363245401774,5.07002236885784,10.110933089914
"2952","Xanthine",175.0232,151.7,0.0049,282.0855,164.366150192354,160.271683247586,168.460617137122,151.390327513065,177.341972871643,5.07002236885784,10.110933089914
