"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"294","3-Methyl-2-oxindole",148.0764,130.8,0.0065,148.0764,128.919540793406,127.027226337732,130.81185524908,118.650289835223,139.188791751589,4.1910094698113,11.6204381730352
"375","5-Hydroxy-L-tryptophan",219.078,151.9,0.0032,152.909529166667,130.555063630183,128.73204648451,132.378080775855,120.298355934416,140.81177132595,4.1910094698113,11.6204381730352
"376","5-Hydroxy-L-tryptophan",221.092,155.6,0.008,157.742658333333,132.159474897895,130.40040319234,133.91854660345,121.913939552767,142.405010243023,4.1910094698113,11.6204381730352
"377","5-Hydroxy-L-tryptophan",243.0741,153.6,0.0077,162.5757875,133.734293223935,132.033663711345,135.434922736525,123.498629982988,143.969956464882,4.1910094698113,11.6204381730352
"378","5-Hydroxy-L-tryptophan",219.077,147,0.0023,167.408916666667,135.280920525953,133.633073732794,136.928767319112,125.053894550787,145.507946501118,4.1910094698113,11.6204381730352
"379","5-Hydroxy-L-tryptophan",241.06,149.8,0.0024,172.242045833333,136.800654066974,135.199778102723,138.401530031224,126.581091204703,147.020216929244,4.1910094698113,11.6204381730352
"380","5-Hydroxyindoleacetate",190.0503,137.3,0.0021,177.075175,138.294696964286,136.734841231497,139.854552697075,128.08147949132,148.507914437252,4.1910094698113,11.6204381730352
"381","5-Hydroxyindoleacetate",192.0664,141.1,0.0021,181.908304166667,139.764167386952,138.239267008687,141.289067765218,129.556230161116,149.972104612789,4.1910094698113,11.6204381730352
"382","5-Hydroxyindoleacetate",214.0468,148.6,0.0027,186.741433333333,141.210106635868,139.714017725411,142.706195546324,131.006433607444,151.413779664291,4.1910094698113,11.6204381730352
"1112","D-Tryptophan",203.0832,151.7,0.0029,191.5745625,142.63348626736,141.160031247123,144.106941287597,132.43310730677,152.83386522795,4.1910094698113,11.6204381730352
"1113","D-Tryptophan",203.084,142.6,0.0022,196.407691666667,144.035214394689,142.578235537061,145.492193252316,133.837202400454,154.233226388924,4.1910094698113,11.6204381730352
"1114","D-Tryptophan",205.0964,150.6,0.0038,201.240820833333,145.416141280086,143.969559664351,146.862722895821,135.219609535715,155.612673024457,4.1910094698113,11.6204381730352
"1115","D-Tryptophan",227.0786,147.9,0.0029,206.07395,146.777064312247,145.33494066586,148.219187958634,136.58116406487,156.972964559624,4.1910094698113,11.6204381730352
"1267","Ethyl-3-indoleacetate",202.0868,145.8,0.0035,210.907079166667,148.118732449551,146.6753260369,149.562138862201,137.922650686684,158.314814212417,4.1910094698113,11.6204381730352
"1268","Ethyl-3-indoleacetate",204.1012,145.4,0.0026,215.740208333333,149.441850197217,147.99167211669,150.892028277744,139.244807601041,159.638892793393,4.1910094698113,11.6204381730352
"1269","Ethyl-3-indoleacetate",226.0847,153.9,0.0047,220.5733375,150.747081176585,149.284939093806,152.209223259364,140.548330237709,160.945832115461,4.1910094698113,11.6204381730352
"1623","Indole-3-acetamide",173.0741,135.8,0.0037,225.406466666667,152.035051336305,150.556083677972,153.514018994639,141.833874611173,162.236228061438,4.1910094698113,11.6204381730352
"1624","Indole-3-acetamide",175.0862,136.2,0.0037,230.239595833333,153.306351848248,151.806050606822,154.806653089674,143.102060346237,163.510643350259,4.1910094698113,11.6204381730352
"1625","Indole-3-acetamide",197.0692,143.7,0.0037,235.072725,154.561541725009,153.035764080179,156.087319369839,144.353473412911,164.769610037106,4.1910094698113,11.6204381730352
"1626","Indole-3-acetate",176.072,136.4,0.0049,239.905854166667,155.801150190927,154.246119991059,157.356180390795,145.588668603894,166.01363177796,4.1910094698113,11.6204381730352
"1627","Indole-3-acetate",198.0532,143.6,0.0027,244.738983333333,157.025678834299,155.437979527512,158.613378141085,146.808171783567,167.243185885031,4.1910094698113,11.6204381730352
"1628","Indole-3-ethanol",160.0785,133,0.0071,249.5721125,158.235603564879,156.612164424089,159.85904270567,148.012481933653,168.458725196105,4.1910094698113,11.6204381730352
"1629","Indole-3-ethanol",162.0912,133.8,0.0022,254.405241666667,159.431376397698,157.769453896129,161.093298899268,149.202073017496,169.6606797779,4.1910094698113,11.6204381730352
"1630","Indole-3-methyl Acetate",188.0706,141.4,0.0048,259.238370833333,160.613427081594,158.910583117215,162.316271045974,150.377395682169,170.849458481019,4.1910094698113,11.6204381730352
"1631","Indole-3-methyl Acetate",190.086,138.7,9e-04,264.0715,161.782164588613,160.036243000713,163.528086176513,151.538878815284,172.025450361942,4.1910094698113,11.6204381730352
"1632","Indole-3-methyl Acetate",212.0676,147.4,0.003,268.904629166667,162.937978478472,161.147081007667,164.728875949277,152.686930971319,173.189025985626,4.1910094698113,11.6204381730352
"1633","Indole-3-pyruvate",202.0524,137.8,0.0022,273.737758333333,164.081240150624,162.243702707467,165.91877759378,153.821941680553,174.340538620694,4.1910094698113,11.6204381730352
"1634","Indoleacetaldehyde",158.0606,131,0.0046,278.5708875,165.212303994978,163.326673847412,167.097934142544,154.944282652169,175.480325337788,4.1910094698113,11.6204381730352
"1635","Indoleacetaldehyde",160.075,132.4,7e-04,283.404016666667,166.331508451113,164.396522728824,168.266494173403,156.054308881753,176.608708020473,4.1910094698113,11.6204381730352
"1636","Indomethacin",358.0846,182.4,0.0075,288.237145833333,167.439176984657,165.453742731243,169.424611238071,157.15235967231,177.725994297005,4.1910094698113,11.6204381730352
"1637","Indomethacin",380.0666,194.7,0.0083,293.070275,168.535618988616,166.498794866942,170.57244311029,158.238759576853,178.832478400379,4.1910094698113,11.6204381730352
"1781","L-Tryptophan",203.084,149.1,0.0564,297.903404166667,169.621130616538,167.532110282675,171.7101509504,159.313819269815,179.92844196326,4.1910094698113,11.6204381730352
"1782","L-Tryptophan",205.0964,151.3,0.0126,302.736533333333,170.695995553692,168.5540926536,172.837898453785,160.377836353699,181.014154753686,4.1910094698113,11.6204381730352
"1783","L-Tryptophan",227.0786,147.2,0.0055,307.5696625,171.760485731792,169.565120435766,173.955851027817,161.431096106747,182.089875356836,4.1910094698113,11.6204381730352
"1784","L-Tryptophanamide",202.1,143.5,0.0032,312.402791666667,172.814861992197,170.565548959485,175.064175024909,162.473872176802,183.155851807593,4.1910094698113,11.6204381730352
"1785","L-Tryptophanamide",204.1135,151,0.0055,317.235920833333,173.859374702068,171.555712357156,176.16303704698,163.506427225994,184.212322178142,4.1910094698113,11.6204381730352
"1786","L-Tryptophanamide",226.0959,148.1,0.0047,322.06905,174.89426432745,172.535925326849,177.25260332805,164.529013530448,185.259515124451,4.1910094698113,11.6204381730352
"1901","Melatonin",231.1144,155.9,0.0025,326.902179166667,175.919761966913,173.506484737898,178.333039195928,165.541873538766,186.29765039506,4.1910094698113,11.6204381730352
"1902","Melatonin",233.1286,153.5,0.0033,331.735308333333,176.936089848997,174.467671087782,179.404508610212,166.545240392687,187.326939305308,4.1910094698113,11.6204381730352
"1903","Melatonin",255.1102,157.5,0.0036,336.5684375,177.943461796407,175.419749821172,180.467173771641,167.53933841301,188.347585179803,4.1910094698113,11.6204381730352
"1904","Melatonin",271.0841,158.6,0.0037,341.401566666667,178.942083659618,176.362972522617,181.521194796619,168.524383553549,189.359783765687,4.1910094698113,11.6204381730352
"2005","N-Acetylserotonin",217.0979,150.6,0.0018,346.234695833333,179.932153722329,177.297577994385,182.566729450272,169.500583825652,190.363723619006,4.1910094698113,11.6204381730352
"2006","N-Acetylserotonin",219.1122,149.8,0.0032,351.067825,180.913863080929,178.223793230491,183.603932931367,170.46813969558,191.359586466277,4.1910094698113,11.6204381730352
