"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"763","Biochanin A",283.0606,169.8,0.0012,253.0501,160.56401544132,157.249519662524,163.878511220116,150.276490635167,170.851540247473,3.67464987778274,16.1087317345357
"1151","Daidzein",253.0501,161.8,0.0026,264.770192857143,164.437712181089,161.450658015354,167.424766346823,154.250967020902,174.624457341275,3.67464987778274,16.1087317345357
"1152","Daidzein",255.0657,156.2,0.003,276.490285714286,168.231038118025,165.495709148355,170.966367087695,158.115243095296,178.346833140754,3.67464987778274,16.1087317345357
"1153","Daidzein",277.0477,172,0.0034,288.210378571429,171.948966031856,169.374627951238,174.523304112474,161.875510769491,182.022421294221,3.67464987778274,16.1087317345357
"1298","Formononetin",267.0657,168.5,0.005,299.930471428571,175.595972918269,173.08112234073,178.110823495808,165.537555657243,185.654390179295,3.67464987778274,16.1087317345357
"1299","Formononetin",291.0633,175,0.0024,311.650564285714,179.176106725574,176.618104239166,181.734109211981,169.106813746917,189.24539970423,3.67464987778274,16.1087317345357
"1330","Genistein",269.045,163.6,7e-04,323.370657142857,182.69304195144,179.99929436739,185.386789535491,172.588411309199,192.797672593682,3.67464987778274,16.1087317345357
"1331","Genistein",271.0606,162.3,0.0016,335.09075,186.150126293432,183.245312017246,189.054940569618,175.987192152708,196.313060434156,3.67464987778274,16.1087317345357
"1332","Genistein",293.0426,176.5,4e-04,346.810842857143,189.550420053783,186.377834996138,192.723005111428,179.307735819777,199.793104287789,3.67464987778274,16.1087317345357
"2638","Prunetin",283.0606,174.6,3e-04,358.530935714286,192.896729629397,189.415763749557,196.377695509236,182.554369752359,203.239089506435,3.67464987778274,16.1087317345357
"2639","Prunetin",285.0763,165.2,0.0026,370.251028571429,196.191636138229,192.374057985856,200.009214290602,185.73117786342,206.652094413039,3.67464987778274,16.1087317345357
"2640","Prunetin",307.0582,180.3,0.0056,381.971121428571,199.437520019202,195.264079685766,203.610960352639,188.842007356461,210.033032681944,3.67464987778274,16.1087317345357
"2796","Rotenone",393.1338,201.8,3e-04,393.691214285714,202.636582277555,198.094387276646,207.178777278464,191.890475084909,213.382689470201,3.67464987778274,16.1087317345357
"2797","Rotenone",395.1495,198.4,0.0018,405.411307142857,205.790862918832,200.871492348235,210.71023348943,194.879974266646,216.701751571019,3.67464987778274,16.1087317345357
"2798","Rotenone",417.1314,211.8,0.0043,417.1314,208.902257013672,203.600444891832,214.204069135511,197.813681985976,219.990832041368,3.67464987778274,16.1087317345357
