"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"170","2-Keto-3-deoxy-D-gluconic Acid",178.0477,133.9,0.0015,115.0395,138.528417031616,116.407523876124,160.649310187109,87.8341067785306,189.222727284702,15.7479733601585,15.0013480875701
"185","2-Oxovaleric Acid",115.0395,173.8,6e-04,130.813577777778,137.219164456852,119.637280985716,154.801047927988,88.3345881118331,186.103740801871,15.7479733601585,15.0013480875701
"186","2-Oxovaleric Acid",139.0371,130.8,0.0063,146.587655555556,136.069494854152,121.059106312915,151.079883395389,88.0498015794313,184.089188128873,15.7479733601585,15.0013480875701
"271","3-Deoxy-2-keto-6-phosphogluconic Acid",257.0062,143.6,0.0022,162.361733333333,135.045646096275,120.579556881137,149.511735311414,87.1933011671109,182.89799102544,15.7479733601585,15.0013480875701
"295","3-Methyl-2-oxovalerate",129.0552,127.3,0.0043,178.135811111111,134.123469373014,118.564903663802,149.682035082227,85.9296093391131,182.317329406915,15.7479733601585,15.0013480875701
"572","alpha-Ketoglutaric Acid",145.0137,125.2,0.0037,193.909888888889,133.285107171971,115.65695197812,150.913262365823,84.3838696254849,182.186344718458,15.7479733601585,15.0013480875701
"2142","Oxoadipate",159.0292,126.8,0.0044,209.683966666667,132.516989834643,112.363311859674,152.670667809613,82.6496667266385,182.384312942648,15.7479733601585,15.0013480875701
"2143","Oxoadipate",181.0113,132.6,0.005,225.458044444444,131.808569393892,108.967473194073,154.649665593711,80.7958763298244,182.82126245796,15.7479733601585,15.0013480875701
"2144","Oxoadipate",183.0261,137.5,0.006,241.232122222222,131.151487752853,105.607173036041,156.695802469666,78.872513084341,183.430462421366,15.7479733601585,15.0013480875701
"2145","Oxoglutarate",145.0135,121.1,0.0042,257.0062,130.539012088769,102.344986728703,158.733037448835,76.9154888546189,184.162535322919,15.7479733601585,15.0013480875701
