"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"924","Rifampicin",821.3973,287.8,0.0019,786.3602,273.993824628909,269.179560427121,278.808088830697,257.501842853956,290.485806403863,5.95163058995595,55.5953646577534
"1100","Rifampicin",1645.818,415.8,0.0089,850.461178571428,286.317108182957,281.893953510032,290.740262855882,269.935025887918,302.699190477995,5.95163058995595,55.5953646577534
"1108","Rifampicin",1683.7739,419,0.0025,914.562157142857,298.239221427663,294.065802206272,302.412640649055,281.922795622412,314.555647232914,5.95163058995595,55.5953646577534
"1115","Rifampicin",1667.8,416.5,0.0027,978.663135714286,309.800065557409,305.725510356467,313.874620758351,293.508646860859,326.09148425396,5.95163058995595,55.5953646577534
"1919","Rifamixin",786.3602,270.5,7e-04,1042.76411428571,321.033246021247,316.909645995355,325.156846047139,304.729491845158,337.337000197335,5.95163058995595,55.5953646577534
"1920","Rifampicin",823.4129,284.6,0.0039,1106.86509285714,331.967388747424,327.663194998065,336.271582496783,315.617024626317,348.317752868532,5.95163058995595,55.5953646577534
"1921","Rifampicin",823.4129,273.7,0.0014,1170.96607142857,342.627121380149,338.035429204861,347.218813555437,326.198732533601,359.055510226697,5.95163058995595,55.5953646577534
"1922","Rifapentine",877.4586,299.2,7e-04,1235.06705,353.033818365676,348.073663970775,357.993972760576,336.498660226667,369.568976504685,5.95163058995595,55.5953646577534
"2204","Rifamixin",824.316,275,1e-04,1299.16802857143,363.206175966626,357.819166546096,368.593185387157,346.537996895184,379.874355038069,5.95163058995595,55.5953646577534
"2205","Rifampicin",861.3688,280.3,0.0011,1363.26900714286,373.16066245836,367.306040714411,379.015284202308,356.335534856302,389.985790060417,5.95163058995595,55.5953646577534
"2206","Rifapentine",915.4116,300.7,0.0013,1427.36998571429,382.91187516681,376.56188933701,389.26186099661,365.908033156857,399.915717176763,5.95163058995595,55.5953646577534
"2845","Rifamixin",808.3421,274.3,0.001,1491.47096428571,392.472826921726,385.609053483481,399.336600359971,375.2705099594,409.675143884052,5.95163058995595,55.5953646577534
"2846","Rifampicin",845.3949,282.1,0.0067,1555.57194285714,401.855178298154,394.465814287695,409.244542308613,384.436480771076,419.273875825233,5.95163058995595,55.5953646577534
"2847","Rifampicin",845.3949,287.6,5e-04,1619.67292142857,411.069427705841,403.14736305616,418.991492355521,393.418154908263,428.720700503418,5.95163058995595,55.5953646577534
"2848","Rifapentine",899.4393,306.6,0.0022,1683.7739,420.12506833439,411.666530020395,428.583606648385,402.226599308518,438.023537360263,5.95163058995595,55.5953646577534
