"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"44","1-Methylnaphthalene",142.0782,122.1,0.0044,128.0626,118.749437865607,116.677472673212,120.821403058001,109.209941970761,128.288933760452,3.71234401610582,18.9885072029663
"45","1-Methylnaphthalene",143.0861,123.7,0.0044,144.448965217391,124.5708545525,122.591547255866,126.550161849135,115.051054158385,134.090654946616,3.71234401610582,18.9885072029663
"88","1,2-Dimethylnaphthalene",156.0939,126.9,0.0046,160.835330434783,130.017795936575,128.093982175394,131.941609697756,120.509378531086,139.526213342063,3.71234401610582,18.9885072029663
"89","1,2-Dimethylnaphthalene",157.1017,129.4,0.007,177.221695652174,135.149158533145,133.247559254453,137.050757811837,125.645210827796,144.653106238494,3.71234401610582,18.9885072029663
"124","1,5-Dihydroxynaphthalene",159.0446,133.2,0.0035,193.608060869565,140.010080787806,138.101645719172,141.91851585644,130.504762982468,149.515398593144,3.71234401610582,18.9885072029663
"125","1,6-Dimethylnaphthalene",156.0939,126.3,0.0038,209.994426086957,144.636034254164,142.696143351547,146.57592515678,135.124350970783,154.147717537544,3.71234401610582,18.9885072029663
"126","1,6-Dimethylnaphthalene",157.1017,128.6,0.0051,226.380791304348,149.055477004062,147.063866018893,151.04708798923,139.533110886046,158.577843122077,3.71234401610582,18.9885072029663
"195","2-Methylnaphthalene",142.0782,121.8,0.003,242.767156521739,153.291641276281,151.232066077705,155.351216474857,143.754828802091,162.828453750472,3.71234401610582,18.9885072029663
"196","2-Methylnaphthalene",143.0861,123.1,0.0042,259.15352173913,157.363776766441,155.22351080498,159.504042727902,147.809213429737,166.918340103144,3.71234401610582,18.9885072029663
"230","2,3-dihydroxynaphthalene",159.0446,131.3,0.0016,275.539886956522,161.288038988033,159.057309354028,163.518768622037,151.7128054729,170.863272503165,3.71234401610582,18.9885072029663
"252","2,6-Dihydroxynaphthalene",159.0446,137,0.0041,291.926252173913,165.078138941096,162.749579601178,167.406698281014,155.479642664657,174.676635217534,3.71234401610582,18.9885072029663
"255","2,7-Dimethylnaphthalene",157.1017,129.5,0.0036,308.312617391304,168.745827913065,166.313993816116,171.177662010014,159.121756049017,178.369899777113,3.71234401610582,18.9885072029663
"477","Acenaphthene",154.0782,127.7,0.0041,324.698982608696,172.301265719249,169.762223981473,174.840307457025,162.649546954415,181.952984484083,3.71234401610582,18.9885072029663
"478","Acenaphthenequinone",183.0446,143.8,0.0156,341.085347826087,175.753304828736,173.104302511785,178.402307145688,166.072077869074,185.434531788399,3.71234401610582,18.9885072029663
"752","Benzo(k)fluoranthene",252.0939,151.2,0.0028,357.471713043478,179.109712675548,176.348912615368,181.870512735728,169.39730004317,188.822125307926,3.71234401610582,18.9885072029663
"753","Benzo(k)fluoranthene",253.1017,152.6,0.0051,373.85807826087,182.377347798574,179.503621280995,185.251074316152,172.63223382966,192.122461767488,3.71234401610582,18.9885072029663
"1307","Fluoranthene",202.0783,136.7,0.0022,390.244443478261,185.56230098736,182.575066223612,188.549535751108,175.783113203958,195.341488770762,3.71234401610582,18.9885072029663
"1308","Fluoranthene",203.0861,137.2,0.0028,406.630808695652,188.670009552504,185.569106269954,191.770912835053,178.855502772384,198.484516332623,3.71234401610582,18.9885072029663
"1697","Juglone",173.0239,130.8,0.0013,423.017173913044,191.705350706734,188.490942866984,194.919758546483,181.854393396425,201.556308017042,3.71234401610582,18.9885072029663
"2084","Naphthalene",128.0626,117.7,0.0056,439.403539130435,194.672718530731,191.345218810663,198.000218250799,184.784281012278,204.561156049183,3.71234401610582,18.9885072029663
"2085","Naphthalene",129.0704,119.2,0.0082,455.789904347826,197.576087909456,194.136098975035,201.016076843877,187.649232111258,207.502943707655,3.71234401610582,18.9885072029663
"2086","Naproxen",231.1021,153.9,0.003,472.176269565217,200.419068030582,196.867336765736,203.970799295428,190.452938533783,210.385197527381,3.71234401610582,18.9885072029663
"2087","Naproxen",253.0841,162.8,0.0031,488.562634782609,203.204947449654,199.542329194217,206.86756570509,193.198763628918,213.211131270389,3.71234401610582,18.9885072029663
"3055","Thymidine-5'-triphosphate",504.949,206.1,0.0036,504.949,205.936732287724,202.164162827968,209.70930174748,195.889781382202,215.983683193246,3.71234401610582,18.9885072029663
