"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3138","Rifampicin",845.3949,284.44,0.0024,821.3973,235.871184765075,203.562748312741,268.179621217409,135.295759826523,336.446609703627,35.5258929923932,45.3565430781492
"3139","Rifampicin",1645.818,311.83,0.0023,887.733961538461,275.252301628271,249.422066383937,301.082536872605,176.567033789787,373.937569466756,35.5258929923932,45.3565430781492
"3140","Rifampicin",821.3973,287.39,0.0019,954.070623076923,294.13116992434,264.051403243947,324.210936604733,194.249372788312,394.012967060368,35.5258929923932,45.3565430781492
"3141","Rifampicin",861.3688,210.23,0.0011,1020.40728461538,303.660952302935,270.080473172274,337.241431433597,202.669716969266,404.652187636605,35.5258929923932,45.3565430781492
"3142","Rifampicin",823.4129,282.39,0.0013,1086.74394615385,308.691970410471,273.010743777989,344.373197042954,206.982919831998,410.401020988944,35.5258929923932,45.3565430781492
"3143","Rifampicin",1667.8,312.38,0.0014,1153.08060769231,311.454396906805,274.559595823479,348.34919799013,209.313281862206,413.595511951403,35.5258929923932,45.3565430781492
"3144","Rifampicin",1683.7739,314.23,0.0012,1219.41726923077,313.024775209962,275.423145088387,350.626405331537,210.626222371675,415.423328048249,35.5258929923932,45.3565430781492
"3145","Rifampicin (conf 1)",845.3949,210.66,0.0014,1285.75393076923,313.945523636062,275.924106787587,351.966940484537,211.39207818082,416.498969091304,35.5258929923932,45.3565430781492
"3146","Rifampicin (conf 1)",823.4129,212.85,0.0011,1352.09059230769,314.500538188937,276.22423597358,352.776840404293,211.852321707319,417.148754670554,35.5258929923932,45.3565430781492
"3147","Rifampicin (conf 2)",845.3949,215.73,0.0018,1418.42725384615,314.843547250032,276.409042945656,353.278051554408,212.136234186653,417.55086031341,35.5258929923932,45.3565430781492
"3148","Rifampicin (conf 2)",823.4129,205.31,0.0011,1484.76391538462,315.060379621929,276.525604487814,353.595154756043,212.315501743698,417.805257500159,35.5258929923932,45.3565430781492
"3149","Rifapentine",899.4393,306.6,0.0013,1551.10057692308,315.200298832357,276.600712643389,353.799885021324,212.431095811533,417.969501853181,35.5258929923932,45.3565430781492
"3150","Rifapentine",877.4586,299.22,0.0013,1617.43723846154,315.29230072475,276.650053221702,353.934548227798,212.507066728506,418.077534720994,35.5258929923932,45.3565430781492
"3151","Rifapentine (conf 1)",915.4116,300.7,0.0012,1683.7739,315.353848034317,276.683040838729,354.024655229906,212.557873576491,418.149822492144,35.5258929923932,45.3565430781492
