"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"803","O-Phosphoethanolamine",140.0126,123.4,0.005,140.0126,129.317476321927,121.66295297007,136.971999673784,99.8448996497698,158.790052994084,11.8087132353887,29.7343664596854
"860","Phosphoenolpyruvate",204.9304,163.7,0.0084,152.279746808511,131.696683897845,124.279624916198,139.113742879491,102.284886742803,161.108481052886,11.8087132353887,29.7343664596854
"2338","Acetylphosphate",162.9772,124.6,0.0041,164.546893617021,134.254034917469,127.088507189778,141.419562645159,104.904659531128,163.60341030381,11.8087132353887,29.7343664596854
"2803","Phosphoenolpyruvate",190.9711,138.1,0.0028,176.814040425532,136.989142047242,130.087905986251,143.890378108233,107.703170881484,166.275113213,11.8087132353887,29.7343664596854
"2804","Phosphoenolpyruvate",190.9711,138.1,0.0028,189.081187234043,139.898744290339,133.272661909075,146.524826671602,110.676389565311,169.121099015366,11.8087132353887,29.7343664596854
"3458","2-Ethylhexyl diphenyl phosphate",385.1554,202.7,0.000199,201.348334042553,142.976401845814,136.633759921219,149.319043770408,113.817009627599,172.135794064028,11.8087132353887,29.7343664596854
"3459","3-Hydroxyphenyl diphenyl phosphate",365.0564,189.1,0.000371,213.615480851064,146.212278602842,140.158033593438,152.266523612246,117.114255807711,175.310301397973,11.8087132353887,29.7343664596854
"3460","4-Hydroxyphenyl diphenyl phosphate",365.0549,188.5,0.000196,225.882627659574,149.593040970195,143.828001350284,155.358080590106,120.553813539508,178.632268400883,11.8087132353887,29.7343664596854
"3461","4-Hydroxyphenyl phenyl phosphate",289.0238,169,0.000705,238.149774468085,153.101897683668,147.621873584469,158.581921782867,124.11790706678,182.085888300556,11.8087132353887,29.7343664596854
"3462","5-Hydroxy-2-ethylhexyl diphenyl phosphate",401.1503,195,0.000266,250.416921276596,156.7187977085,151.513769915383,161.923825501617,127.785540679966,185.652054737034,11.8087132353887,29.7343664596854
"3463","Antiblaze V6",602.8987,216.6,0.000358,262.684068085106,160.42079262959,155.474185630625,165.367399628554,131.532906435646,189.308678823534,11.8087132353887,29.7343664596854
"3464","Bis(2-butoxyethyl) 2-hydroxyethyl phosphate",365.1704,182.3,0.000211,274.951214893617,164.182556858294,159.470743486048,168.894370230539,135.333947997433,193.031165719154,11.8087132353887,29.7343664596854
"3465","Bis(2-butoxyethyl) 3′-hydroxy-2-butoxyethyl phosphate",437.2261,200.4,0.000222,287.218361702128,167.977044989214,163.469254717484,172.484835260944,139.161056005909,196.793033972519,11.8087132353887,29.7343664596854
"3466","Bis(2-butoxyethyl) phosphate",321.1443,175.7,0.000207,299.485508510638,171.776252494205,167.435078199042,176.117426789368,142.985857529685,200.566647458725,11.8087132353887,29.7343664596854
"3467","Bis(2-chloroethyl) phosphate",244.9513,149,0.000634,311.752655319149,175.552035499905,171.334695598505,179.769375401305,146.780052533901,204.324018465909,11.8087132353887,29.7343664596854
"3468","Bis(2-chloropropyl) hydrogen phosphate",272.9823,156.4,0.000133,324.01980212766,179.276939234301,175.13731824984,183.416560218761,150.51624539971,208.037633068891,11.8087132353887,29.7343664596854
"3469","Bis(3,5,5-trimethylhexyl) phosphate",373.2492,210.4,0.000368,336.28694893617,182.924983812693,178.816254773586,187.033712851799,154.168720107739,211.681247517647,11.8087132353887,29.7343664596854
"3470","Di-n-butyl phosphate",233.0916,167.5,0.000323,348.554095744681,186.472360509408,182.349774658195,190.594946360621,157.714113656502,215.230607362314,11.8087132353887,29.7343664596854
"3471","Di-o-cresyl phosphate",301.0607,169.4,0.000437,360.821242553191,189.898000822128,185.721342093127,194.074659551129,161.131952673475,218.664048970781,11.8087132353887,29.7343664596854
"3472","Diphenyl hydrogen phosphate",273.0285,164.4,0.000889,373.088389361702,193.183993077215,188.919302364951,197.44868378948,164.405031406868,221.962954747563,11.8087132353887,29.7343664596854
"3473","Diphenylcresyl phosphate",363.0769,190.5,0.000309,385.355536170213,196.315835244718,191.936250292583,200.695420196854,167.519623474677,225.112047014759,11.8087132353887,29.7343664596854
"3474","Isodecyl diphenyl phosphate",413.1845,207.3,0.000134,397.622682978723,199.282526187409,194.768321478123,203.796730896694,170.465533073806,228.099519301011,11.8087132353887,29.7343664596854
"3475","Resorcinol bis(diphenyl phosphate)",597.0846,231.6,0.000253,409.889829787234,202.076509199907,197.414558266336,206.738460133478,173.23600236561,230.917016034203,11.8087132353887,29.7343664596854
"3476","Triamyl phosphate",331.2001,200,0.000461,422.156976595745,204.69349034795,199.87639825314,209.51058244276,175.827499559447,233.559481136453,11.8087132353887,29.7343664596854
"3477","Triethyl phosphate",250.0597,150.9,0.000745,434.424123404255,207.132159331091,202.157268426537,212.107050235646,178.239416514524,236.024902147658,11.8087132353887,29.7343664596854
"3478","Tri-iso-butyl phosphate",289.1536,183.2,0.000443,446.691270212766,209.393842449004,204.262247972469,214.525436925539,180.473705695806,238.313979202202,11.8087132353887,29.7343664596854
"3479","Tri-m-tolyl phosphate",391.1063,198.6,0.000593,458.958417021277,211.482116250511,206.19776882383,216.766463677192,182.534484643108,240.429747857914,11.8087132353887,29.7343664596854
"3480","Tri-n-butyl phosphate",289.1526,184.5,0.000536,471.225563829787,213.402407324005,207.971336832942,218.833477815069,184.427632525381,242.377182122629,11.8087132353887,29.7343664596854
"3481","Tri-o-tolyl phosphate",391.1069,192.4,0.000806,483.492710638298,215.161599257982,209.591268216396,220.731930299569,186.160398664474,244.162799851491,11.8087132353887,29.7343664596854
"3482","Triphenyl phosphate",349.0607,185,0.000285,495.759857446808,216.767662809768,211.066442855806,222.46888276373,187.74103784379,245.794287775746,11.8087132353887,29.7343664596854
