"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"29","11C1_PF3OUdS",630.8924,186.5,0.0026,124.0085,125.89689220155,115.456085541458,136.337698861642,99.8541114545318,151.939672948568,9.29445318554291,24.9223812610131
"30","9Cl_PF3ONS",530.8964,170.2,0.0016,152.168716666667,127.914493532434,117.860696570501,137.968290494368,102.02444102813,153.804546036738,9.29445318554291,24.9223812610131
"311","10:2 FTS",626.9543,203.6,0.0033,180.328933333333,130.219242551796,120.599921260758,139.838563842834,104.494792559152,155.94369254444,9.29445318554291,24.9223812610131
"410","4:2 FTS",326.9749,150.4,0.0011,208.48915,132.79755586648,123.653290899601,141.941820833359,107.246947906819,158.348163826142,9.29445318554291,24.9223812610131
"438","6:2 FTS",426.9674,168.1,8e-04,236.649366666667,135.638354167468,127.001858908963,144.274849425973,110.265040712698,161.011667622238,9.29445318554291,24.9223812610131
"446","8:2 FTS",526.9623,185.8,0.0015,264.809583333333,138.73234152591,130.626705255232,146.837977796587,113.53477567767,163.929907374149,9.29445318554291,24.9223812610131
"761","N_AP_FHxSA",483.0428,182.8,0.0015,292.9698,142.07155031849,134.507467823184,149.635632813797,117.042940102986,167.100160533994,9.29445318554291,24.9223812610131
"762","N_AP_FHxSA",483.0428,182.7,0.0017,321.130016666667,145.649036688946,138.620669992369,152.677403385522,120.777086147314,170.520987230577,9.29445318554291,24.9223812610131
"791","Nafion Byproduct 1",442.9272,156.2,0.0037,349.290233333333,149.458667417793,142.937751345762,155.979583489824,124.725322885718,174.192011949867,9.29445318554291,24.9223812610131
"792","Nafion Byproduct 2",462.9326,155.2,0.0014,377.45045,153.494965353966,147.423035603349,159.566895104583,128.87618560719,178.113745100742,9.29445318554291,24.9223812610131
"793","Nafion Byproduct 4",440.9319,151.3,0.0018,405.610666666667,157.752994011672,152.032655551611,163.473332471733,133.218563970983,182.287424052361,9.29445318554291,24.9223812610131
"802","NVHOS",296.9474,132.9,0.0036,433.770883333333,162.228269299861,156.716719966136,167.739818633586,137.74167783878,186.714860760943,9.29445318554291,24.9223812610131
"951","Taurine",124.0085,118.5,0.0032,461.9311,166.916690610596,161.4273701754,172.406011045792,142.435092946961,191.398288274231,9.29445318554291,24.9223812610131
"1979","Taurine",126.0219,127.9,0.0064,490.091316666667,171.814486069835,166.131636196656,177.497335943015,147.288769607214,196.340202532457,9.29445318554291,24.9223812610131
"1980","Taurine",126.0219,134.3,0.0044,518.251533333333,176.918168374482,170.820941586779,183.015395162184,152.293137210552,201.543199538411,9.29445318554291,24.9223812610131
"3575","1H,1H,2H,2H-Perfluoro-dodecanesulfonic acid",626.956,204.2,0.000215,546.41175,182.224498692092,175.509162985488,188.939834398695,157.439186126457,207.009811257726,9.29445318554291,24.9223812610131
"3576","6:2 chlorinated polyfluorinated ether sulfonate",530.8975,171,6.7e-05,574.571966666667,187.730456803007,180.221886132999,195.239027473015,162.718567253628,212.742346352386,9.29445318554291,24.9223812610131
"3577","8:2 Fluorotelomer sulfonic acid",526.9634,186.4,0.000338,602.732183333333,193.433216146425,184.985956238017,201.880476054833,168.123688586946,218.742743705904,9.29445318554291,24.9223812610131
"3578","Sodium 1H,1H,2H,2H-perfluorooctane sulfonate",426.9679,168.5,0.000376,630.8924,199.330122769222,189.824029514581,208.836216023864,173.647798219257,225.012447319188,9.29445318554291,24.9223812610131
