"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1516","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1221.9912,281.8,0.001,601.9784,192.616596136689,189.39204441158,195.841147861798,179.961080683537,205.272111589841,5.12017252416215,65.4593703133413
"1517","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1333.9684,285.4,8e-04,638.566829508197,198.765415889608,195.657444427269,201.873387351946,186.13910113954,211.391730639675,5.12017252416215,65.4593703133413
"1518","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1221.9912,283.1,0.0045,675.155259016393,204.751628108306,201.755769333258,207.747486883355,192.152441334665,217.350814881947,5.12017252416215,65.4593703133413
"1519","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1243.9731,281.4,0.0044,711.74368852459,210.58801434312,207.699993777409,213.476034908831,198.014033257361,223.161995428879,5.12017252416215,65.4593703133413
"1520","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1259.9471,284.7,0.0045,748.332118032787,216.285752180183,213.501446792156,219.07005756821,203.735186692889,228.836317667477,5.12017252416215,65.4593703133413
"1521","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1521.972,316.5,0.001,784.920547540984,221.854684490155,219.170086193775,224.539282786534,209.325861497951,234.383507482359,5.12017252416215,65.4593703133413
"1522","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1633.9492,320.3,8e-04,821.50897704918,227.303533118694,224.714716244454,229.892349992933,214.794883696577,239.81218254081,5.12017252416215,65.4593703133413
"1523","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1521.972,318.9,0.0059,858.097406557377,232.640070432933,230.143162300664,235.136978565202,220.150118960728,245.130021905139,5.12017252416215,65.4593703133413
"1524","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1543.954,313.8,0.0086,894.685836065574,237.871258468224,235.46241243155,240.280104504898,225.39861332834,250.343903608107,5.12017252416215,65.4593703133413
"1525","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1559.9279,315.8,0.0071,931.27426557377,243.003362861924,240.678733389223,245.327992334625,230.546708425744,255.460017298104,5.12017252416215,65.4593703133413
"1526","Hexakis(1H,1H,6H-decafluorohexyloxy)phosphazene",1821.9529,351.2,0.0018,967.862695081967,248.042046948474,245.797766473532,250.286327423415,235.600136628621,260.483957268326,5.12017252416215,65.4593703133413
"1527","Hexakis(1H,1H,6H-decafluorohexyloxy)phosphazene",1933.9301,353.1,8e-04,1004.45112459016,252.992450085546,250.824607514766,255.160292656325,240.564100276792,265.420799894299,5.12017252416215,65.4593703133413
