"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"34","1-Methylhistamine",126.1031,121.8,0.0029,104.1075,116.608825603037,114.835274983061,118.382376223014,106.664799997371,126.552851208704,4.0377842498607,71.5591651929553
"302","3-Methylhistamine",126.1028,123.8,8e-04,126.621002439024,123.685997858216,121.960291893917,125.411703822514,113.750393975223,133.621601741209,4.0377842498607,71.5591651929553
"473","Acetylcholine",146.1186,129.2,0.0036,149.134504878049,131.096592651776,129.416708999184,132.776476304368,121.168845045658,141.024340257893,4.0377842498607,71.5591651929553
"555","Agmatine Sulfate",131.1285,128.5,0.0056,171.648007317073,138.822383200877,137.185222898859,140.459543502894,128.901775492725,148.742990909028,4.0377842498607,71.5591651929553
"842","Choline",104.1075,117.9,0.0061,194.161509756098,146.840060653039,145.241353656652,148.438767649425,136.925726207156,156.754395098922,4.0377842498607,71.5591651929553
"1211","Diethanolamine",106.0865,122.2,0.0065,216.675012195122,155.121297991244,153.555554479021,156.687041503466,145.21222557297,165.030370409518,4.0377842498607,71.5591651929553
"1559","Hexazinone",253.1664,162.1,0.0044,239.188514634146,163.632979479056,162.093507056576,165.172451901535,153.728024214941,173.53793474317,4.0377842498607,71.5591651929553
"1560","Hexazinone",275.1484,178.4,0.0039,261.702017073171,172.337602160866,170.816606602555,173.858597719176,162.435501831494,182.239702490237,4.0377842498607,71.5591651929553
"1564","Histamine",112.0863,120.4,0.0012,284.215519512195,181.193846253207,179.682625257869,182.705067248544,171.29324261801,191.094449888404,4.0377842498607,71.5591651929553
"1565","Histidinol",140.0829,127.9,0.0063,306.72902195122,190.1573007438,188.646526260232,191.668075227368,180.256765254003,200.057836233597,4.0377842498607,71.5591651929553
"1566","Histidinol",142.0982,128.8,0.0015,329.242524390244,199.181320085843,197.661387780067,200.701252391619,189.279383019861,209.083257151825,4.0377842498607,71.5591651929553
"1567","Histidinol",164.0794,131.9,0.0011,351.756026829268,208.217978561053,206.679388188681,209.756568933425,198.313160350783,218.122796771323,4.0377842498607,71.5591651929553
"1709","L-Carnitine",162.1118,132.9,0.0013,374.269529268293,217.219081670304,215.652805090559,218.78535825005,207.30992500746,227.128238333149,4.0377842498607,71.5591651929553
"2103","Norspermidine",132.1484,127.6,0.0015,396.783031707317,226.137189595602,224.534986747304,227.739392443901,216.222290836077,236.052088355127,4.0377842498607,71.5591651929553
"2104","Norspermidine",154.132,132.3,0.0023,419.296534146342,234.926606854325,233.281262530607,236.571951178044,225.00464528475,244.8485684239,4.0377842498607,71.5591651929553
"2386","Phosphocholine",184.0732,137.1,0.0046,441.810036585366,243.544294842897,241.849765484373,245.238824201421,233.614058531941,253.474531153853,4.0377842498607,71.5591651929553
"2387","Phosphocholine",206.0553,148,0.0017,464.32353902439,251.950669745553,250.202144252248,253.699195238859,242.011076954836,261.89026253627,4.0377842498607,71.5591651929553
"2625","Propyltributylaminium",228.2691,163.1,0.0069,486.837041463415,260.110256612485,258.304144995389,261.916368229581,250.160372059489,270.06014116548,4.0377842498607,71.5591651929553
"2909","Spermidine",146.1653,131.3,0.0033,509.350543902439,267.992180385244,266.126048331983,269.858312438505,258.031225999005,277.953134771484,4.0377842498607,71.5591651929553
"2910","Spermidine",168.1472,136.2,0.0019,531.864046341463,275.57048524431,273.642952614392,277.498017874229,265.597845399017,285.543125089604,4.0377842498607,71.5591651929553
"2911","Spermine",203.2231,148.6,5e-04,554.377548780488,282.82428387868,280.834902611634,284.813665145727,272.839505399905,292.809062357455,4.0377842498607,71.5591651929553
"2912","Spermine",225.2045,151.4,0.0038,576.891051219512,289.737747284837,287.68687075886,291.788623810814,279.740534774875,299.734959794798,4.0377842498607,71.5591651929553
"2913","Sphinganine",302.3046,188.9,0.0022,599.404553658537,296.299952882684,294.188605381547,298.41130038382,286.290160091867,306.309745673501,4.0377842498607,71.5591651929553
"2914","Sphinganine",324.2865,190.8,0.0028,621.918056097561,302.504613754096,300.334365844417,304.674861663776,292.482231829923,312.52699567827,4.0377842498607,71.5591651929553
"2975","Tetrabutylammonium",242.2848,167.5,NA,644.431558536585,308.349714599244,306.122568008452,310.576861190036,298.314858079023,318.384571119464,4.0377842498607,71.5591651929553
"2982","Tetradecylammonium",578.6603,290.5,8e-04,666.94506097561,313.837080727406,311.55536469333,316.118796761482,303.789972113248,323.884189341564,4.0377842498607,71.5591651929553
"2983","Tetradodecylammonium",690.7855,316.9,0.0012,689.458563414634,318.971905376635,316.638185299972,321.305625453297,308.912859057985,329.030951695285,4.0377842498607,71.5591651929553
"2984","Tetraheptylammonium",410.4726,233.9,0.0058,711.972065853659,323.762258307249,321.379256761533,326.145259852965,313.691664491023,333.832852123475,4.0377842498607,71.5591651929553
"2985","Tetrahexadecylammonium",915.0359,353.8,7e-04,734.485568292683,328.218595381958,325.789125023717,330.648065740199,318.136904568106,338.30028619581,4.0377842498607,71.5591651929553
"2986","Tetrahexylammonium",354.41,213.1,NA,756.999070731707,332.353285149249,329.880192748766,334.826377549732,322.260993562803,342.445576735696,4.0377842498607,71.5591651929553
"2987","Tetraoctadecylammonium",1027.1611,372.9,0.0013,779.512573170732,336.180164644309,333.666285269898,338.69404401872,326.0778009133,346.282528375319,4.0377842498607,71.5591651929553
"2988","Tetraoctylammonium",466.5351,254.8,8e-04,802.026075609756,339.714132990899,337.162253287663,342.266012694135,329.602246249824,349.826019731974,4.0377842498607,71.5591651929553
"2989","Tetrapentylammonium",298.3474,182.7,NA,824.539578048781,342.970788121379,340.383617600762,345.557958641995,332.849937626125,353.091638616633,4.0377842498607,71.5591651929553
"2990","Tetrapropylammonium",186.2222,145.7,NA,847.053080487805,345.966109144846,343.346258423456,348.585959866237,335.836855408914,356.095362880779,4.0377842498607,71.5591651929553
"3069","Tributylammonium",187.23,150.4,0.0032,869.566582926829,348.716184633104,346.066149613,351.366219653208,338.579082036587,358.853287229621,4.0377842498607,71.5591651929553
"3072","Tridodecyl(undecyl)azanium",676.7699,313.8,NA,892.080085365854,351.236985357979,348.559136414631,353.914834301326,341.092576138713,361.381394577244,4.0377842498607,71.5591651929553
"3076","Triheptyl(hexyl)azanium",396.4569,227.8,NA,914.593587804878,353.544178762793,350.840754092497,356.247603433088,343.392988271403,363.695369254183,4.0377842498607,71.5591651929553
"3077","Triheptyl(hexyl)azanium",396.4569,228.5,NA,937.107090243902,355.652981625428,352.926083994805,358.379879256052,345.495514710275,365.810448540581,4.0377842498607,71.5591651929553
"3078","Trihexadecyl(pentadecyl)azanium",901.0203,341,NA,959.620592682927,357.578046900004,354.829643131471,360.326450668537,347.414785281831,367.741308518176,4.0377842498607,71.5591651929553
"3079","Trihexyl(pentyl)azanium",340.3905,208.1,NA,982.134095121951,359.333380536557,356.56530315204,362.101457921074,349.164781033616,369.501980039497,4.0377842498607,71.5591651929553
"3080","Trioctyl(heptyll)azanium",452.5195,249.9,NA,1004.64759756098,360.932284105184,358.146234633425,363.718333576943,350.75877757579,371.105790634577,4.0377842498607,71.5591651929553
"3081","Tripentyl(butyl)azanium",284.3317,183.6,NA,1027.1611,362.387319232398,359.584872761674,365.189765703122,352.209310111465,372.565328353331,4.0377842498607,71.5591651929553
