"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"21","1-Kestose",503.1612,204.1,0.0084,105.0225,117.497474937469,115.669141717227,119.325808157711,90.549526542735,144.445423332203,11.4904856596512,59.8585904827594
"22","1-Kestose",527.1588,204.2,0.0056,110.043516487455,118.69434144266,116.873448124849,120.515234760471,91.7468967995061,145.641786085814,11.4904856596512,59.8585904827594
"147","2-Acetamindo-2-deoxy-beta-D-glycosylamine",219.0988,155.3,0.0011,115.06453297491,119.888014586804,118.074436337456,121.701592836152,92.9410632492684,146.83496592434,11.4904856596512,59.8585904827594
"148","2-Acetamindo-2-deoxy-beta-D-glycosylamine",243.0965,149.6,0.0053,120.085549462366,121.078641780894,119.27225422255,122.885029339239,94.1321734347094,148.025110127079,11.4904856596512,59.8585904827594
"149","2-Acetamindo-2-deoxy-beta-D-glycosylamine",243.0965,157.9,6e-04,125.106565949821,122.266357752107,120.46703685218,124.065678652034,95.3203622050514,149.212353299162,11.4904856596512,59.8585904827594
"150","2-alpha-Mannobiose",365.106,173.7,0.009,130.127582437276,123.451286100676,121.658908074033,125.243664127319,96.5057532740388,150.396818927314,11.4904856596512,59.8585904827594
"156","2-Deoxy-D-glucose",187.0559,136.8,0.0013,135.148598924731,124.633540612923,122.847981836579,126.419099389268,97.6884605339034,151.578620691943,11.4904856596512,59.8585904827594
"171","2-Keto-D-gluconic Acid",193.0348,133,0.0023,140.169615412186,125.813226376267,124.034363314509,127.592089438026,98.8685891711852,152.757863581349,11.4904856596512,59.8585904827594
"187","2-Phospho-DL-glycerate",184.9861,124.4,0.003,145.190631899642,126.99044073213,125.218149870675,128.762731593585,100.046236620325,153.934644843935,11.4904856596512,59.8585904827594
"188","2-Phospho-DL-glycerate",187.0005,134.4,0.0025,150.211648387097,128.165274095084,126.399431883125,129.931116307044,101.221493383415,155.109054806754,11.4904856596512,59.8585904827594
"189","2-Phospho-DL-glycerate",206.9682,133.3,0.0022,155.232664874552,129.337810660883,127.57829346006,131.097327861705,102.394443738744,156.281177583021,11.4904856596512,59.8585904827594
"190","2-Phospho-DL-glycerate",208.9817,141.9,9e-04,160.253681362007,130.508129021535,128.754813061047,132.261444982022,103.565166356336,157.451091686733,11.4904856596512,59.8585904827594
"268","3-Dehydroshikimate",171.0298,132.2,0.0028,165.274697849462,131.676302702181,129.929064039352,133.423541365011,104.733734835219,158.618870569144,11.4904856596512,59.8585904827594
"269","3-Dehydroshikimate",195.0245,149.2,0.0017,170.295714336918,132.842400631779,131.101115117506,134.583686146051,105.900218174464,159.784583089093,11.4904856596512,59.8585904827594
"270","3-Dehydroshikimate",173.045,131.9,0.0025,175.316730824373,134.00648755746,132.271030806081,135.741944308839,107.064681187862,160.948293927058,11.4904856596512,59.8585904827594
"281","3-Hydroxybenzaldehyde",121.0305,118,0.0013,180.337747311828,135.168624410748,133.438871773881,136.898377047615,108.227184870409,162.110063951087,11.4904856596512,59.8585904827594
"355","4-Hydroxybenzoate",121.0305,121.6,0.0068,185.358763799283,136.328868632384,134.604695176407,138.053042088362,109.387786723387,163.269950541381,11.4904856596512,59.8585904827594
"421","6-Deoxy-L-galactose",187.0582,146.4,0.0025,190.379780286738,137.487274461456,135.768554948303,139.205993974609,110.546541043713,164.428007879199,11.4904856596512,59.8585904827594
"432","6-Phosphogluconic Acid",275.0168,145.2,4e-04,195.400796774194,138.643893193583,136.930502064598,140.357284322569,111.703499182324,165.584287204842,11.4904856596512,59.8585904827594
"433","6-Phosphogluconic Acid",299.0144,166.1,0.0032,200.421813261649,139.798773412179,138.090584774783,141.506962049575,112.858709775618,166.738837048739,11.4904856596512,59.8585904827594
"566","Allose",203.0542,143,0.0024,205.442829749104,140.951961196206,139.248848813182,142.655073579229,114.012218953374,167.891703439037,11.4904856596512,59.8585904827594
"567","Allose",203.0542,146.1,8e-04,210.463846236559,142.103500307326,140.405337588535,143.801663026117,115.164070526047,169.042930088606,11.4904856596512,59.8585904827594
"568","alpha-D-Glucose",203.0533,146.5,0.0012,215.484862724014,143.253432358938,141.560092355303,144.946772362574,116.314306153938,170.192558563938,11.4904856596512,59.8585904827594
"569","alpha-D-Glucose",203.0526,147.1,0.002,220.50587921147,144.401796969226,142.713152368847,146.090441569604,117.46296550037,171.340628438081,11.4904856596512,59.8585904827594
"570","alpha-D-Glucose-1-phosphate",259.0228,149.7,0.0064,225.526895698925,145.548631900071,143.864555026345,147.232708773796,118.610086370707,172.487177429435,11.4904856596512,59.8585904827594
