"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"459","AAGHDGK (Tryptic Peptide)",655.316,247.4,0.0094,225.1008,153.965901555023,144.180972870149,163.750830239896,103.758439518962,204.173363591083,20.6547414225078,75.4798636870289
"478","Actinomycin",628.3195,193.1,0.002,246.497285074627,154.569946295967,144.818257336758,164.321635255176,104.368951761082,204.770940830852,20.6547414225078,75.4798636870289
"479","Actinomycin",639.2402,190,4e-04,267.893770149254,155.254137264431,145.54001637816,164.968258150701,105.060426908177,205.447847620684,20.6547414225078,75.4798636870289
"480","Actinomycin",639.3104,181.3,0.0045,289.290255223881,156.028505860483,146.356798297803,165.700213423163,105.842986615262,206.214025105703,20.6547414225078,75.4798636870289
"481","Actinomycin",647.2224,184.3,0.0064,310.686740298507,156.904166412093,147.280282306479,166.528050517708,106.727841715951,207.080491108235,20.6547414225078,75.4798636870289
"482","Actinomycin",647.2224,198.2,0.0016,332.083225373134,157.893383269409,148.323345841375,167.463420697444,107.727358600233,208.059407938585,20.6547414225078,75.4798636870289
"483","Actinomycin",647.2262,181,0.0024,353.479710447761,159.009626579063,149.500118976716,168.51913418141,108.855113825239,209.164139332887,20.6547414225078,75.4798636870289
"484","Actinomycin",647.2262,190.3,0.0076,374.876195522388,160.267610802771,150.826019415495,169.709202190047,110.12593090811,210.409290697433,20.6547414225078,75.4798636870289
"485","Actinomycin",650.2304,188.2,0.0059,396.272680597015,161.683308629635,152.317760003476,171.048857255794,111.55589182203,211.81072543724,20.6547414225078,75.4798636870289
"486","Actinomycin",650.2304,192.5,0.0029,417.669165671642,163.273931397143,153.993319023545,172.554543770741,113.162314173555,213.385548620731,20.6547414225078,75.4798636870289
"487","Actinomycin",658.2176,190.5,0.0017,439.065650746269,165.057865561003,155.87186179457,174.243869327436,114.963683464363,215.152047657643,20.6547414225078,75.4798636870289
"488","Actinomycin",1255.6363,344.4,0.0017,460.462135820896,167.05455326764,157.973600452538,176.135506082742,116.979528367352,217.129578167929,20.6547414225078,75.4798636870289
"489","Actinomycin",1277.6182,354.1,0.0018,481.858620895522,169.284303877473,160.319577440009,178.249030314938,119.230225773557,219.33838198139,20.6547414225078,75.4798636870289
"490","Actinomycin",1293.5922,346.6,0.001,503.255105970149,171.768022628074,162.931357462401,180.604687793747,121.736721765668,221.79932349048,20.6547414225078,75.4798636870289
"491","Actinomycin",1293.5922,355,0.0028,524.651591044776,174.526842859019,165.830612865724,183.223072852315,124.520154997987,224.533530720051,20.6547414225078,75.4798636870289
"492","Actinomycin",1293.5922,362.9,0.0026,546.048076119403,177.581649762141,169.038589016556,186.124710507727,127.601370634898,227.561928889385,20.6547414225078,75.4798636870289
"616","ANIDVK (Tryptic Peptide)",659.373,246.4,8e-04,567.44456119403,180.952486935775,172.575439853905,189.329534017646,131.000316486973,230.904657384578,20.6547414225078,75.4798636870289
"643","APNDFNLK (Tryptic Peptide)",918.4685,298.5,0.0045,588.841046268657,184.657842567016,176.459429886267,192.856255247765,134.735318740408,234.580366393624,20.6547414225078,75.4798636870289
"790","Carnosine",225.1008,153.1,0.0078,610.237531343284,188.71382020621,180.706008020425,196.721632391996,138.822243053978,238.605397358443,20.6547414225078,75.4798636870289
"791","Carnosine",227.115,150.8,0.0041,631.634016417911,193.133209981632,185.326771056853,200.939648906411,143.273557922871,242.992862040393,20.6547414225078,75.4798636870289
"792","Carnosine",249.0952,154.5,0.0033,653.030501492537,197.924489511645,190.328350486759,205.520628536531,148.097330824642,247.751648198648,20.6547414225078,75.4798636870289
"939","Cyclosporin",601.9253,196,9e-04,674.426986567164,203.090798965321,195.711274926376,210.470323004266,153.296202975638,252.885394955004,20.6547414225078,75.4798636870289
"940","Cyclosporin",612.9158,192,0.0019,695.823471641791,208.62895031211,201.468881037207,215.789019587014,158.866404087507,258.391496536714,20.6547414225078,75.4798636870289
"941","Cyclosporin",620.9005,180.8,0.0031,717.219956716418,214.528544718975,207.586366195843,221.470723242107,164.796882195172,264.260207242778,20.6547414225078,75.4798636870289
"942","Cyclosporin",620.9005,186.4,0.0026,738.616441791045,220.771281672906,214.040093511012,227.502469834799,171.068632761553,270.473930584258,20.6547414225078,75.4798636870289
"943","Cyclosporin",620.9005,194.4,0.0014,760.012926865672,227.330545867976,220.797269610104,233.863822125849,177.654312985479,277.006778750473,20.6547414225078,75.4798636870289
"944","Cyclosporin",1202.8491,351.1,0.0045,781.409411940298,234.1713506414,227.816111622479,240.52658966032,184.518219041046,283.824482241753,20.6547414225078,75.4798636870289
"945","Cyclosporin",1224.8311,343.3,0.0033,802.805897014925,241.250698200654,235.046593841937,247.454802559372,191.616684403378,290.884711997931,20.6547414225078,75.4798636870289
"946","Cyclosporin",1240.805,350.5,0.0036,824.202382089552,248.518387150909,242.431808730742,254.604965571077,198.898926738696,298.137847563123,20.6547414225078,75.4798636870289
"1154","Daptomycin",553.5599,157.1,3e-04,845.598867164179,255.918259143715,249.90988942498,261.92662886245,206.308331493985,305.528186793445,20.6547414225078,75.4798636870289
"1155","Daptomycin",801.857,208.4,2e-04,866.995352238806,263.389833231688,257.416335304933,269.363331158442,213.78411690569,312.995549557685,20.6547414225078,75.4798636870289
"1156","Daptomycin",810.8631,204.3,0.0011,888.391837313433,270.870234769968,264.886492724048,276.853976815889,221.263283809377,320.47718573056,20.6547414225078,75.4798636870289
"1157","Daptomycin",821.8517,204.7,0.0045,909.78832238806,278.296292040351,272.257913013083,284.33467106762,228.682720953285,327.909863127417,20.6547414225078,75.4798636870289
"1158","Daptomycin",821.8517,215,9e-04,931.184807462687,285.606653916013,279.472361659982,291.740946172044,235.98131808625,335.231989745776,20.6547414225078,75.4798636870289
"1159","Daptomycin",829.8357,212.4,0.001,952.581292537313,292.743779359939,286.477362461422,299.010196258455,243.101938182557,342.38562053732,20.6547414225078,75.4798636870289
"1160","Daptomycin",832.8439,208.8,0.0033,973.97777761194,299.655664814078,293.227271042405,306.08405858575,249.993116941278,349.318212686877,20.6547414225078,75.4798636870289
"1161","Daptomycin",1602.7041,385.2,0.0021,995.374262686567,306.297205859353,299.683935913921,312.910475804784,256.610389156071,355.984022562634,20.6547414225078,75.4798636870289
"1162","Daptomycin",1620.7158,379.3,6e-04,1016.77074776119,312.631129672596,305.817015608689,319.445243736504,262.917182281443,362.345077063749,20.6547414225078,75.4798636870289
"1163","Daptomycin",1642.6965,389.6,0.0037,1038.16723283582,318.628478281301,311.604003041407,325.652953521195,268.88526098356,368.371695579042,20.6547414225078,75.4798636870289
"1164","Daptomycin",1658.6653,391.6,0.0032,1059.56371791045,324.268663099639,317.029991453787,331.50733474549,274.494746416994,374.042579782283,20.6547414225078,75.4798636870289
"1308","FSSDR (Tryptic Peptide)",611.2789,234.5,0.0045,1080.96020298507,329.539143777566,322.087212707697,336.991074847434,279.733765640215,379.344521914916,20.6547414225078,75.4798636870289
"1568","HLADLSK (Tryptic Peptide)",783.436,271.6,2e-04,1102.3566880597,334.434806149293,326.774385922263,342.095226376322,284.597807315203,384.271804983383,20.6547414225078,75.4798636870289
"2385","Phleomycin",744.7436,189.6,0.116796781,1123.75317313433,338.957124367528,331.095924515604,346.818324219453,289.088869155958,388.825379579098,20.6547414225078,75.4798636870289
"2953","Surfactin 1",994.644,323.7,9e-04,1145.14965820896,343.113192326515,335.061056133026,351.165328520003,293.214481801964,393.011902851065,20.6547414225078,75.4798636870289
"2954","Surfactin 5",1050.7066,336.2,0.0017,1166.54614328358,346.914701564997,338.682910058619,355.146493071374,296.986685320218,396.842717809775,20.6547414225078,75.4798636870289
"2955","Surfactin 5",1072.6885,338,0.008,1187.94262835821,350.376929837841,341.977620938704,358.776238736979,300.421021231176,400.332838444507,20.6547414225078,75.4798636870289
"2956","Surfactin A",1008.6596,327.1,8e-04,1209.33911343284,353.517789185483,344.963487952521,362.072090418445,303.5355875101,403.499990860866,20.6547414225078,75.4798636870289
"2957","Surfactin A",1030.6416,329.8,5e-04,1230.73559850746,356.356966857443,347.660217200352,365.053716514534,306.350188623563,406.363745091323,20.6547414225078,75.4798636870289
"2958","Surfactin A",1046.6155,332.1,0.0011,1252.13208358209,358.91517843943,350.088263902163,367.742092976698,308.885598839132,408.944758039729,20.6547414225078,75.4798636870289
"2959","Surfactin B",1022.6753,330.6,9e-04,1273.52856865672,361.213540904938,352.26828123947,370.158800570405,311.162945651564,411.264136158311,20.6547414225078,75.4798636870289
"2960","Surfactin B",1044.6572,332,3e-04,1294.92505373134,363.27306441015,354.220674947155,372.325453873146,313.20321150719,413.342917313111,20.6547414225078,75.4798636870289
"2961","Surfactin C",1036.6909,333.5,0.0012,1316.32153880597,365.114255412854,355.965257214893,374.263253610815,315.02684598932,415.201664836387,20.6547414225078,75.4798636870289
"2962","Surfactin C",1058.6729,334.7,9e-04,1337.7180238806,366.756819803799,357.520989924052,375.992649683547,316.653476918299,416.8601626893,20.6547414225078,75.4798636870289
"2963","Surfactin C",1074.6468,328,0.0032,1359.11450895522,368.219452750904,358.905805394084,377.533100107724,318.101706973369,418.337198528438,20.6547414225078,75.4798636870289
"2964","Surfactin C",1074.6468,336.7,0.0032,1380.51099402985,369.519701403918,360.136492253069,378.902910554767,319.388981992534,419.650420815302,20.6547414225078,75.4798636870289
"2965","SVYDSR (Tryptic Peptide)",726.342,257.3,8e-04,1401.90747910448,370.673887055916,361.228634402746,380.119139709087,320.531517622306,420.816256489526,20.6547414225078,75.4798636870289
"3211","Valinomycin",556.3203,175.7,0.0017,1423.3039641791,371.697074441498,362.19659199187,381.197556891126,321.544272111916,421.849876771079,20.6547414225078,75.4798636870289
