"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"2637","Chrysene",229.1017,147.2,0.0014,178.0782,134.559025652934,132.440281509935,136.677769795934,126.408919549859,142.70913175601,2.99863089396183,17.6271275311663
"2638","Chrysene",228.0939,144.9,0.0033,214.20632,142.858040762085,140.860117889925,144.855963634245,134.738505766102,150.977575758068,2.99863089396183,17.6271275311663
"2639","6-Hydroxychrysene ",243.081,157.3,7e-04,250.33444,150.25736743774,148.28941054974,152.22532432574,142.145153987582,158.369580887898,2.99863089396183,17.6271275311663
"2640","Triphenylene",229.1017,147.5,0.0066,286.46256,156.965840587786,154.958454326606,158.973226848966,148.843971815793,165.087709359779,2.99863089396183,17.6271275311663
"2641","Triphenylene",228.0939,143.6,0.0066,322.59068,163.124202732537,161.027792513586,165.220612951489,154.979874119691,171.268531345383,2.99863089396183,17.6271275311663
"2642","Fullerene C60",720,210.8,0.0017,358.7188,168.832325247697,166.613573592052,171.051076903342,160.655650394352,177.009000101042,2.99863089396183,17.6271275311663
"2643","3,6-Dimethylphenanthrene",207.1174,143.9,0.0029,394.84692,174.163931796237,171.801633921553,176.526229670921,165.947143859541,182.380719732933,2.99863089396183,17.6271275311663
"2644","3,6-Dimethylphenanthrene",206.1095,142.8,0.0038,430.97504,179.175171768038,176.656565361183,181.693778174893,170.912089354038,187.438254182038,2.99863089396183,17.6271275311663
"2645","Perylene",253.1017,151.5,NA,467.10316,183.90990833063,181.227900191805,186.591916469455,175.59556407479,192.22425258647,2.99863089396183,17.6271275311663
"2646","Perylene",252.0939,149.6,NA,503.23128,188.403134438131,185.554365159549,191.251903716713,180.033508451834,196.772760424427,2.99863089396183,17.6271275311663
"2647","Benz(j)aceanthrylene",252.0939,150.9,0.0028,539.3594,192.683265041569,189.666809239768,195.69972084337,184.255088586836,201.111441496302,2.99863089396183,17.6271275311663
"2648","Benzo(b)fluoranthene",252.0939,150.2,0.0036,575.48752,196.773724972291,193.590231829973,199.957218114609,188.284332689266,205.263117255316,2.99863089396183,17.6271275311663
"2649","Benzanthrone",231.081,144,0.0025,611.61564,200.694079103796,197.345206031173,204.042952176418,192.141295720333,209.246862487258,2.99863089396183,17.6271275311663
"2650","Benzanthrone",230.0732,142.9,0.003,647.74376,204.460855706975,200.948894251189,207.97281716276,195.842907806528,213.078803607422,2.99863089396183,17.6271275311663
"2651","Phenanthrene",179.0861,132.6,NA,683.87188,208.088158584036,204.41578617576,211.760530992311,199.403604948243,216.772712219829,2.99863089396183,17.6271275311663
"2652","Phenanthrene",178.0782,131.2,NA,720,211.588130353028,207.758244798807,215.418015907249,202.835806312732,220.340454393323,2.99863089396183,17.6271275311663
