"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1","(+)-Octopamine",176.0676,147.8,0.0079,109.029,116.932141804994,110.708344259559,123.15593935043,100.448266841177,133.416016768812,6.14209467842223,11.2965731132306
"285","3-Methoxy-4-hydroxymandelate",197.0454,130.6,0.0068,112.79955,118.452033652825,112.631572817914,124.272494487736,102.116176091407,134.787891214243,6.14209467842223,11.2965731132306
"286","3-Methoxytyramine",168.1018,146.9,0.0026,116.5701,119.940735319153,114.506248388127,125.375222250179,103.738385917301,136.143084721004,6.14209467842223,11.2965731132306
"317","3,4-Dihydroxymandelate",183.0314,137.7,0.0042,120.34065,121.399865608401,116.332964577384,126.466766639418,105.317080899455,137.482650317347,6.14209467842223,11.2965731132306
"318","3,4-Dihydroxyphenylacetate",189.0187,140.4,0.0059,124.1112,122.830911652337,118.111801305274,127.5500219994,106.854288717438,138.807534587236,6.14209467842223,11.2965731132306
"319","3,4-Dihydroxyphenylglycol",151.0402,127.7,0.002,127.88175,124.235243263821,119.842273603561,128.62821292408,108.351897886598,140.118588641044,6.14209467842223,11.2965731132306
"356","4-Hydroxyphenylacetic Acid",151.0395,128.9,0.0053,131.6523,125.614125351801,121.523278845591,129.704971858011,109.811672913221,141.41657779038,6.14209467842223,11.2965731132306
"359","4-Methylcatechol",123.0443,121.5,0.0069,135.42285,126.968728707082,123.153059615196,130.784397798967,111.235267277537,142.702190136626,6.14209467842223,11.2965731132306
"425","6-Hydroxydopamine",170.0813,143.2,0.0029,139.1934,128.300139411783,124.729213163703,131.871065659864,112.624234582861,143.976044240705,6.14209467842223,11.2965731132306
"469","Acetaminophen",152.0712,131.4,0.0048,142.96395,129.609367080404,126.248794985952,132.969939174857,113.98003815245,145.238696008359,6.14209467842223,11.2965731132306
"470","Acetaminophen",150.0555,132.7,0.0047,146.7345,130.897352104365,127.708574558451,134.08612965028,115.304059309913,146.490644898818,6.14209467842223,11.2965731132306
"1234","Dopamine",152.0713,133.3,0.012,150.50505,132.16497204289,129.105486305909,135.224457779871,116.597604541897,147.732339543883,6.14209467842223,11.2965731132306
"1235","Dopamine",154.085,142.7,0.0056,154.2756,133.41304727955,130.437255027138,136.388839531963,117.861911711184,148.964182847917,6.14209467842223,11.2965731132306
"1254","Epinephrine",182.0831,140.3,0.0024,158.04615,134.642346044634,131.703063325947,137.58162876332,119.098155463051,150.186536626216,6.14209467842223,11.2965731132306
"1589","Homovanillate",181.05,136.3,0.004,161.8167,135.853588887778,132.904030300255,138.803147475301,120.307451946485,151.399725829071,6.14209467842223,11.2965731132306
"1590","Homovanillate",205.0467,145.9,0.0041,165.58725,137.047452672381,134.043287941288,140.051617403473,121.490862953945,152.604042390816,6.14209467842223,11.2965731132306
"1591","Homovanillic Acid",181.0501,140.3,0,169.3578,138.224574152578,135.125608938005,141.323539367151,122.649399568089,153.799748737068,6.14209467842223,11.2965731132306
"1593","Hydroquinone",109.029,118.7,0.0027,173.12835,139.385553184693,136.15674666121,142.614359708175,123.784025390843,154.987080978543,6.14209467842223,11.2965731132306
"1594","Hydroquinone",111.0446,113.9,0.0035,176.8989,140.530955617599,137.142739378373,143.919171856825,124.895659418935,156.166251816262,6.14209467842223,11.2965731132306
"2100","Noradrenaline",152.0717,137.1,0.0011,180.66945,141.66131590024,138.089369360625,145.233262439854,125.985178620347,157.337453180133,6.14209467842223,11.2965731132306
"2101","Noradrenaline",168.0671,134.4,0.0028,184.44,142.777139439266,139.001842502214,146.552436376318,127.053420257752,158.50085862078,6.14209467842223,11.2965731132306
"2102","Normetanephrine",206.0783,155.4,0.0053,188.21055,143.878904735331,139.884659658336,147.873149812326,128.101183997807,159.656625472855,6.14209467842223,11.2965731132306
"2747","Pyrocatechol",109.0304,115.1,0.0105,191.9811,144.967065322825,140.741615266702,149.192515378948,129.129233838907,160.804896806743,6.14209467842223,11.2965731132306
"2811","Salicylamide",136.0398,121.5,0.0069,195.75165,146.042051534615,141.575863159005,150.508239910225,130.138299884685,161.945803184544,6.14209467842223,11.2965731132306
"2812","Salicylamide",138.0546,124.5,0.0025,199.5222,147.104272110626,142.390008065778,151.818536155475,131.129079985937,163.079464235316,6.14209467842223,11.2965731132306
"3093","Tyrosol",137.0603,138.2,8e-04,203.29275,148.15411566677,143.186199230096,153.122032103444,132.102241269742,164.205990063798,6.14209467842223,11.2965731132306
"3226","Vanylglycol",207.0633,158,0.0022,207.0633,149.191952038677,143.966215018199,154.417689059154,133.05842157125,165.325482506103,6.14209467842223,11.2965731132306
