"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"472","Abscisic Acid",263.1283,173.8,3e-04,137.133,132.380472769428,127.478148874456,137.282796664401,114.736947166948,150.023998371908,6.67410684389775,46.3266723543638
"473","Abscisic Acid",265.144,159.5,0.0033,174.55983,141.927216260882,137.372687856926,146.481744664838,124.377146600148,159.477285921615,6.67410684389775,46.3266723543638
"474","Abscisic Acid",287.1259,175.1,0.0013,211.98666,151.30744242184,147.050395857337,155.564488986344,133.832212478675,168.782672365006,6.67410684389775,46.3266723543638
"592","alpha-Tocopherol",429.3726,208.9,0.0013,249.41349,160.553085470908,156.536763729009,164.569407212807,143.13493239865,177.971238543166,6.67410684389775,46.3266723543638
"593","alpha-Tocopherol",431.3883,213,0.0024,286.84032,169.686031250014,165.846682434277,173.52538006575,152.307831819605,187.064230680422,6.67410684389775,46.3266723543638
"795","Camphene",137.133,129.8,0.0044,324.26715,178.72219454877,174.989962591863,182.454426505678,161.367345903671,196.07704319387,6.67410684389775,46.3266723543638
"796","Camphene",159.115,132.2,0.0022,361.69398,187.673655915137,183.975047800961,191.372264029313,170.326007137957,205.021304692317,6.67410684389775,46.3266723543638
"797","Camphor",153.1279,141.9,0.0018,399.12081,196.549889456109,192.811440116621,200.288338795598,179.193702675077,213.906076237142,6.67410684389775,46.3266723543638
"882","Coenzyme Q10",885.6696,306.8,0.002,436.54764,205.358518238549,201.510709263556,209.206327213541,187.978447754739,222.738588722358,6.67410684389775,46.3266723543638
"1344","gamma,beta-Tocopherol",415.3569,207.9,0.001,473.97447,214.105804328033,210.086169417911,218.125439238154,196.686886998738,231.524721657328,6.67410684389775,46.3266723543638
"1345","gamma,beta-Tocopherol",417.3726,209.8,0.0028,511.4013,222.796980432207,218.551782451708,227.042178412705,205.324633079667,240.269327784746,6.67410684389775,46.3266723543638
"1349","Geranyl Diphosphate",313.0602,167.5,0.0043,548.82813,231.436482263905,226.92099283224,235.95197169557,213.896503332286,248.976461195524,6.67410684389775,46.3266723543638
"1350","Geranyl Diphosphate",335.0431,173.8,2e-04,586.25496,240.028116123331,235.205932672806,244.850299573857,222.406689695693,257.64954255097,6.67410684389775,46.3266723543638
"1847","Linalool",177.1255,139.7,0.0018,623.68179,248.57518276069,243.417078552053,253.733286969327,230.858883622853,266.291481898527,6.67410684389775,46.3266723543638
"1865","Loganin",413.1424,194.4,0.0019,661.10862,257.080570874087,251.56324079,262.597900958174,239.256369703462,274.904772044713,6.67410684389775,46.3266723543638
"2396","PG (16:0/16:0)-4-Me",833.6271,296.3,0.003,698.53545,265.546828989762,259.651730247708,271.441927731815,247.602097024845,283.491560954679,6.67410684389775,46.3266723543638
"2791","Retinoate",323.1973,182.1,0.0029,735.96228,273.976221616578,267.688588584066,280.263854649089,255.898734366806,292.05370886635,6.67410684389775,46.3266723543638
"2842","Secologanin",387.1291,190.9,0.003,773.38911,282.370773741916,275.678818487618,289.062728996213,264.148713451167,300.592834032664,6.67410684389775,46.3266723543638
"2843","Secologanin",411.1267,190.7,0.0022,810.81594,290.732306537732,283.62658633344,297.838026742025,272.354263232314,309.110349843151,6.67410684389775,46.3266723543638
"3047","Thujone",153.1279,140.9,0.0033,848.24277,299.062466339493,291.535389687442,306.589542991543,280.517437381845,317.60749529714,6.67410684389775,46.3266723543638
"3249","Vitamin K2",445.3106,197.4,0.005,885.6696,307.362748406752,299.408191298074,315.317305515429,288.640136545439,326.085360268065,6.67410684389775,46.3266723543638
