"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"2955","holo-Myoglobin",2927.1981,250.5,0.0164,493.7235,160.093482374368,148.459207035882,171.727757712854,106.641607823519,213.545356925217,22.153681224164,34.0369696093935
"2956","holo-Myoglobin",2509.1709,242.4,0.017,512.020301503759,165.800130331373,154.93133151638,176.668929146365,112.509631008991,219.090629653754,22.153681224164,34.0369696093935
"2957","holo-Myoglobin",2509.1709,266.1,0.0166,530.317103007519,171.060955515314,160.888059702687,181.233851327942,117.908022016188,224.21388901444,22.153681224164,34.0369696093935
"2958","holo-Myoglobin",2195.6506,242.1,0.0156,548.613904511278,175.924429071621,166.384703437767,185.464154705474,122.889036214424,228.959821928817,22.153681224164,34.0369696093935
"2959","apo-Myoglobin",1883.3372,228,0.0391,566.910706015038,180.432364399164,171.468939475651,189.395789322676,127.497597783003,233.367131015324,22.153681224164,34.0369696093935
"2960","holo-Myoglobin",1951.8014,231.6,0.0182,585.207507518797,184.621010373244,176.182067138389,193.0599536081,131.772526068876,237.469494677613,22.153681224164,34.0369696093935
"2961","apo-Myoglobin",1695.1043,240.2,0.025,603.504309022556,188.521937479867,180.560029628446,196.483845331287,135.747526000604,241.296348959129,22.153681224164,34.0369696093935
"2962","apo-Myoglobin",1695.1043,269.8,0.0192,621.801110526316,192.162761007781,184.634249652603,199.69127236296,139.451993478053,244.873528537509,22.153681224164,34.0369696093935
"2963","apo-Myoglobin",1695.1043,301.3,0.0089,640.097912030075,195.567735045153,188.432318018632,202.703152071675,142.911674553598,248.223795536709,22.153681224164,34.0369696093935
"2964","apo-Myoglobin",1541.0955,255.3,0.0107,658.394713533835,198.75824329791,191.978564904348,205.537921691472,146.149208242436,251.367278353384,22.153681224164,34.0369696093935
"2965","apo-Myoglobin",1541.0955,283.5,0.0068,676.691515037594,201.753206948045,195.294536725229,208.211877170861,149.184576079484,254.321837816607,22.153681224164,34.0369696093935
"2966","apo-Myoglobin",1541.0955,302.5,0.0067,694.988316541353,204.569425381988,198.399396353317,210.739454410659,152.03547646738,257.103374296595,22.153681224164,34.0369696093935
"2967","apo-Myoglobin",1541.0955,312.5,0.0097,713.285118045113,207.221862271171,201.310260457857,213.133464084484,154.717637999717,259.726086542625,22.153681224164,34.0369696093935
"2968","apo-Myoglobin",1412.7549,238.7,0.009,731.581919548872,209.723886912824,204.042484665061,215.405289160588,157.245082983535,262.202690842114,22.153681224164,34.0369696093935
"2969","apo-Myoglobin",1412.7549,290.2,0.0099,749.878721052632,212.087478745417,206.609904877059,217.565052613775,159.630350098957,264.544607391877,22.153681224164,34.0369696093935
"2970","apo-Myoglobin",1412.7549,300,0.0058,768.175522556391,214.323401398492,209.025041314055,219.621761482929,161.884683356073,266.762119440911,22.153681224164,34.0369696093935
"2971","apo-Myoglobin",1304.1589,254.2,0.0111,786.47232406015,216.441351416343,211.299270548537,221.58343228415,164.018193117753,268.864509714933,22.153681224164,34.0369696093935
"2972","apo-Myoglobin",1304.1589,269.9,0.0145,804.76912556391,218.450085831144,213.442969900376,223.457201761913,166.039993861256,270.860177801032,22.153681224164,34.0369696093935
"2973","apo-Myoglobin",1304.1589,278.4,0.011,823.065927067669,220.35753199544,215.46563797205,225.249426018829,167.958322483425,272.756741507455,22.153681224164,34.0369696093935
"2974","apo-Myoglobin",1304.1589,286.9,0.007,841.362728571429,222.170882472154,217.375994734474,226.965770209834,169.780640262703,274.561124681605,22.153681224164,34.0369696093935
"2975","apo-Myoglobin",1211.0767,245,0.0115,859.659530075188,223.896677288925,219.182064334808,228.611290243042,171.513721037344,276.279633540506,22.153681224164,34.0369696093935
"2976","apo-Myoglobin",1211.0767,265.1,0.0068,877.956331578947,225.540875466925,220.891243604287,230.190507329562,173.163727713291,277.918023220559,22.153681224164,34.0369696093935
"2977","apo-Myoglobin",1211.0767,273.9,0.0072,896.253133082707,227.108917412555,222.510359031707,231.707475793403,174.736278854525,279.481555970585,22.153681224164,34.0369696093935
"2978","apo-Myoglobin",1130.4055,238.8,0.0132,914.549934586466,228.605779498191,224.045714699636,233.165844296745,176.236506815491,280.975052180891,22.153681224164,34.0369696093935
"2979","apo-Myoglobin",1130.4055,255.7,0.0055,932.846736090225,230.036021943481,225.503133348071,234.56891053889,177.669108635875,282.402935251087,22.153681224164,34.0369696093935
"2980","apo-Myoglobin",1130.4055,262.5,0.0059,951.143537593985,231.403830932267,226.887992351166,235.919669513368,179.038390721776,283.769271142758,22.153681224164,34.0369696093935
"2981","apo-Myoglobin",1059.8181,225.7,0.0102,969.440339097744,232.713055754524,228.205255998139,237.220855510908,180.348308175722,285.077803333325,22.153681224164,34.0369696093935
"2982","apo-Myoglobin",1059.8181,235.7,0.0121,987.737140601504,233.967241642029,229.459505093685,238.474978190372,181.60249950443,286.331983779627,22.153681224164,34.0369696093935
