"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"130","Lumichrome",259.0855,160.6,0.0042,162.0433,132.895351193406,127.588640051498,138.202062335315,119.647432533792,146.143269853021,4.69854193946971,28.2303925824541
"424","5-Methyltetrahydrofolate",458.1781,197.8,0,180.874617647059,138.739539477642,134.058322982505,143.420755972779,125.729545106297,151.749533848988,4.69854193946971,28.2303925824541
"425","5-Methyltetrahydrofolic Acid",458.1798,199.8,0.0043,199.705935294118,144.224117191556,140.087285615059,148.360948768053,131.399939199949,157.048295183162,4.69854193946971,28.2303925824541
"737","Lumazine",163.0259,126.6,0.0113,218.537252941176,149.402254964178,145.724566926402,153.079943001955,136.718739876817,162.085770051539,4.69854193946971,28.2303925824541
"738","Lumichrome",241.0751,155.6,0.0066,237.368570588235,154.315438081687,151.003507727188,157.627368436186,141.733107282461,166.897768880913,4.69854193946971,28.2303925824541
"906","Pterin",162.0433,128.7,0.0088,256.199888235294,158.996745308451,155.946970092163,162.046520524738,146.480863616058,171.512627000844,4.69854193946971,28.2303925824541
"922","Riboflavin",375.1309,187.3,0.0072,275.031205882353,163.473036859741,160.573479950638,166.372593768843,150.992908818041,175.953164901441,4.69854193946971,28.2303925824541
"1314","5-Methyltetrahydrofolate",460.1938,194.7,0.003,293.862523529412,167.766463671888,164.903922770423,170.629004573353,155.294883736665,180.238043607111,4.69854193946971,28.2303925824541
"1315","5-Methyltetrahydrofolic Acid",460.1939,197.3,0.0013,312.693841176471,171.895538135878,168.965734644923,174.825341626833,159.40834813317,184.382728138585,4.69854193946971,28.2303925824541
"1710","Lumazine",165.041,134.6,0.0193,331.525158823529,175.875912227376,172.791867582808,178.959956871944,163.351635919429,188.400188535323,4.69854193946971,28.2303925824541
"1711","Lumichrome",243.0874,153.4,0.0041,350.356476470588,179.720954930536,176.416119392739,183.025790468334,167.140489772205,192.301420088868,4.69854193946971,28.2303925824541
"1900","Pterin",164.0565,128.8,0.0027,369.187794117647,183.442188637858,179.868867374948,187.015509900767,170.788541317181,196.095835958534,4.69854193946971,28.2303925824541
"1917","Riboflavin",377.1433,189.7,0.0076,388.019111764706,187.049624343956,183.175226702524,190.924021985388,174.307680899095,199.791567788817,4.69854193946971,28.2303925824541
"2317","5-Methyltetrahydrofolate",482.1757,197.7,0.0029,406.850429411765,190.552022835669,186.355137506592,194.748908164745,177.708346876913,203.395698794425,4.69854193946971,28.2303925824541
"2646","Lumazine",187.0237,145,0.0098,425.681747058824,193.957100857749,189.424260661528,198.48994105397,180.99975522245,206.914446493047,4.69854193946971,28.2303925824541
"2647","Lumichrome",265.0694,168.1,0.0045,444.513064705882,197.271695747624,192.394975805392,202.148415689856,184.190084109027,210.35330738622,4.69854193946971,28.2303925824541
"2830","Pterin",186.0384,143.5,0.0028,463.344382352941,200.501898296333,195.27721574024,205.726580852426,187.286624047191,213.717172545476,4.69854193946971,28.2303925824541
"2842","Riboflavin",399.128,198.1,0.0012,482.1757,203.653160999842,198.07909411361,209.227227886074,190.29590127637,217.010420723314,4.69854193946971,28.2303925824541
