"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3107","Deoxyadenosine",250.0944,155.4,0.0012,250.0944,157.155555269219,155.039111728515,159.271998809922,146.790104716121,167.521005822316,4.12144270303753,7.54246615497377
"3108","Deoxyadenosine",252.1096,152.3,0,256.491806666667,158.531802700414,156.500113516283,160.563491884545,148.183324896957,168.88028050387,4.12144270303753,7.54246615497377
"3109","Deoxyadenosine",252.1096,158.2,0.0016,262.889213333333,159.885752713208,157.9251946093,161.846310817115,149.551004531151,170.220500895264,4.12144270303753,7.54246615497377
"3110","Deoxyadenosine",274.0912,161.9,0.003,269.28662,161.218296275893,159.314548818645,163.122043733142,150.894174701217,171.54241785057,4.12144270303753,7.54246615497377
"3111","Deoxyguanosine",266.0887,159.2,0.0015,275.684026666667,162.530268584173,160.668492160946,164.3920450074,152.213803910759,172.846733257587,4.12144270303753,7.54246615497377
"3112","Deoxyguanosine",306.0588,171.6,0.0017,282.081433333333,163.822453757021,161.987541170273,165.657366343769,153.510803253405,174.134104260637,4.12144270303753,7.54246615497377
"3113","Deoxyguanosine",290.0861,171.8,0.0017,288.47884,165.095589040306,163.272472401136,166.918705679476,154.786031038736,175.405147041876,4.12144270303753,7.54246615497377
"3114","Guanosine",322.0539,174.3,0.0015,294.876246666667,166.350368579473,164.524349622225,168.176387536721,156.040296943449,176.660440215497,4.12144270303753,7.54246615497377
"3115","Guanosine",284.0977,163.5,0.0042,301.273653333333,167.587446813803,165.744511871956,169.430381755651,157.274365746169,177.900527881438,4.12144270303753,7.54246615497377
"3116","Guanosine",306.0813,175.3,0.0055,307.67106,168.807441537397,166.934525371352,170.680357703442,158.488960696074,179.12592237872,4.12144270303753,7.54246615497377
"3117","1-Methyladenosine",280.105,162.9,0.0018,314.068466666667,170.010936665809,168.096111040301,171.925762291318,159.684766558561,180.337106773057,4.12144270303753,7.54246615497377
"3118","1-Methyladenosine",282.1176,160,0.001,320.465873333333,171.19848474203,169.231063429781,173.16590605428,160.862432375309,181.534537108752,4.12144270303753,7.54246615497377
"3119","1-Methyladenosine",282.1176,164.9,0.0013,326.86328,172.370609211058,170.341175442946,174.40004297917,162.022573971126,182.71864445099,4.12144270303753,7.54246615497377
"3120","1-Methyladenosine",304.099,171.1,0.0045,333.260686666667,173.527806488512,171.428178175773,175.627434801252,163.16577623574,183.889836741285,4.12144270303753,7.54246615497377
"3121","1-Methylguanosine",296.0995,166.4,9e-04,339.658093333333,174.670547845516,172.493699412553,176.847396278479,164.292595205047,185.048500485985,4.12144270303753,7.54246615497377
"3122","1-Methylguanosine",298.1151,167.7,0.0044,346.0555,175.799281129301,173.539239834615,178.059322423988,165.403559963292,186.19500229531,4.12144270303753,7.54246615497377
"3123","1-Methylguanosine",320.0971,179.7,0.0044,352.452906666667,176.914432336611,174.566163550424,179.262701122798,166.499174384938,187.329690288285,4.12144270303753,7.54246615497377
"3124","Guanosine Diphosphate",442.0166,182.5,0.0011,358.850313333333,178.016407054923,175.57569883979,180.457115270055,167.579918732736,188.452895377109,4.12144270303753,7.54246615497377
"3125","Adenosine",266.0897,157.7,0.0011,365.24772,179.105591784739,176.568945357472,181.642238212006,168.646251126519,189.564932442958,4.12144270303753,7.54246615497377
"3126","Adenosine",268.1041,161.6,0.0023,371.645126666667,180.182355154671,177.546884851547,182.817825457795,169.698608895515,190.666101413827,4.12144270303753,7.54246615497377
"3127","Adenosine",290.0875,165.6,0.001,378.042533333333,181.247049039684,178.510393324377,183.983704754992,170.737409825522,191.756688253846,4.12144270303753,7.54246615497377
"3128","Adenosine",268.1046,155.5,0.0025,384.43994,182.300009591731,179.460253307341,185.13976587612,171.76305331098,192.836965872481,4.12144270303753,7.54246615497377
"3129","Inosine",269.0886,158.2,0.0031,390.837346666667,183.341558190963,180.397165477584,186.285950904342,172.775921420833,193.907194961093,4.12144270303753,7.54246615497377
"3130","Inosine",307.043,170.3,6e-04,397.234753333333,184.372002324853,181.321759226993,187.422245422713,173.77637988614,194.967624763566,4.12144270303753,7.54246615497377
"3131","Inosine",267.076,159.6,0.0093,403.63216,185.391636401736,182.234602037181,188.548670766291,174.764779016473,196.018493786998,4.12144270303753,7.54246615497377
"3132","Inosine",291.071,172.1,0.0119,410.029566666667,186.400742504638,183.136207658544,189.665277350732,175.741454551445,197.060030457831,4.12144270303753,7.54246615497377
"3133","Xanthosine",305.0496,162.4,0.0048,416.426973333333,187.399591090626,184.02704316959,190.772139011662,176.706728452988,198.092453728265,4.12144270303753,7.54246615497377
"3134","Xanthosine",285.0805,162.1,0.0014,422.82438,188.388441640388,184.907535029029,191.869348251747,177.660909643478,199.115973637298,4.12144270303753,7.54246615497377
"3135","Xanthosine",323.0359,172.9,0.0011,429.221786666667,189.367543262283,185.778074244483,192.957012280083,178.604294694241,200.130791830325,4.12144270303753,7.54246615497377
"3136","Xanthosine",307.0624,173.4,0.001,435.619193333333,190.337135254683,186.639020779143,194.035249730223,179.537168468534,201.137102040832,4.12144270303753,7.54246615497377
"3137","Xanthosine",283.0684,159.5,0.008,442.0166,191.297447630051,187.490707308038,195.104187952064,180.459804722713,202.135090537388,4.12144270303753,7.54246615497377
