"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"157","2-Deoxyadenosine-5-monophosphate",332.076,168.6,0.0038,328.0452,166.112927995233,163.39207195422,168.833784036245,146.82297869486,185.402877295605,8.05964116430127,20.3099466415909
"158","2-Deoxyadenosine-5-monophosphate",354.0579,173.9,0.0095,333.236883146067,167.181167612779,164.515612751555,169.846722474004,147.898940844763,186.463394380796,8.05964116430127,20.3099466415909
"159","2-Deoxyadenosine-5-monophosphate",330.0603,164.9,0.001,338.428566292135,168.239603441478,165.627379379857,170.851827503098,148.964676698086,187.51453018487,8.05964116430127,20.3099466415909
"160","2-Deoxyadenosine-5-monophosphate",352.0448,170,0.0028,343.620249438202,169.288473810912,166.727572389724,171.849375232099,150.020435444122,188.556512177701,8.05964116430127,20.3099466415909
"248","2'-Deoxyguanosine 5'-monophosphate",346.0559,169.4,0.0074,348.81193258427,170.328007758694,167.816381182513,172.839634334874,151.06645656277,189.589558954618,8.05964116430127,20.3099466415909
"249","2'-Deoxyguanosine 5'-monophosphate",348.0709,177.3,0.0042,354.003615730337,171.358425525093,168.893984833621,173.822866216565,152.102970341255,190.613880708931,8.05964116430127,20.3099466415909
"250","2'-Deoxyguanosine 5'-monophosphate",370.0493,171.5,0.0075,359.195298876405,172.379939014491,169.960552936128,174.799325092854,153.130198356207,191.629679672775,8.05964116430127,20.3099466415909
"251","2'-Deoxyguanosine 5'-monophosphate",368.0383,170.4,0.0012,364.386982022472,173.392752226337,171.016246470175,175.7692579825,154.148353923868,192.637150528807,8.05964116430127,20.3099466415909
"252","2'-Deoxyguanosine-5'-diphosphate",426.0233,180.8,7e-04,369.578665168539,174.397061658028,172.061218701741,176.732904614314,155.157642520968,193.636480795087,8.05964116430127,20.3099466415909
"253","2'-Deoxyguanosine-5'-diphosphate",428.0351,188.5,7e-04,374.770348314607,175.393056681897,173.095616112391,177.690497251403,156.158262178564,194.62785118523,8.05964116430127,20.3099466415909
"254","2'-Deoxyguanosine-5'-diphosphate",448.0036,177.4,0.0013,379.962031460674,176.38091989833,174.11957935908,178.642260437581,157.150403850925,195.611435945735,8.05964116430127,20.3099466415909
"255","2'-Deoxyguanosine-5'-diphosphate",448.0036,185.7,0.0014,385.153714606742,177.360827466801,175.133244260299,179.588410673302,158.134251761363,196.587403172238,8.05964116430127,20.3099466415909
"256","2'-Deoxyguanosine-5'-diphosphate",450.0164,185.1,9e-04,390.345397752809,178.332949416502,176.136742801751,180.529156031253,159.109983726742,197.555915106263,8.05964116430127,20.3099466415909
"257","2'-Deoxyguanosine-5'-diphosphate",505.9881,191.9,0.0047,395.537080898876,179.29744993808,177.130204151512,181.464695724649,160.077771462247,198.517128413914,8.05964116430127,20.3099466415909
"258","2'-Deoxyguanosine-5'-diphosphate",527.9702,182.8,0.001,400.728764044944,180.254487657846,178.11375567144,182.395219644252,161.037780867851,199.471194447841,8.05964116430127,20.3099466415909
"515","Adenosine Diphosphate Ribose",576.0745,204.2,0.0035,405.920447191011,181.20421589574,179.087523908654,183.320907882827,161.990172297809,200.418259493672,8.05964116430127,20.3099466415909
"516","Adenosine Diphosphate Ribose",558.0655,202.1,0.0018,411.112130337079,182.146782908201,180.051635548428,184.241930267974,162.935100814376,201.358465002026,8.05964116430127,20.3099466415909
"517","Adenosine Diphosphate Ribose",558.0655,206.8,0.004,416.303813483146,183.082332117,181.006218308181,185.158445925818,163.872716426877,202.291947807122,8.05964116430127,20.3099466415909
"518","Adenosine Diphosphate Ribose",560.0791,212.5,6e-04,421.495496629214,184.011002325021,181.951401751506,186.070602898536,164.803164317128,203.218840332914,8.05964116430127,20.3099466415909
"519","Adenosine Diphosphate Ribose",580.0461,187.8,9e-04,426.687179775281,184.93292791988,182.887318001668,186.978537838092,165.726585052158,204.139270787603,8.05964116430127,20.3099466415909
"520","Adenosine Diphosphate Ribose",582.0605,217.6,0.0016,431.878862921348,185.848239066206,183.814102335753,187.882375796658,166.643114785087,205.053363347324,8.05964116430127,20.3099466415909
"521","Adenosine-2',3'-Cyclic Phosphate",346.0556,173.6,7e-04,437.070546067416,186.757061887343,184.731893643679,188.782230131007,167.55288544496,205.961238329726,8.05964116430127,20.3099466415909
"522","Adenosine-2',3'-Cyclic Phosphate",328.0456,169.4,3e-04,442.262229213483,187.659518637182,185.640834740497,189.678202533866,168.456024916253,206.863012358111,8.05964116430127,20.3099466415909
"523","Adenosine-2',3'-Cyclic Phosphate",330.06,168,8e-04,447.453912359551,188.555727862756,186.541072525532,190.570383199979,169.352657208748,207.758798516764,8.05964116430127,20.3099466415909
"524","Adenosine-2',3'-Cyclic Phosphate",352.0406,174.9,0.003,452.645595505618,189.445804558202,187.432757987604,191.458851128799,170.24290261838,208.648706498024,8.05964116430127,20.3099466415909
"525","Adenosine-2',3'-Cyclic Phosphate",352.0406,181.3,0.0033,457.837278651685,190.329860310645,188.31604606149,192.3436745598,171.12687787965,209.532842741641,8.05964116430127,20.3099466415909
