"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"291","1-Hydroxypyrene",217.0653,148,8e-04,202.0782,140.930498575009,138.040476270794,143.820520879224,129.832554513838,152.028442636179,4.08270779671063,20.2710209823449
"314","12-Hydroxybenzo(a)pyrene",267.081,162.5,6e-04,244.60632,150.30137463946,147.579136954845,153.023612324075,139.245936544226,161.356812734694,4.08270779671063,20.2710209823449
"440","7-hydroxybenzo(a)pyrene",267.081,162.6,0,287.13444,158.645513914734,155.966291552049,161.324736277419,147.6005890198,169.690438809668,4.08270779671063,20.2710209823449
"1396","Benzo(a)pyrene",253.1017,150.3,0.0031,329.66256,166.205623278406,163.474183744933,168.937062811878,155.147915767758,177.263330789053,4.08270779671063,20.2710209823449
"1397","Benzo(g,h,i)perylene",277.1017,155.5,0.0024,372.19068,173.143832789162,170.292072615508,175.995592962816,162.055791052496,184.231874525828,4.08270779671063,20.2710209823449
"1437","Coronene",301.1017,162.6,0.0029,414.7188,179.574457426397,176.556562427529,182.592352425264,168.442529305437,190.706385547356,4.08270779671063,20.2710209823449
"1499","Dibenzo(a,h)pyrene",303.1174,164.6,0.0018,457.24692,185.581479223563,182.368229337336,188.79472910979,174.395009347085,196.767949100041,4.08270779671063,20.2710209823449
"1636","Indeno(1,2,3-cd)pyrene",277.1017,157.8,0.0052,499.77504,191.228624384235,187.802372434322,194.654876334149,179.979120577831,202.47812819064,4.08270779671063,20.2710209823449
"1902","Pyrene",203.0861,137,0.0087,542.30316,196.565530061411,192.916404861138,200.214655261683,185.246155158472,207.884904964349,4.08270779671063,20.2710209823449
"1903","Pyrene-4,5-dione",233.0603,142.6,0.003,584.83128,201.631703110827,197.754958566202,205.508447655452,190.236911242158,213.026494979497,4.08270779671063,20.2710209823449
"2983","Benzo(a)pyrene",252.0939,149.5,0.0021,627.3594,206.459162982774,202.353397161878,210.56492880367,194.984432204143,217.933893761404,4.08270779671063,20.2710209823449
"2985","Benzo(g,h,i)perylene",276.0939,154,0.0031,669.88752,211.074264831673,206.740242041894,215.408287621452,199.515896131534,222.632633531811,4.08270779671063,20.2710209823449
"2990","Coronene",300.0939,160.4,0.007,712.41564,215.498992522156,210.938866906746,220.059118137567,203.853955850066,227.144029194247,4.08270779671063,20.2710209823449
"3025","Fullerene C70",840,226.1,0.0117,754.94376,219.751897804421,214.968700308106,224.535095300735,208.017712201885,231.486083406957,4.08270779671063,20.2710209823449
"3026","Indeno(1,2,3-cd)pyrene",276.0939,156.3,0.0019,797.47188,223.848796768806,218.846094502783,228.851499034829,212.0234357414,235.674157796212,4.08270779671063,20.2710209823449
"3056","Pyrene",202.0782,136.1,0.0054,840,227.803295782519,222.584964760957,233.021626804082,215.885111687758,239.72147987728,4.08270779671063,20.2710209823449
