"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3245","3,5,6-Trichloro-2-pyridinol",197.9276,130.5,0.000302,96.0438,114.487246915748,110.031073583656,118.94342024784,101.51258087217,127.461912959326,4.99167301458631,12.5192306041799
"3246","2,6-Dihydroxypyridine",110.0244,114.2,0.0079,101.0144,116.173641951261,111.975741362992,120.37154253953,103.28539740339,129.061886499132,4.99167301458631,12.5192306041799
"3247","2,6-Dihydroxypyridine",112.0392,119.7,0.0038,105.985,117.802089138034,113.849052703932,121.755125572135,104.991508541274,130.612669734793,4.99167301458631,12.5192306041799
"3248","2-Hydroxypyridine",96.0438,115.5,0.0058,110.9556,119.377163129543,115.655889609496,123.098436649591,106.636191628604,132.118134630482,4.99167301458631,12.5192306041799
"3249","3,4-Dihydroxypyridine",112.0399,125.9,0.0064,115.9262,120.902891405558,117.400414846975,124.405367964141,108.224097290179,133.581685520936,4.99167301458631,12.5192306041799
"3250","Pyridoxal-5'-phosphate",246.0173,150.1,0.0053,120.8968,122.382840097426,119.086161950646,125.679518244207,109.759347514936,135.006332679917,4.99167301458631,12.5192306041799
"3251","Pyridoxal-5'-phosphate",248.0319,151.7,0.0021,125.8674,123.820183413478,120.716106599881,126.924260227074,111.245614989812,136.394751837143,4.99167301458631,12.5192306041799
"3252","Pyridoxal-5'-phosphate",270.0138,161.4,0.0011,130.838,125.217760316077,122.292725275645,128.142795356509,112.686187862291,137.749332769863,4.99167301458631,12.5192306041799
"3253","Pyridoxal",166.0504,129.2,0.0033,135.8086,126.578121182204,123.818046942975,129.338195421432,114.084023056177,139.072219308231,4.99167301458631,12.5192306041799
"3254","Pyridoxal",168.0654,131.3,8e-04,140.7792,127.903566516254,125.293703848832,130.513429183675,115.441790506409,140.365342526098,4.99167301458631,12.5192306041799
"3255","Pyridoxal",190.0465,142.7,0.0018,145.7498,129.196179299157,126.720988046451,131.671370551864,116.761910124243,141.630448474071,4.99167301458631,12.5192306041799
"3256","Pyridoxal-5'-phosphate",267.9997,153.2,8e-04,150.7204,130.45785219937,128.100920381472,132.814784017267,118.046582893978,142.869121504761,4.99167301458631,12.5192306041799
