"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3281","Thymidine",241.0851,154.2,8e-04,226.0847,148.519371478721,145.325553607658,151.713189349785,140.961209372813,156.07753358463,2.6101058920206,5.30821690086857
"3282","Thymidine",265.0796,161.2,0.005,229.685113333333,149.704210241599,146.831848642646,152.576571840552,142.276168576341,157.132251906857,2.6101058920206,5.30821690086857
"3283","Deoxycytidine",226.0847,149.1,0.0062,233.285526666667,150.879852317002,148.307687137867,153.452017496136,143.562655071169,158.197049562834,2.6101058920206,5.30821690086857
"3284","Deoxycytidine",266.0527,158.5,3e-04,236.88594,152.046509399242,149.746519638738,154.346499159746,144.820494264737,159.272524533747,2.6101058920206,5.30821690086857
"3285","Deoxycytidine",250.0771,156.1,0.0077,240.486353333333,153.204385177644,151.13913588589,155.269634469398,146.049624771959,160.359145583329,2.6101058920206,5.30821690086857
"3286","Deoxyuridine",227.0671,150,0.0075,244.086766666667,154.353675754151,152.473453995304,156.233897512997,147.25011497887,161.457236529431,2.6101058920206,5.30821690086857
"3287","Deoxyuridine",251.0625,157.3,0.0074,247.68718,155.494570033331,153.735754740624,157.253385326038,148.422174890274,162.566965176387,2.6101058920206,5.30821690086857
"3288","5-Methylcytidine",256.0933,159.9,0.0027,251.287593333333,156.627250086976,154.914468520194,158.340031653758,149.566162173547,163.688338000405,2.6101058920206,5.30821690086857
"3289","5-Methylcytidine",258.109,156.5,0.0051,254.888006666667,157.751891495286,156.005524455526,159.498258535047,150.682581793255,164.821201197317,2.6101058920206,5.30821690086857
"3290","5-Methylcytidine",280.0909,167.9,0.0084,258.48842,158.868663666456,157.014973025087,160.722354307824,151.772079219021,165.96524811389,2.6101058920206,5.30821690086857
"3291","Uridine",245.0774,161.1,0.0057,262.088833333333,159.977730136305,157.956062255566,161.999398017044,152.835427787225,167.120032485386,2.6101058920206,5.30821690086857
"3292","Uridine",243.0631,152,0.0105,265.689246666667,161.079248849466,158.843782074937,163.314715623995,153.873511307361,168.28498639157,2.6101058920206,5.30821690086857
"3293","Uridine",267.0581,162.5,0.0145,269.28966,162.173372423481,159.691143438064,164.655601408899,154.887303348753,169.45944149821,2.6101058920206,5.30821690086857
"3294","Cytidine",242.0804,150,0.0035,272.890073333333,163.260248397083,160.508059944723,166.012436849442,155.877844784236,170.642652009929,2.6101058920206,5.30821690086857
"3295","Cytidine",244.0927,151.6,0.0087,276.490486666667,164.340019463777,161.301652805534,167.378386122021,156.846221109432,171.833817818123,2.6101058920206,5.30821690086857
"3296","Cytidine",266.0743,159.5,0.0024,280.0909,165.412823691801,162.076938599081,168.748708784521,157.793540839885,173.032106543717,2.6101058920206,5.30821690086857
