"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"256","2'-Deoxycytidine-5-monophosphate",306.0509,163.7,0.0082,304.0344,163.382691011195,160.90111672779,165.8642652946,150.204325356138,176.561056666252,5.44309747384887,22.0038623403878
"257","2'-Deoxycytidine-5-monophosphate",308.0648,164.5,0.004,308.594374666667,163.805109878475,161.349745010635,166.260474746314,150.631654483304,176.978565273646,5.44309747384887,22.0038623403878
"258","2'-Deoxycytidine-5-monophosphate",330.0446,164.3,0.0042,313.154349333333,164.242254308473,161.813843712833,166.670664904113,151.073796219715,177.41071239723,5.44309747384887,22.0038623403878
"259","2'-Deoxycytidine-5-monophosphate",330.0467,160.4,0.0304,317.714324,164.694433509104,162.293717484524,167.095149533683,151.531054465522,177.857812552686,5.44309747384887,22.0038623403878
"864","Citicoline",487.1,205.9,6e-04,322.274298666667,165.161946266112,162.789657282731,167.534235249492,152.003722015286,178.320170516937,5.44309747384887,22.0038623403878
"865","Citicoline",489.1105,198.5,0.0022,326.834273333333,165.64507929437,163.301938349654,167.988220239087,152.492078879973,178.798079708768,5.44309747384887,22.0038623403878
"866","Citicoline",509.0831,210.4,0.0022,331.394248,166.144105515394,163.830818085659,168.457392945129,152.996390537235,179.291820493553,5.44309747384887,22.0038623403878
"867","Citicoline",511.0926,208.1,0.0027,335.954222666667,166.659282265949,164.376533819845,168.942030712053,153.5169061154,179.801658416498,5.44309747384887,22.0038623403878
"965","Cytidine Diphosphate",402.0119,174.2,0.0014,340.514197333333,167.190849443783,164.939300482241,169.442398405324,154.053856517677,180.327842369889,5.44309747384887,22.0038623403878
"966","Cytidine Diphosphate",404.0233,175.6,0.0011,345.074172,167.739027597726,165.519308183073,169.958747012379,154.607452494406,180.870602701046,5.44309747384887,22.0038623403878
"967","Cytidine Diphosphate",423.9928,176.3,0.0016,349.634146666667,168.304015970668,166.116719706039,170.491312235297,155.177882672411,181.430149268924,5.44309747384887,22.0038623403878
"968","Cytidine Diphosphate",426.0052,179.9,5e-04,354.194121333333,168.885990505229,166.731667924289,171.040313086169,155.765311551871,182.006669458587,5.44309747384887,22.0038623403878
"969","Cytidine Diphosphate Ethanolamine",445.0534,188.1,0.0015,358.754096,169.485101823296,167.364253149816,171.605950496777,156.369877482472,182.60032616412,5.44309747384887,22.0038623403878
"970","Cytidine Diphosphate Ethanolamine",467.0351,185.9,0.0015,363.314070666667,170.101473191917,168.014540429272,172.188405954562,156.99169063193,183.211255751904,5.44309747384887,22.0038623403878
"971","Cytidine-2',3'-Cyclic Phosphate",304.0344,164.6,0.0028,367.874045333333,170.735198489409,168.68255680203,172.787840176789,157.630830961325,183.839566017494,5.44309747384887,22.0038623403878
"972","Cytidine-2',3'-Cyclic Phosphate",306.0479,163.2,0.0018,372.43402,171.386340186839,169.368288539526,173.404391834151,158.287346222967,184.485334150711,5.44309747384887,22.0038623403878
"973","Cytidine-2',3'-Cyclic Phosphate",322.0444,167.2,0.001,376.993994666667,172.054927361262,170.071678388907,174.038176333617,158.961249997714,185.14860472481,5.44309747384887,22.0038623403878
"974","Cytidine-2',3'-Cyclic Phosphate",326.0157,165.1,5e-04,381.553969333333,172.740953758315,170.792622848721,174.689284667909,159.652519789821,185.829387726808,5.44309747384887,22.0038623403878
"975","Cytidine-2',3'-Cyclic Phosphate",328.0301,167.5,8e-04,386.113944,173.444375922761,171.530969510193,175.357782335328,160.36109519834,186.527656647181,5.44309747384887,22.0038623403878
"976","Cytidine-2',3'-Cyclic Phosphate",344.0029,168,0.0016,390.673918666667,174.165111416538,172.286514504551,176.043708328525,161.086876184976,187.2433466481,5.44309747384887,22.0038623403878
"980","Cytidine-5'-diphosphocholine",487.0995,207.7,0.0022,395.233893333333,174.903037144573,173.059000105229,176.747074183917,161.829721458917,187.976352830229,5.44309747384887,22.0038623403878
"981","Cytidine-5'-diphosphocholine",489.1152,197.6,0.0034,399.793868,175.657987809168,173.848112543628,177.467863074708,162.589446999607,188.726528618729,5.44309747384887,22.0038623403878
"982","Cytidine-5'-diphosphocholine",511.0971,207.7,0.0041,404.353842666667,176.429754514056,174.653480108452,178.206028919659,163.365824738588,189.493684289523,5.44309747384887,22.0038623403878
"983","Cytidine-5'-monophosphate",322.0439,165.1,0.007,408.913817333333,177.218083539265,175.474671611338,178.961495467192,164.158581421467,190.277585657063,5.44309747384887,22.0038623403878
"984","Cytidine-5'-monophosphate",324.0578,167.1,0.0027,413.473792,178.022675307671,176.311195314879,179.734155300462,164.967397670636,191.077952944706,5.44309747384887,22.0038623403878
"985","Cytidine-5'-monophosphate",344.0266,163.3,0.0014,418.033766666667,178.843183563545,177.162498432278,180.523868694812,165.791907268684,191.894459858406,5.44309747384887,22.0038623403878
"986","Cytidine-5'-monophosphate",346.0393,168.7,0.0069,422.593741333333,179.679214782516,178.027967318891,181.330462246142,166.631696681342,192.72673288369,5.44309747384887,22.0038623403878
"1205","Deoxythymidine-diphosphate-D-Glucose",563.0677,209.5,0.0011,427.153716,180.530327831114,178.906928482396,182.153727179832,167.48630483743,193.574350824798,5.44309747384887,22.0038623403878
"1206","Deoxythymidine-diphosphate-D-Glucose",585.0511,218.5,0.0028,431.713690666667,181.39603389247,179.798650536708,182.993417248232,168.35522318149,194.43684460345,5.44309747384887,22.0038623403878
"1207","Deoxythymidine-diphosphate-D-Glucose",587.0586,209.5,0.0042,436.273665333333,182.275796672808,180.702347211018,183.849246134598,169.237896012688,195.313697332927,5.44309747384887,22.0038623403878
"1210","Deoxyuridine Monophosphate",307.033,159.2,9e-04,440.83364,183.169032901064,181.617181495137,184.720884306991,170.133721121117,196.204344681011,5.44309747384887,22.0038623403878
"1211","Deoxyuridine Monophosphate",329.0154,162.1,0.0018,445.393614666667,184.075113131365,182.542270952001,185.607955310729,171.042050729873,197.108175532857,5.44309747384887,22.0038623403878
"1212","Deoxyuridine Monophosphate",329.0154,171.9,0.0012,449.953589333333,184.993362855176,183.47669415639,186.510031553962,171.962192748228,198.024532962124,5.44309747384887,22.0038623403878
"1213","Deoxyuridine Monophosphate",331.0292,168.1,8e-04,454.513564,185.923063926734,184.419498127761,187.426629725707,172.893412337909,198.95271551556,5.44309747384887,22.0038623403878
"1214","Deoxyuridine Triphosphate",466.9659,178.5,0.0012,459.073538666667,186.863456301989,185.36970652221,188.357206081768,173.834933791016,199.891978812962,5.44309747384887,22.0038623403878
"1215","Deoxyuridine Triphosphate",488.947,188.9,9e-04,463.633513333333,187.813740087649,186.326328247036,189.301151928263,174.78594271442,200.841537460879,5.44309747384887,22.0038623403878
"1216","Deoxyuridine Triphosphate",490.9617,185.1,0.0024,468.193488,188.773077893264,187.288366079306,190.257789707222,175.745588511774,201.800567274755,5.44309747384887,22.0038623403878
"3050","Thymidine-5'-monophosphate",321.0488,163.8,0.0076,472.753462666667,189.740597475452,188.254824826297,191.226370124607,176.71298715048,202.768207800424,5.44309747384887,22.0038623403878
"3051","Thymidine-5'-monophosphate",323.0644,162.8,0.0026,477.313437333333,190.715394659665,189.224718576822,192.206070742508,177.687224197229,203.743565122101,5.44309747384887,22.0038623403878
"3052","Thymidine-5'-monophosphate",343.0309,167.7,0.0018,481.873412,191.696536521183,190.197076664783,193.195996377583,178.667358102138,204.725714940227,5.44309747384887,22.0038623403878
"3053","Thymidine-5'-monophosphate",343.0318,176.2,7e-04,486.433386666667,192.683064803495,191.170948093997,194.195181512992,179.652423708081,205.713705898908,5.44309747384887,22.0038623403878
"3054","Thymidine-5'-monophosphate",345.0467,173.5,9e-04,490.993361333333,193.673999548938,192.145404337313,195.202594760563,180.641435958633,206.706563139243,5.44309747384887,22.0038623403878
"3182","Uridine Diphosphate Glucose",565.0496,207.3,0.0015,495.553336,194.668342913445,193.119540595213,196.217145231678,181.633393775251,207.703292051639,5.44309747384887,22.0038623403878
"3183","Uridine Diphosphate Glucose",587.0294,215.7,8e-04,500.113310666667,195.66508313459,194.092475749791,197.237690519388,182.627284071824,208.702882197356,5.44309747384887,22.0038623403878
"3184","Uridine Diphosphate Glucose",589.0422,210.5,9e-04,504.673285333333,196.663198619894,195.063351355414,198.263045884373,183.622085872739,209.704311367048,5.44309747384887,22.0038623403878
"3185","Uridine Diphosphate Glucose",605.0069,216.4,8e-04,509.23326,197.661662120577,196.031330055378,199.291994185776,184.616774499092,210.706549742061,5.44309747384887,22.0038623403878
"3186","Uridine Diphosphate Glucuronic Acid",579.0291,211.9,0.0012,513.793234666667,198.659444954658,196.995593805461,200.323296103855,185.610325786644,211.708564122672,5.44309747384887,22.0038623403878
"3187","Uridine Diphosphate Glucuronic Acid",601.0086,204.3,0.0022,518.353209333333,199.655521242585,197.955342231786,201.355700253385,186.60172029868,212.709322186491,5.44309747384887,22.0038623403878
"3188","Uridine Diphosphate Glucuronic Acid",603.0207,210.9,7e-04,522.913184,200.648872118377,198.909791369199,202.387952867555,187.589947497012,213.707796739743,5.44309747384887,22.0038623403878
"3189","Uridine Diphosphate Glucuronic Acid",618.9852,218.4,0.0016,527.473158666667,201.638489879631,199.8581729353,203.418806823963,188.574009834998,214.702969924264,5.44309747384887,22.0038623403878
"3190","Uridine Diphosphate-N-acetylgalactosamine",606.0748,223.9,0.0011,532.033133333333,202.623382040665,200.79973420892,204.447029872409,189.552926737632,215.693837343697,5.44309747384887,22.0038623403878
"3191","Uridine Diphosphate-N-acetylgalactosamine",608.0861,216.2,2e-04,536.593108,203.602575254488,201.73373850985,205.471411999126,190.525738435423,216.679412073553,5.44309747384887,22.0038623403878
"3192","Uridine Diphosphate-N-acetylgalactosamine",628.0567,228.4,0.0017,541.153082666667,204.575119071247,202.65946622339,206.490771919105,191.491509620953,217.658728521542,5.44309747384887,22.0038623403878
"3193","Uridine Diphosphate-N-acetylgalactosamine",630.0673,218.2,0.001,545.713057333333,205.540089503145,203.576216279067,207.503962727224,192.44933289955,218.630846106741,5.44309747384887,22.0038623403878
"3194","Uridine Diphosphate-N-acetylgalactosamine",646.0325,227.2,0.001,550.273032,206.49659236863,204.483307975351,208.509876761909,193.398332008469,219.594852728791,5.44309747384887,22.0038623403878
"3195","Uridine Diphosphate-N-acetylglucosamine",606.074,223.9,0.0017,554.833006666667,207.443766391755,205.38008303772,209.50744974579,194.337664782197,220.549868001313,5.44309747384887,22.0038623403878
"3196","Uridine Diphosphate-N-acetylglucosamine",608.0864,210.4,0.0019,559.392981333333,208.380786035999,206.265907802235,210.495664269762,195.26652584497,221.495046227027,5.44309747384887,22.0038623403878
"3197","Uridine Diphosphate-N-acetylglucosamine",628.0566,227.9,0.0012,563.952956,209.306864055408,207.140175427359,211.473552683456,196.184149015247,222.429579095568,5.44309747384887,22.0038623403878
"3198","Uridine Diphosphate-N-acetylglucosamine",630.0679,217.9,0.0024,568.512930666667,210.221253749661,208.002308050447,212.440199448875,197.089809410579,223.352698088743,5.44309747384887,22.0038623403878
"3199","Uridine Diphosphogalactose",565.0467,207.3,0.0015,573.072905333333,211.123250913402,208.851758820105,213.394743006698,197.982825245097,224.263676581707,5.44309747384887,22.0038623403878
"3200","Uridine Diphosphogalactose",587.0295,215.7,8e-04,577.63288,212.012195473957,209.688013750181,214.336377197732,198.862559315512,225.161831632401,5.44309747384887,22.0038623403878
"3201","Uridine Diphosphogalactose",589.0419,210.5,9e-04,582.192854666667,212.887472815241,210.510593354632,215.264352275849,199.728420175153,226.046525455328,5.44309747384887,22.0038623403878
"3202","Uridine Diphosphogalactose",605.0065,216.4,8e-04,586.752829333333,213.748514789176,211.319054034629,216.177975543723,200.57986299895,226.917166579402,5.44309747384887,22.0038623403878
"3203","Uridine-5'-triphosphate",482.9623,180.1,0.0019,591.312804,214.594800419313,212.112989199707,217.076611638919,201.416390145532,227.773210693095,5.44309747384887,22.0038623403878
"3204","Uridine-5'-triphosphate",484.9755,186.9,0.0013,595.872778666667,215.425856304434,212.892030113694,217.959682495175,202.237551425519,228.61416118335,5.44309747384887,22.0038623403878
"3205","Uridine-5'-triphosphate",504.9426,190.2,5e-04,600.432753333333,216.241256732745,213.655846463503,218.826667001987,203.042944087765,229.439569377725,5.44309747384887,22.0038623403878
"3206","Uridine-5'-triphosphate",506.9545,188.5,0.0042,604.992728,217.040623519781,214.404146654996,219.677100384566,203.832212537649,230.249034501912,5.44309747384887,22.0038623403878
"3207","Uridine-5'-diphosphate",402.9956,172.9,0.0011,609.552702666667,217.823625585316,215.136677844913,220.51057332572,204.605047803497,231.042203367135,5.44309747384887,22.0038623403878
"3208","Uridine-5'-diphosphate",405.0095,176.5,0.0041,614.112677333333,218.589978286417,215.853225721762,221.326730851072,205.361186768879,231.818769803955,5.44309747384887,22.0038623403878
"3209","Uridine-5'-diphosphate",424.9773,178.7,0.0012,618.672652,219.339442525239,216.553614051445,222.125270999033,206.100411189837,232.57847386064,5.44309747384887,22.0038623403878
"3210","Uridine-5'-diphosphate",426.9909,178.1,0.0044,623.232626666667,220.071823651313,217.237704005582,222.905943297045,206.822546517045,233.321100785582,5.44309747384887,22.0038623403878
"3211","Uridine-5'-diphosphate",426.9909,181.7,0.0015,627.792601333333,220.78697017886,217.905393292019,223.668547065701,207.527460543541,234.046479814179,5.44309747384887,22.0038623403878
"3212","Uridine-5'-monophosphate",323.0317,162.3,0.0066,632.352576,221.484772340111,218.556615107923,224.412929572298,208.215061899006,234.754482781215,5.44309747384887,22.0038623403878
