"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"203","2-Quinolinecarboxylate",174.0567,132.3,0.0046,172.0396,132.130155756915,127.380173433269,136.880138080561,116.484959388254,147.775352125576,5.67983925994844,32.8227303099544
"376","4-Quinolinecarboxylate",172.0396,134.6,0.0041,189.312213333333,136.656050481285,132.222803814173,141.089297148397,121.104088760959,152.208012201611,5.67983925994844,32.8227303099544
"377","4-Quinolinecarboxylate",174.0544,133.5,0.0022,206.584826666667,141.365204127489,137.211211773506,145.519196481472,125.890531600551,156.839876654427,5.67983925994844,32.8227303099544
"413","5,12-Naphthacene Quinone",259.0759,155.7,0.008,223.85744,146.258704857235,142.328977714594,150.188431999875,130.842719882066,161.674689832403,5.67983925994844,32.8227303099544
"488","Acridine",179.0735,132,0.007,241.130053333333,151.336940718738,147.556314287317,155.117567150158,135.958287541265,166.71559389621,5.67983925994844,32.8227303099544
"489","Acridine",180.0813,133.7,0.0026,258.402666666667,156.599542115831,152.872864056045,160.326220175617,141.23406240642,171.965021825242,5.67983925994844,32.8227303099544
"1707","Kynurenate",188.0365,135.3,0.0114,275.67528,162.045327384461,158.262250817658,165.828403951264,146.666071692155,177.424583076766,5.67983925994844,32.8227303099544
"1708","Kynurenate",190.0497,136.6,9e-04,292.947893333333,167.672252658727,163.7162964735,171.628208843954,152.249560718652,183.094944598802,5.67983925994844,32.8227303099544
"1709","Kynurenate",212.0312,151.2,0.0013,310.220506666667,173.477367257899,169.236043876675,177.718690639124,157.97902343144,188.975711084358,5.67983925994844,32.8227303099544
"2928","Sparfloxacin",393.1731,190.2,3e-04,327.49312,179.456775847648,174.828981108308,184.084570586988,163.84824223656,195.065309458737,5.67983925994844,32.8227303099544
"2929","Sparfloxacin",393.1735,214.5,9e-04,344.765733333333,185.605608618374,180.504741390756,190.706475845991,169.850333825061,201.360883411687,5.67983925994844,32.8227303099544
"2930","Sparfloxacin",415.1539,217.4,0.0038,362.038346666667,191.918000676909,186.27174097874,197.564260375078,175.977797230334,207.858204123483,5.67983925994844,32.8227303099544
"2931","Sparfloxacin",431.1288,216.1,0.0017,379.31096,198.387081761977,192.135529075391,204.638634448564,182.222560478246,214.551603045708,5.67983925994844,32.8227303099544
"3270","Xanthurenate",204.0317,134.6,0.0045,396.583573333333,205.004977266773,198.098407591739,211.911546941807,188.576022886925,221.433931646621,5.67983925994844,32.8227303099544
"3271","Xanthurenate",206.0446,140.4,4e-04,413.856186666667,211.762821383674,204.159671598135,219.365971169212,195.029091255565,228.496551511782,5.67983925994844,32.8227303099544
"3272","Xanthurenate",228.0265,148,0.0026,431.1288,218.650782978044,210.316046634465,226.985519321622,201.572209640203,235.729356315884,5.67983925994844,32.8227303099544
