"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"801","Cer (d18:1/17:0)",534.5278,257.9,2e-04,460.329,227.820035587749,224.655443732941,230.984627442557,205.405241221314,250.234829954184,9.46588921440727,21.0859763883577
"802","Cer (d18:1/17:0)",550.526,250.4,0.001,463.484042654028,228.581253416169,225.444911832707,231.717594999631,206.170430062034,250.992076770303,9.46588921440727,21.0859763883577
"803","Cer (d18:1/17:0)",552.5329,260.5,3e-04,466.639085308057,229.339824619468,226.231557049552,232.448092189384,206.932912914187,251.746736324749,9.46588921440727,21.0859763883577
"804","Cer (d18:1/17:0)",574.5187,255.5,2e-04,469.794127962085,230.095776201189,227.015406078687,233.176146323692,207.692717370447,252.498835031931,9.46588921440727,21.0859763883577
"805","Cer (d18:1/17:0)",596.5346,259.2,0.001,472.949170616114,230.849134710159,227.796485102921,233.901784317396,208.449870559151,253.248398861167,9.46588921440727,21.0859763883577
"806","Cer (d18:1/17:0)",1126.043,463.5,2e-04,476.104213270142,231.599926251124,228.574819802684,234.625032699565,209.204399155151,253.995453347097,9.46588921440727,21.0859763883577
"807","Cer (d18:1/17:0)",610.5403,262,0.001,479.259255924171,232.348176495069,229.350435365671,235.345917624467,209.956329390354,254.740023599784,9.46588921440727,21.0859763883577
"808","Cer (d18:1/17:0)",586.2025,251.7,0.001,482.414298578199,233.093910689224,230.123356496166,236.064464882283,210.705687063935,255.482134314514,9.46588921440727,21.0859763883577
"809","Cer 36:00",568.5668,264,NA,485.569341232227,233.837153666785,230.893607424015,236.780699909554,211.452497552263,256.221809781306,9.46588921440727,21.0859763883577
"810","Cer 36:01",548.5406,259.3,NA,488.724383886256,234.577929856341,231.661211913296,237.494647799386,212.196785818528,256.959073894154,9.46588921440727,21.0859763883577
"811","Cer 38:00",596.5981,269.5,NA,491.879426540284,235.316263291036,232.426193270669,238.206333311403,212.938576422088,257.693950159984,9.46588921440727,21.0859763883577
"812","Cer 38:01",576.5719,266,NA,495.034469194313,236.052177617459,233.188574353431,238.915780881486,213.677893527553,258.426461707365,9.46588921440727,21.0859763883577
"813","Cer 40:00",624.6294,276.2,NA,498.189511848341,236.785696104282,233.948377577291,239.623014631273,214.4147609136,259.156631294963,9.46588921440727,21.0859763883577
"814","Cer 40:00 OH",640.6244,278.6,NA,501.34455450237,237.516841650652,234.705624923853,240.328058377451,215.149201981543,259.884481319761,9.46588921440727,21.0859763883577
"815","Cer 40:01",604.6032,271.5,NA,504.499597156398,238.245636794344,235.460337947848,241.030935640841,215.881239763654,260.610033825035,9.46588921440727,21.0859763883577
"816","Cer 40:02",602.5876,269.6,NA,507.654639810427,238.972103719685,236.212537784096,241.731669655274,216.610896931255,261.333310508115,9.46588921440727,21.0859763883577
"817","Cer 40:02",620.5981,274.4,NA,510.809682464455,239.696264265254,236.962245154229,242.43028337628,217.338195802583,262.054332727926,9.46588921440727,21.0859763883577
"818","Cer 41:01",618.6189,274.3,NA,513.964725118483,240.418139931372,237.709480373168,243.126799489577,218.063158350429,262.773121512316,9.46588921440727,21.0859763883577
"819","Cer 42:00",652.6607,282.3,NA,517.119767772512,241.137751887381,238.454263355378,243.821240419384,218.785806209578,263.489697565184,9.46588921440727,21.0859763883577
"820","Cer 42:00",674.6427,284.1,NA,520.27481042654,241.855120978724,239.196613620904,244.513628336544,219.506160684034,264.204081273414,9.46588921440727,21.0859763883577
"821","Cer 42:00 OH",668.6556,284.3,NA,523.429853080569,242.570267733834,239.93655030119,245.203985166478,220.224242754051,264.916292713617,9.46588921440727,21.0859763883577
"822","Cer 42:01",614.624,276,NA,526.584895734597,243.283212370831,240.674092144703,245.892332596959,220.940073082977,265.626351658685,9.46588921440727,21.0859763883577
"823","Cer 42:01",632.6345,277.2,NA,529.739938388626,243.993974804044,241.409257522369,246.578692085719,221.653672023906,266.334277584182,9.46588921440727,21.0859763883577
