"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"138","17-alpha-Hydroxyprogesterone",329.2117,187,0.0069,287.2011,178.971676745522,173.655649213965,184.287704277079,147.475813138456,210.467540352589,13.0158193835243,19.4609421085452
"139","17-alpha-Hydroxyprogesterone",331.2273,186.4,0.0049,293.162151515151,180.400358491137,175.2343176971,185.566399285173,148.929463157125,211.871253825149,13.0158193835243,19.4609421085452
"140","17-alpha-Hydroxyprogesterone",353.2093,208.9,0.0079,299.123203030303,181.811342481325,176.788591200593,186.834093762056,150.363650895665,213.259034066985,13.0158193835243,19.4609421085452
"143","17alpha-Hydroxypregnenolone",333.243,189.2,0.0046,305.084254545455,183.205194202996,178.318855171488,188.091533234503,151.779001548308,214.631386857683,13.0158193835243,19.4609421085452
"144","17alpha-Hydroxypregnenolone",355.2249,209.2,0.0072,311.045306060606,184.582450439497,179.825452656877,189.339448222117,153.176108666814,215.988792212179,13.0158193835243,19.4609421085452
"172","2-Methoxyestrone",299.1647,183.9,0.0091,317.006357575758,185.943621246865,181.308688807024,190.578553686706,154.555536336177,217.331706157553,13.0158193835243,19.4609421085452
"173","2-Methoxyestrone",301.1804,173.4,0.002,322.967409090909,187.289191759594,182.768835856547,191.809547662641,155.91782116268,218.660562356508,13.0158193835243,19.4609421085452
"174","2-Methoxyestrone",323.1623,200.4,0.0035,328.928460606061,188.61962384348,184.206138656493,193.033109030467,157.263474093639,219.975773593321,13.0158193835243,19.4609421085452
"192","2,1-Hydroxypregnenolone",333.243,189.3,0.0087,334.889512121212,189.935357611032,185.620820796725,194.249894425339,158.592982085863,221.277733136201,13.0158193835243,19.4609421085452
"193","2,1-Hydroxypregnenolone",355.2249,209.3,0.0088,340.850563636364,191.236812813092,187.013091311795,195.460534314388,159.906809637873,222.56681598831,13.0158193835243,19.4609421085452
"560","Aldosterone",359.1858,187.7,0.0014,346.811615151515,192.524390118766,188.383151904901,196.665628332631,161.205400199188,223.843380038345,13.0158193835243,19.4609421085452
"561","Aldosterone",361.2015,194.8,0.0038,352.772666666667,193.798472294384,189.731204555798,197.86574003297,162.48917746847,225.107767120298,13.0158193835243,19.4609421085452
"562","Aldosterone",383.1834,202.8,0.0024,358.733718181818,195.059425291013,191.057459305133,199.061391276893,163.758546591034,226.360303990992,13.0158193835243,19.4609421085452
"575","alpha-Muricholic Acid",407.2798,205.6,0.0012,364.69476969697,196.307599249021,192.362141937383,200.253056560658,165.013895265046,227.601303232996,13.0158193835243,19.4609421085452
"605","Androstenedione",287.2011,182.8,0.0057,370.655821212121,197.543329427258,193.645501227869,201.441157626647,166.255594764764,228.831064089752,13.0158193835243,19.4609421085452
"606","Androstenedione",309.183,203.4,0.009,376.616872727273,198.766937063631,194.907815387171,202.62605874009,167.484000888258,230.049873239003,13.0158193835243,19.4609421085452
"707","B-Cortol",367.2484,202,0.0036,382.577924242424,199.978730173134,196.149397338513,203.808063007756,168.699454836308,231.258005509961,13.0158193835243,19.4609421085452
"708","B-Cortol",391.246,203.3,0.002,388.538975757576,201.179004288793,197.370598506164,204.987410071421,169.902284028448,232.455724549137,13.0158193835243,19.4609421085452
"749","beta-Muricholic Acid",407.2798,201.2,0.0024,394.500027272727,202.368043150392,198.571810875492,206.164275425291,171.092802861568,233.643283439215,13.0158193835243,19.4609421085452
"838","Chenodeoxycholic Acid 3-Sulfate",471.2417,205.9,0.0012,400.461078787879,203.546119345424,199.753467200743,207.338771490105,172.271313415902,234.820925274945,13.0158193835243,19.4609421085452
"839","Cholate",407.2805,203.1,6e-04,406.42213030303,204.713494906214,200.916039371198,208.51095044123,173.438106112802,235.988883699626,13.0158193835243,19.4609421085452
"840","Cholate",431.2749,197.7,0.0022,412.383181818182,205.870421866818,202.060035082228,209.680808651407,174.593460328221,237.147383405414,13.0158193835243,19.4609421085452
"841","Cholesteryl Palmitate",647.5704,286.5,0.002,418.344233333333,207.017142782944,203.185993076675,210.848292489214,175.737644965515,238.296640600373,13.0158193835243,19.4609421085452
"874","Cortexolone",347.2205,187.8,9e-04,424.305284848485,208.153891217851,204.294477308846,212.013305126857,176.87091899078,239.436863444922,13.0158193835243,19.4609421085452
"875","Cortexolone",369.2023,211.4,0.0041,430.266336363636,209.280892196876,205.386070429333,213.17571396442,177.993531933671,240.568252460082,13.0158193835243,19.4609421085452
"876","Corticosterone",345.2043,186.8,0.0014,436.227387878788,210.398362633043,206.461366992337,214.33535827375,179.105724356388,241.691000909699,13.0158193835243,19.4609421085452
"877","Corticosterone",347.2208,187,0.0023,442.188439393939,211.506511725945,207.520966753356,215.492056698534,180.207728293243,242.805295158648,13.0158193835243,19.4609421085452
"878","Corticosterone",369.2026,212.2,0.0042,448.149490909091,212.605541335922,208.565468363908,216.645614307935,181.299767663037,243.911315008806,13.0158193835243,19.4609421085452
"879","Corticosterone",385.1789,209,0.006,454.110542424242,213.695646335371,209.5954636933,217.795828977442,182.382058656265,245.009234014476,13.0158193835243,19.4609421085452
"880","Cortisol",363.2164,188.9,0.0022,460.071593939394,214.777014938866,210.611532926872,218.942496950861,183.454810098994,246.099219778739,13.0158193835243,19.4609421085452
"881","Cortisol",385.199,211.6,0.0069,466.032645454545,215.849829013622,211.614240514909,220.085417512335,184.518223795103,247.181434232141,13.0158193835243,19.4609421085452
"882","Cortisol",361.2043,192.1,0.0018,471.993696969697,216.914264371706,212.604131982715,221.224396760698,185.572494848444,248.256033894969,13.0158193835243,19.4609421085452
"883","Cortisol",401.1736,213.2,0.0029,477.954748484848,217.970491045298,213.581731563312,222.359250527284,186.61781196632,249.323170124276,13.0158193835243,19.4609421085452
"884","Cortisol-21-acetate",403.2149,196.5,0.002,483.9158,219.018673546161,214.547540580303,223.489806512019,187.654357745604,250.382989346718,13.0158193835243,19.4609421085452
"885","Cortisol-21-acetate",405.2286,198.7,0.0017,489.876851515151,220.058971110433,215.502036488302,224.615905732564,188.682308942684,251.435633278182,13.0158193835243,19.4609421085452
"886","Cortisol-21-acetate",427.2089,202.9,0.0016,495.837903030303,221.091537929717,216.445672469564,225.73740338987,189.701836728328,252.481239131107,13.0158193835243,19.4609421085452
"887","Cortisol-21-acetate",443.1849,207,0.0025,501.798954545455,222.116523369413,217.378877485369,226.854169253457,190.713106928502,253.519939810324,13.0158193835243,19.4609421085452
