"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error"
"415","5'-Methylthioadenosine",320.0793,175.66,0.11,296.0817,168.189826625091,164.204631124912,172.175022125271,158.280160024072,178.099493226111,3.28284289880748
"416","5'-Methylthioadenosine",298.0974,172.16,0,306.175081818182,169.927190471084,166.408144426496,173.446236515673,160.195623586319,179.658757355849,3.28284289880748
"417","5'-Methylthioadenosine",296.0817,169.5,0.12,316.268463636364,172.730111340909,169.807784469871,175.652438211948,163.19807570785,182.262146973968,3.28284289880748
"2360","METHYLTHIOADENOSINE",320.0791,172.4,0.1,326.361845454545,176.300962973565,173.681390338458,178.920535608672,166.857347682834,185.744578264296,3.28284289880748
"2361","METHYLTHIOADENOSINE",298.0992,170.7,0.1,336.455227272727,179.697535777378,176.762706361642,182.632365193113,170.16165969449,189.233411860265,3.28284289880748
"2362","METHYLTHIOADENOSINE",296.0844,166.9,0.1,346.548609090909,182.139965382565,178.691867080067,185.588063685064,172.433828619032,191.846102146099,3.28284289880748
"2363","METHYLTHIOADENOSINE",298.0992,162.5,0.1,356.641990909091,183.565423829651,179.746889613574,187.383958045727,173.721597717408,193.409249941893,3.28284289880748
"3168","S-ADENOSYLHOMOCYSTEINE",407.1089,189,0.1,366.735372727273,184.298103178019,180.274619435859,188.32158692018,174.372976962593,194.223229393446,3.28284289880748
"3169","S-ADENOSYLHOMOCYSTEINE",383.1152,186.4,0.1,376.828754545455,184.650182690942,180.525287005403,188.77507837648,174.683514572393,194.616850809491,3.28284289880748
"3170","S-ADENOSYLHOMOCYSTEINE",385.1274,182.9,0.1,386.922136363636,184.813892411966,180.641250652719,188.986534171212,174.827369082011,194.800415741921,3.28284289880748
"3171","S-ADENOSYLHOMOCYSTEINE",405.0962,180.3,0.2,397.015518181818,184.888847934389,180.694225129428,189.08347073935,174.893120374846,194.884575493933,3.28284289880748
"3172","S-ADENOSYLMETHIONINE",399.1422,185.7,0.1,407.1089,184.922924061711,180.718283787247,189.127564336175,174.922988621601,194.922859501821,3.28284289880748
