"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1978","Myoinositol",179.0552,131.5,0.0034,173.0461,138.752598709531,131.079392334191,146.42580508487,114.685003102143,162.820194316918,8.39256018175789,28.213408341716
"1979","Myoinositol",203.0532,148.7,0.0014,215.361641666667,144.518721034885,137.538831138748,151.498610931021,120.663115295261,168.374326774508,8.39256018175789,28.213408341716
"2198","Pantothenate",218.1038,146.6,4e-04,257.677183333333,150.233035168626,143.715109350319,156.750960986934,126.508482080841,173.957588256411,8.39256018175789,28.213408341716
"2199","Pantothenate",220.118,129.8,0.0037,299.992725,155.904492924902,149.574646453614,162.234339396191,132.230920769601,179.578065080204,8.39256018175789,28.213408341716
"2200","Pantothenate",242.1005,150.8,6e-04,342.308266666667,161.539440688099,155.106086929822,167.972794446376,137.837982867507,185.240898508691,8.39256018175789,28.213408341716
"2416","Phytate",658.8559,195.5,0.0017,384.623808333333,167.142610284269,160.332304764353,173.952915804185,143.336070772682,190.949149795856,8.39256018175789,28.213408341716
"2417","Phytate",660.8657,215.5,0.0024,426.93935,172.717663967809,165.302270994324,180.133056941295,148.731019450633,196.704308484986,8.39256018175789,28.213408341716
"2418","Phytate",680.8326,201,0.0035,469.254891666667,178.267519076215,170.072165571809,186.462872580621,154.028400253445,202.506637898985,8.39256018175789,28.213408341716
"2778","Quinate",191.0586,134.8,0.0043,511.570433333333,183.79455348931,174.691473581891,192.89763339673,159.233667388784,208.355439589837,8.39256018175789,28.213408341716
"2779","Quinate",193.0712,145,0.0029,553.885975,189.300741986954,179.198361338051,199.403122635857,164.352211829498,214.24927214441,8.39256018175789,28.213408341716
"2780","Quinate",215.0522,151.8,0.0039,596.201516666667,194.787750291325,183.620517467051,205.954983115599,169.389361539404,220.186139043246,8.39256018175789,28.213408341716
"2852","Shikimic Acid",173.0461,137.7,0.0112,638.517058333333,200.25700201699,187.977612786808,212.536391247171,174.350353022794,226.163651011186,8.39256018175789,28.213408341716
"2853","Shikimic Acid",175.0606,148.6,0.0057,680.8326,205.709727622247,192.283632476622,219.135822767873,179.24029065994,232.179164584555,8.39256018175789,28.213408341716
