"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"594","FBSA",297.9592,135,0.0029,168.9894,109.66427990682,106.065155546472,113.263404267168,96.5708574394888,122.757702374152,5.22326182759643,25.1655761587979
"596","FHxSA",397.9529,152,0.0016,180.264540425532,111.419220179003,107.911964247735,114.926476110272,98.3507520241587,124.487688333848,5.22326182759643,25.1655761587979
"763","N_EtFOSAA",583.9843,196.3,0.0027,191.539680851064,113.199005712872,109.78402454422,116.613986881524,100.154998961531,126.243012464212,5.22326182759643,25.1655761587979
"764","N_MeFOSAA",569.9697,192.7,0.0021,202.814821276596,115.002493594874,111.680020908664,118.324966281085,101.982399874114,128.022587315635,5.22326182759643,25.1655761587979
"842","PFBS-L",298.9444,133.6,0.0034,214.089961702128,116.82865461773,113.598745029351,120.058564206108,103.831873027818,129.825436207641,5.22326182759643,25.1655761587979
"843","PFDA",512.9604,174.2,6e-04,225.36510212766,118.676556525811,115.539076256259,121.814036795364,105.702436201542,131.65067685008,5.22326182759643,25.1655761587979
"844","PFDoA",612.9539,191.4,0.0013,236.640242553192,120.545350451051,117.499965163453,123.59073573865,107.593192820113,133.49750808199,5.22326182759643,25.1655761587979
"845","PFDoS-L",698.921,203.7,0.0034,247.915382978723,122.434259807466,119.480419430034,125.388100184898,109.503320602516,135.365199012416,5.22326182759643,25.1655761587979
"846","PFDS-L",598.9263,186.2,0.001,259.190523404255,124.342571106224,121.479491452059,127.205650760389,111.432062175401,137.253080037047,5.22326182759643,25.1655761587979
"847","PFHpS-L",448.9336,159.2,0.0011,270.465663829787,126.269626289417,123.496267252409,129.042985326424,113.378717240986,139.160535337847,5.22326182759643,25.1655761587979
"849","PFHxS-L",398.9378,150.5,0.0013,281.740804255319,128.214816278125,125.529856376738,130.899776179512,115.342635988103,141.086996568147,5.22326182759643,25.1655761587979
"850","PFNA",462.9633,165.2,0.0017,293.015944680851,130.17757550123,127.579382567884,132.775768434577,117.323213507508,143.031937494953,5.22326182759643,25.1655761587979
"851","PFNS-L",548.9261,177.2,0.0014,304.291085106383,132.157377223644,129.64397511114,134.670779336148,119.319885025948,144.99486942134,5.22326182759643,25.1655761587979
"853","PFOS-L",498.9298,168.3,0.0021,315.566225531915,134.153729531682,131.722760849434,136.584698213929,121.332121813426,146.975337249938,5.22326182759643,25.1655761587979
"857","PFUdA",562.9572,182.9,4e-04,326.841365957447,136.166171862834,133.81485699,138.517486735667,123.359427648242,148.972916077425,5.22326182759643,25.1655761587979
"1085","PFBA",168.9894,110.8,6e-04,338.116506382979,138.194271989773,135.919364969343,140.469179010204,125.401335747519,150.987208232027,5.22326182759643,25.1655761587979
"1086","PFDA",468.9698,155.3,0.0013,349.391646808511,140.237623385905,138.035365813397,142.439880958413,127.457406088753,153.017840683058,5.22326182759643,25.1655761587979
"1087","PFDoA",568.965,171.5,3e-04,360.666787234043,142.295842913364,140.161917618037,144.42976820869,129.527223061837,155.06446276489,5.22326182759643,25.1655761587979
"1088","PFHpA",318.9803,132.4,0.0031,371.941927659575,144.368568785105,142.298055959979,146.439081610231,131.610393402011,157.126744168199,5.22326182759643,25.1655761587979
"1089","PFHxA",268.9837,125.1,0.0029,383.217068085106,146.455458761231,144.442798186035,148.468119336428,133.706544362832,159.204373159631,5.22326182759643,25.1655761587979
"1091","PFNA",418.9751,147,0.0019,394.492208510638,148.5561885465,146.595152549528,150.517224543472,135.815322095266,161.297054997734,5.22326182759643,25.1655761587979
"1092","PFPeA",218.9861,117.4,0.0018,405.76734893617,150.670450361437,148.754132973394,152.586767749481,137.936390204579,163.404510518296,5.22326182759643,25.1655761587979
"1095","PFUdA",518.9687,163.4,0.0021,417.042489361702,152.797951663935,150.918779725494,154.677123602376,140.069428461262,165.526474866608,5.22326182759643,25.1655761587979
"3500","N-ethylperfluorooctane sulfonamide",525.9766,178.4,0.000128,428.317629787234,154.938414001818,153.088185441366,156.78864256227,142.214131645917,167.662696357718,5.22326182759643,25.1655761587979
"3501","N-ethylperfluorooctane sulfonamido acetic acid",583.9839,196.8,0.000261,439.592770212766,157.091571979864,155.261524779028,158.921619180701,144.370208511114,169.812935448615,5.22326182759643,25.1655761587979
"3502","N-methylperfluorooctane sulfonamide",511.9613,174,0.000135,450.867910638298,159.257172327203,157.438084757437,161.076259896969,146.537380845687,171.976963808719,5.22326182759643,25.1655761587979
"3503","N-methylperfluorooctane sulfonamido acetic acid",569.9687,193.2,0.000192,462.14305106383,161.434973053061,159.617291891032,163.252654215091,148.715382629091,174.154563477032,5.22326182759643,25.1655761587979
"3504","Perfluorobutanesulfonic acid",298.943,133.3,0.000333,473.418191489362,163.624742680533,161.798732013786,165.45075334728,150.90395926512,176.345526095946,5.22326182759643,25.1655761587979
"3505","Perfluorodecane sulfonic acid",598.923,186.9,0.000388,484.693331914894,165.826259549465,163.982159463532,167.670359635398,153.102866885804,178.549652213126,5.22326182759643,25.1655761587979
"3506","Perfluorodecylphosponic acid",598.9329,188.3,2.4e-05,495.968472340426,168.039311180759,166.167494003625,169.911128357892,155.311871717482,180.766750644036,5.22326182759643,25.1655761587979
"3507","Perfluorohexanesulfonic acid",398.9357,150.8,0.000317,507.243612765957,170.263693695397,168.354806039731,172.172581351062,157.530749502135,182.996637888659,5.22326182759643,25.1655761587979
"3508","Perfluoro-n-decanoic acid",512.9578,174.3,0.000452,518.518753191489,172.499211282373,170.54429267769,174.454129887056,159.759284967919,185.239137596826,5.22326182759643,25.1655761587979
"3509","Perfluoro-n-dodecanoic acid",612.9547,192.2,0.000492,529.793893617021,174.745675710422,172.736248390678,176.755103030167,161.997271343597,187.494080077248,5.22326182759643,25.1655761587979
"3510","Perfluoro-n-heptanoic acid",362.97,147.6,0.00093,541.069034042553,177.002905879103,174.9310342854,179.074777472805,164.244509912228,189.761301845977,5.22326182759643,25.1655761587979
"3511","Perfluoro-n-nonanoic acid",462.9633,165.1,0.000674,552.344174468085,179.27072740528,177.129049323444,181.412405487116,166.500809600024,192.040645210536,5.22326182759643,25.1655761587979
"3512","Perfluoro-n-octanoic acid",412.9656,156.4,0.000558,563.619314893617,181.548972241579,179.330705745169,183.767238737989,168.765986596751,194.331957886406,5.22326182759643,25.1655761587979
