"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"644","Histidinol",140.0829,127.9,0.0063,106.0865,120.063865310883,117.448448869987,122.679281751778,111.417477589942,128.710253031823,3.19000456038392,23.0286068190445
"1229","1-Methylhistamine",126.1031,121.8,0.0029,118.921794117647,122.970437545681,120.49786412887,125.443010962492,114.366180647898,131.574694443464,3.19000456038392,23.0286068190445
"1293","3-Methylhistamine",126.1028,123.8,8e-04,131.757088235294,126.122505843389,123.790905369399,128.45410631738,117.557695382449,134.68731630433,3.19000456038392,23.0286068190445
"1500","Diethanolamine",106.0865,122.2,0.0065,144.592382352941,129.522352976482,127.323436487362,131.721269465601,120.99270754495,138.051998408013,3.19000456038392,23.0286068190445
"1610","Hexazinone",253.1664,162.1,0.0044,157.427676470588,133.168113903445,131.08489357596,135.251334230931,124.667559545383,141.668668261508,3.19000456038392,23.0286068190445
"1612","Histamine",112.0863,120.4,0.0012,170.262970588235,137.053187247364,135.057747274093,139.048627220634,128.573718033524,145.532656461203,3.19000456038392,23.0286068190445
"1613","Histidinol",142.0982,128.8,0.0015,183.098264705882,141.165770419677,139.217999925637,143.113540913717,132.697392336538,149.634148502815,3.19000456038392,23.0286068190445
"1782","Norspermidine",132.1484,127.6,0.0015,195.933558823529,145.488575322283,143.537164032132,147.439986612434,137.019359096158,153.957791548408,3.19000456038392,23.0286068190445
"1959","Spermidine",146.1653,131.3,0.0033,208.768852941176,149.998777145863,147.985275532341,152.012278759384,141.515039395957,158.482514895769,3.19000456038392,23.0286068190445
"1960","Spermine",203.2231,148.6,5e-04,221.604147058824,154.668236936409,152.533288164106,156.803185708713,146.154857835143,163.181616037676,3.19000456038392,23.0286068190445
"1961","Sphinganine",302.3046,188.9,0.0022,234.439441176471,159.464019320619,157.153373483367,161.774665157871,150.904889595773,168.023149045465,3.19000456038392,23.0286068190445
"2011","Tributylammonium",187.23,150.4,0.0032,247.274735294118,164.349201462072,161.817524557729,166.880878366416,155.727774352277,172.970628571867,3.19000456038392,23.0286068190445
"2579","Hexazinone",275.1484,178.4,0.0039,260.110029411765,169.283940806437,166.4961130582,172.071768554674,160.583848794546,177.984032818328,3.19000456038392,23.0286068190445
"2581","Histidinol",164.0794,131.9,0.0011,272.945323529412,174.226741416298,171.1574820459,177.296000786696,165.432426744631,183.021056087966,3.19000456038392,23.0286068190445
"2721","Norspermidine",154.132,132.3,0.0023,285.780617647059,179.135836052649,175.768587124449,182.503084980849,170.233140797503,188.038531307794,3.19000456038392,23.0286068190445
"2883","Spermidine",168.1472,136.2,0.0019,298.615911764706,183.970587471838,180.296226712286,187.64494823139,174.947254138038,192.993920805637,3.19000456038392,23.0286068190445
"2884","Spermine",225.2045,151.4,0.0038,311.451205882353,188.692810101012,184.708433386784,192.677186815241,179.538856022997,197.846764179028,3.19000456038392,23.0286068190445
"2885","Sphinganine",324.2865,190.8,0.0028,324.2865,193.267922747914,188.975760063355,197.560085432473,183.975868186503,202.559977309325,3.19000456038392,23.0286068190445
