"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"189","3-Nitro-L-tyrosine",247.0337,147.9,0.0018,225.0521,152.008144904655,144.565652654322,159.450637154987,127.574206608927,176.442083200382,8.68067553526483,53.6984437124844
"194","6-Phosphogluconate",296.9997,149.1,0.0023,266.859776923077,156.490005008247,149.348417071088,163.631592945406,132.146033926943,180.83397608955,8.68067553526483,53.6984437124844
"297","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",744.5543,273.5,0.0033,308.667453846154,161.888538863027,155.06193196647,168.715145759583,137.63510175685,186.141975969203,8.68067553526483,53.6984437124844
"377","3-Nitro-L-tyrosine",225.0521,149,0.0014,350.475130769231,168.228952050646,161.696578357858,174.761325743435,144.056683729171,192.401220372122,8.68067553526483,53.6984437124844
"436","6-Phosphogluconate",275.017,143.7,9e-04,392.282807692308,175.533793287342,169.225106819725,181.842479754959,151.421012968809,199.646573605876,8.68067553526483,53.6984437124844
"1232","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",746.5699,282.7,0,434.090484615385,183.823508873155,177.603555814252,190.043461932059,159.733791859497,207.913225886813,8.68067553526483,53.6984437124844
"1294","3-Nitro-L-tyrosine",227.0673,158.6,0.0045,475.898161538462,193.116835714913,186.779916336074,199.453755093751,168.996653357454,217.237018072371,8.68067553526483,53.6984437124844
"1336","Acetochlor",270.1261,173.5,0.0037,517.705838461538,203.431090785358,196.711948218922,210.150233351795,179.207682136466,227.654499434251,8.68067553526483,53.6984437124844
"1733","Metolachlor",284.1417,160.4,0.0033,559.513515384615,214.782390904606,207.38474200029,222.180039808922,190.362074382196,239.202707427016,8.68067553526483,53.6984437124844
"2243","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",768.5519,287.8,0,601.321192307692,227.185823819886,218.814032301341,235.557615338431,202.452980413332,251.918667226441,8.68067553526483,53.6984437124844
"2302","3-Nitro-L-tyrosine",249.0475,154.7,0.0024,643.128869230769,240.655584161874,231.034785213275,250.276383110473,215.472525925184,265.838642398564,8.68067553526483,53.6984437124844
"2325","6-Phosphogluconate",299.0123,157.3,0.0042,684.936546153846,255.205083397657,244.087187877114,266.3229789182,229.412947957781,280.997218837532,8.68067553526483,53.6984437124844
"2337","Acetochlor",292.108,159.1,0.001,726.744223076923,270.847040098932,258.00829671859,283.685783479274,244.267725184332,297.426355013531,8.68067553526483,53.6984437124844
"2674","Metolachlor",306.1237,174.7,0.0041,768.5519,287.593555020442,272.829331703348,302.357778337537,260.032551049248,315.154558991637,8.68067553526483,53.6984437124844
