"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"329","3,4-Dihydroxymandelate",183.0314,137.7,0.0042,109.029,115.982960682192,111.430836243259,120.535085121125,106.609896176738,125.356025187646,3.01442379936651,10.1395582263549
"330","3,4-Dihydroxyphenylacetate",189.0187,140.4,0.0059,115.694808333333,117.785818766174,113.647244294646,121.924393237703,108.606477832738,126.965159699611,3.01442379936651,10.1395582263549
"331","3,4-Dihydroxyphenylglycol",151.0402,127.7,0.002,122.360616666667,120.114966319142,116.484203546061,123.745729092224,111.153106041819,129.076826596466,3.01442379936651,10.1395582263549
"371","4-Methylcatechol",123.0443,121.5,0.0069,129.026425,122.923545903728,119.846002235884,126.001089571571,114.171187573348,131.675904234107,3.01442379936651,10.1395582263549
"437","6-Hydroxydopamine",170.0813,143.2,0.0029,135.692233333333,126.041824355044,123.455127320515,128.628521389574,117.449763899931,134.633884810157,3.01442379936651,10.1395582263549
"1251","Dopamine",152.0713,133.3,0.012,142.358041666667,129.201935938588,126.897142219343,131.506729657834,120.690498022223,137.713373854954,3.01442379936651,10.1395582263549
"1252","Dopamine",154.085,134.9,0.0725,149.02385,132.121656952928,129.814014927679,134.429298978177,123.60944730839,140.633866597466,3.01442379936651,10.1395582263549
"1271","Epinephrine",182.0831,140.3,0.0024,155.689658333333,134.597703157775,132.086705386056,137.108700929494,126.028128423551,143.167277891999,3.01442379936651,10.1395582263549
"1615","Hydroquinone",109.029,118.7,0.0027,162.355466666667,136.549385820812,133.773760796561,139.325010845064,127.898571085129,145.200200556496,3.01442379936651,10.1395582263549
"1616","Hydroquinone",111.0446,113.9,0.0035,169.021275,138.000925624973,134.983846112522,141.018005137423,129.269644499026,146.73220675092,3.01442379936651,10.1395582263549
"2119","Noradrenaline",152.0717,137.1,0.0011,175.687083333333,139.034508494514,135.827491457474,142.241525531553,130.235789292736,147.833227696291,3.01442379936651,10.1395582263549
"2120","Noradrenaline",168.0671,134.4,0.0028,182.352891666667,139.74788283849,136.402547916477,143.093217760502,130.897811253677,148.597954423302,3.01442379936651,10.1395582263549
"2769","Pyrocatechol",109.0304,115.1,0.0105,189.0187,140.229715863319,136.78803466266,143.671397063977,131.342777650253,149.116654076384,3.01442379936651,10.1395582263549
