"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"2001","N-Acetyl-sulfamethoxazole",294.0548,171.5,3e-04,171.0228,148.733572226969,143.694502177221,153.772642276717,135.831026726225,161.636117727714,4.43038585673496,12.4243203541979
"2002","N-Acetyl-sulfamethoxazole",296.0705,170.4,0.003,182.332769230769,148.733732038334,143.694694379432,153.772769697236,135.831199187752,161.636264888916,4.43038585673496,12.4243203541979
"2003","N-Acetyl-sulfamethoxazole",318.0524,177.4,0.0092,193.642738461538,148.734514461667,143.695635383712,153.773393539621,135.832043543475,161.636985379858,4.43038585673496,12.4243203541979
"2957","Sulfadimethoxine",309.0657,171.3,2e-04,204.952707692308,148.738344565116,143.700241722127,153.776447408104,135.836176774816,161.640512355415,4.43038585673496,12.4243203541979
"2958","Sulfadimethoxine",311.0814,165.8,8e-04,216.262676923077,148.757079796387,143.722772828269,153.791386764504,135.856393764948,161.657765827825,4.43038585673496,12.4243203541979
"2959","Sulfaguanidine",213.0446,146.6,0.0011,227.572646153846,148.848395145503,143.832562127723,153.864228163284,135.954907087775,161.741883203231,4.43038585673496,12.4243203541979
"2960","Sulfaguanidine",215.0603,149,0.0077,238.882615384615,149.285775258161,144.357790541354,154.213759974967,136.426207349339,162.145343166983,4.43038585673496,12.4243203541979
"2961","Sulfamethazine",277.0759,168.1,0.0044,250.192584615385,151.218006302282,146.664130379906,155.771882224658,138.497108560813,163.938904043751,4.43038585673496,12.4243203541979
"2962","Sulfamethazine",301.0735,175,0.0022,261.502553846154,157.439476139935,153.865769561162,161.013182718707,145.03565285259,169.84329942728,4.43038585673496,12.4243203541979
"2963","Sulfanilamide",171.0228,141.2,7e-04,272.812523076923,166.553680604966,163.294692617911,169.812668592022,154.236844317498,178.870516892434,4.43038585673496,12.4243203541979
"2964","Sulfanilamide",173.0385,155.1,0.0037,284.122492307692,171.40033725035,167.64718516121,175.153489339491,158.943628052623,183.857046448077,4.43038585673496,12.4243203541979
"2965","Sulfanilamide",195.0204,151.8,0.0082,295.432461538462,172.733524356913,168.783779684513,176.683269029313,160.216178935073,185.250869778754,4.43038585673496,12.4243203541979
"2966","Sulfisomidine",277.0759,170,0.0093,306.742430769231,173.025340772226,169.029812246544,177.020869297907,160.493473328303,185.557208216148,4.43038585673496,12.4243203541979
"2967","Sulfisomidine",301.0735,179,0.0053,318.0524,173.085817378637,169.080684826105,177.090949931169,160.550884582812,185.620750174463,4.43038585673496,12.4243203541979
