"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"161","2-Hydroxy Hippuric Acid",194.0453,137.5,0.0013,136.0416,122.776854700967,117.55595920786,127.997750194074,102.078281587169,143.475427814765,8.20486699257725,40.7231945140429
"162","2-Hydroxy Hippuric Acid",218.0429,153.9,0.0019,148.532451428571,127.43978268558,122.533498134334,132.346067236826,106.818317963231,148.061247407929,8.20486699257725,40.7231945140429
"180","2-Methylhippuric Acid",192.0661,153.1,0.0026,161.023302857143,132.224991746992,127.624289138462,136.825694355522,111.674088027461,152.775895466523,8.20486699257725,40.7231945140429
"181","2-Methylhippuric Acid",216.0637,155.6,0.0043,173.514154285714,137.100698272055,132.789535112502,141.411861431609,116.612669889959,157.588726654152,8.20486699257725,40.7231945140429
"217","2,3-Dihydroxybenzoate",153.0198,120.9,0.0056,186.005005714286,142.032551130782,137.987053581513,146.078048680051,121.598774445635,162.466327815929,8.20486699257725,40.7231945140429
"234","2,5-Dihydrobenzoate",153.0194,125,0.0064,198.495857142857,146.984569833205,143.172548060956,150.796591605455,126.595732465925,167.373407200486,8.20486699257725,40.7231945140429
"266","3-Amino-4-Hydroxybenzoate",152.0366,126.1,0.0059,210.986708571429,151.920181872733,148.301272587374,155.539091158092,131.566565889008,172.273797856458,8.20486699257725,40.7231945140429
"267","3-Amino-4-Hydroxybenzoate",154.0496,140,0.0062,223.47756,156.803296672399,153.330067445832,160.276525898966,136.475077358903,177.131515985895,8.20486699257725,40.7231945140429
"279","3-Hydroxyanthranilate",152.0363,128.4,0.0085,235.968411428571,161.599349712036,158.219582036565,164.979117387507,141.286890266232,181.911809157841,8.20486699257725,40.7231945140429
"280","3-Hydroxyanthranilate",154.0493,131.3,0.0013,248.459262857143,166.276253544346,162.936276499583,169.61623058911,145.970376910799,186.582130177894,8.20486699257725,40.7231945140429
"316","3,4-Dihydroxybenzoate",153.021,122.9,0.0061,260.950114285714,170.805202011312,167.453684985637,174.156719036987,150.497424053823,191.112979968801,8.20486699257725,40.7231945140429
"337","4-Aminobenzoate",138.0559,127.3,0.0054,273.440965714286,175.161288562679,171.752625286243,178.569951839115,154.844001230719,195.478575894639,8.20486699257725,40.7231945140429
"354","4-Hydroxybenzoate",137.0259,121.6,0.0068,285.931817142857,179.323916996558,175.820484137072,182.827349856043,158.990515387427,199.657318605689,8.20486699257725,40.7231945140429
"475","Acetylsalicylic Acid",203.032,145.9,0.0029,298.422668571429,183.277000797802,179.650048720227,186.903952875377,162.921953252529,203.632048343075,8.20486699257725,40.7231945140429
"624","Anthranilate",136.0416,126.1,0.0092,310.91352,187.008963363295,183.2383550101,190.77957171649,166.627828297983,207.390098428607,8.20486699257725,40.7231945140429
"633","Antimycin A2b",535.2655,199.4,0.0011,323.404371428571,190.512564148539,186.585790495883,194.439337801196,170.10196076411,210.923167532969,8.20486699257725,40.7231945140429
"634","Antimycin A2b",535.2655,217,0.0042,335.895222857143,193.784584252875,189.695464018255,197.873704487496,173.342126389632,214.227042116119,8.20486699257725,40.7231945140429
"635","Antimycin A2b",535.2655,239.6,0.0015,348.386074285714,196.825409024768,192.572754137911,201.078063911625,176.349612268988,217.301205780548,8.20486699257725,40.7231945140429
"636","Antimycin A2b",557.2475,225.2,0.0023,360.876925714286,199.638545363804,195.224944898409,204.052145829199,179.128717274192,220.148373453416,8.20486699257725,40.7231945140429
"637","Antimycin A2b",573.2214,227.5,0.0031,373.367777142857,202.230108370084,197.660892686243,206.799324053926,181.686230664968,222.7739860752,8.20486699257725,40.7231945140429
"638","Antimycin A3",521.2499,197.8,0.0046,385.858628571429,204.608306866813,199.890701730038,209.325912003587,184.030916910265,225.18569682336,8.20486699257725,40.7231945140429
"639","Antimycin A3",521.2499,213.5,0.0039,398.34948,206.782951103843,201.92540670895,211.640495498736,186.173028329954,227.392873877732,8.20486699257725,40.7231945140429
"640","Antimycin A3",521.2499,234.2,0.0047,410.840331428571,208.76499949607,203.776670093948,213.753328898192,188.123860733362,229.406138258778,8.20486699257725,40.7231945140429
