"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","NA"
"652","Ampicillin",348.1018,190.25,0.0024,348.1018,189.263333333333,184.094807874924,194.431858791743,176.159132070895,202.367534595771,4.15744187171231,35.359625689321
"653","Ampicillin",372.0994,190.86,0.0015,391.333044444444,189.263333333333,184.094807874924,194.431858791743,176.159132070895,202.367534595771,4.15744187171231,35.359625689321
"654","Ampicillin",350.1175,192.9,0.0014,434.564288888889,189.263333333334,184.094807874924,194.431858791743,176.159132070896,202.367534595772,4.15744187171231,35.359625689321
"655","Ampicillin",388.0733,182.54,0.0011,477.795533333333,189.263333333434,184.094807875033,194.431858791835,176.159132070999,202.367534595869,4.15744187171231,35.359625689321
"656","Ampicillin",737.183,262.47,0.0013,521.026777777778,189.263333362728,184.094807906882,194.431858818573,176.159132101301,202.367534624154,4.15744187171231,35.359625689321
"657","Ampicillin",721.209,261.86,0.0012,564.258022222222,189.263341912321,184.094817202261,194.431866622381,176.159140945045,202.367542879597,4.15744187171231,35.359625689321
"658","Ampicillin",372.0994,186.93,3e-04,607.489266666667,189.265837108968,184.097530050744,194.434144167191,176.161721985834,202.369952232101,4.15744187171231,35.359625689321
"659","Ampicillin",350.1174,192.1,3e-04,650.720511111111,189.986895182698,184.881023200625,195.092767164771,176.907278827102,203.066511538294,4.15744187171231,35.359625689321
"660","Ampicillin (conf 1)",699.2271,257.41,0.0011,693.951755555556,243.811342561971,238.610363511923,249.01232161202,230.694307135043,256.9283779889,4.15744187171231,35.359625689321
"661","Ampicillin (conf 2)",699.2271,246.2,0.0014,737.183,262.469999976365,255.406046672653,269.533953280076,248.509130677167,276.430869275562,4.15744187171231,35.359625689321
